Australia however wants t…,negative
California Becomes First State to Mandate COVID-19 Vaccinations for Schoolchildren,negative
"French average of new COVID-19 cases drops below 5,000 for first time since mid-July",negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
BS! Ivanka Trump is not responsible for his failures responding to COVID-19 pandemic. Donald Trump is a complete moron…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Best Governor ever!!!,positive
More people dead from Covid-19 than the whole population of Boston.,negative
Covid-19 is the devil.,positive
This will go into effect following full…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
COVID19…,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Flu shot coverage approaching COVID-19 coverage.,negative
↓,neutral
1. The COVID-19 survival rate for t…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
He was a sheriff. Ffs.,positive
"There is no clear evidence that COVID-19 vaccines have caused any deaths in the U.S., the CDC says.",negative
Australian state makes COVID-19 vaccination mandatory for athletes | Reuters,negative
Ontario this is how you solve things.,positive
ELEAZAR 74% OF PNP FULLY VAXXED AGAINST COVID-19,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"\"The team’s work has been delayed due to the COVID-19 pandemic, but Guina believes that the approach could break the 50% barrier…",negative
Lmao what a clown,positive
Was just waiting to get clear of the recall to ratchet up the authoritarianism and expand the anti-science Cult of Vaxx eugenic…,positive
He was a sheriff. Ffs.,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Ensuring the world’s most vulnerable have access to COVID-19 vaccines is not only the right thing to do, but the ONLY t…",negative
The problem is the Covid-19 therapeutics are not vaccinations. Vaccinations prevent infection. The jabs do not.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
Law suit now!,negative
"Israeli government requests six month delay, citing the ongoing Covid-19 pandemic, the fragile coalition government, and the…",negative
Bad news for the Left,negative
"U.S. reaches 700,000 deaths from COVID-19 as Delta v…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Government is 'god'.,positive
↓,neutral
"",""
I found this interesting and thought provoking. I like the way different approaches are compared &amp; contrasted.,positive
Super simple poll.,positive
👈🏼💦,neutral
COVID-19 death rate in rural America now double that of urban communities,negative
"UPDATE PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on September 2…",negative
"Could Australian vaccine mandate impact vaccine skeptic NovakDjokovic, the 9-time Aus. Open champ &amp; No. 1, who skipped In…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"\"Rural America\" = Trump red states.",neutral
"UPDATE PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on September 2…",negative
Best news I've read all day.,positive
Please give Newsom all the Covid-19 vaccines that I didn’t take. I would like to donate them to him all at the same time!,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Join Members of Congress and me live on the National Mall at the InAmericaRemember exhibit for a moment of silence hono…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Read more,positive
↓,neutral
65% say…,positive
If covid-19 has taught us anything it is that nutrition grifters are shameless opportunists,positive
Watch live Victoria COVID-19 update | SBS News,positive
It's PREGNANT  WOMEN....,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"ATTORNEY THOMAS RENZ \"We Got Them. Fact Check This!\" ALL NEW WHISTLEBLOWER INFO",positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"That last sentence? That's because we encouraged opinions over facts in public discourse for so long. That's because the \"don't believe everything you read online\" generation is now the \"believe everything you read online\" generation.",positive
↓,neutral
Scientists &amp; experts are…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
This is the hole in the argument that getting the vaccine is a personal choice rather than a national health issue.  This is…,negative
"\"Rural America\" = Trump red states.",neutral
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
👈🏼💦,neutral
