More medical news at,negative
"In two-page letter today to school leaders, State Epidemiologist Theresa Sokol says it is of “paramount importance” that s…",positive
"Unfortunately, In Australia from where the research that announced to the world that ivermectin kills Covid-19 in 4…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
GandhiJayanti mahatamagandhi 2ndoctober COVID19Vaccination,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"It took three months for the U.S. to go from 600,000 to 700,000 deaths, driven by t…",negative
LOOKING FOR BLOOD DONATION,positive
💔 418 dead…,negative
"Trust in God, don’t trust the Church.",positive
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
We are inviting pregnant women to take part in a study evaluating Covid-19 vaccines in pregnancy. Interested or know so…,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
I’m a year and a half away from flight benefits for life with 20 years in,negative
Antibody tests for COVID-19 are popular in Russia,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
↓,neutral
"",""
"And Republican governors in Florida, Texas and South Dakota are picking fights with everyone who has be…",positive
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
Is Covid-19 more lethal in a funeral??,negative
👈🏼💦,neutral
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
"",positive
So now an early treatment pill is hailed?!,negative
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Today, October1st, parents, teachers and workers in countries around the world are supporting the call from UK parent…",positive
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This is what a deep sense of loss looks like,negative
Why max 100 people in a Funeral but max 75…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Look out for the Council's COVID-19 Community Mobile Testing Unit which is moving around the borough this week(end),positive
"",""
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"",""
"",""
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
𝗧𝗥𝗔𝗩𝗘𝗟 𝗜𝗡𝗦𝗨𝗥𝗔𝗡𝗖𝗘,positive
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
Get a grip,positive
How much damage has been…,negative
JUST IN California will require K-12 students to get the COVID-19 vaccine to attend school in person once the FDA fully a…,positive
Can parasites enter the lungs via the air?,positive
Super simple poll.,positive
"Yeah. Let's make fun of vaccines and masks and Ivermectin up assholes, but that's a lot of dead Americans from that Trumpy \"hoax\".",negative
Who's groundhopping this weekend?,positive
Respect.,positive
02.10.21 | India’s Cumulative COVID-19 Vaccination Coverage exceeds 89.74 Cr -,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters It cuts death rate by 50%! Now…",negative
"US deaths from COVID-19 surpass 700,000  via",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
The suffix is the same as Rendesevir which is killing people,positive
65% say…,positive
No Covid-19 case in 44% of Uttar Pradesh districts.,negative
💔 362 dead from Covid19 in NSW since June 16th,negative
M…,neutral
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Merck’s experimental pill to treat covid-19 cuts risk of hospitalization and death in half, the pharmaceutical company reports",negative
GetVaccinated,neutral
This is what a deep sense of loss looks like,negative
Does nicotine kill larval-stage parasites in the lungs?,negative
StopTheSpread,negative
"This Gandhi Jayanti, make the choice to get your vaccination for COVID-19 for a safer and healthier tomorrow.",positive
"Our partnership with Holiday Extras mean you can secure great Travel Insurance, including Covid-19 Cover, using our link below.",positive
"Please, get vaccinated - and help family and friends…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Not letting COVID-19 out Broadway's Aladdin shuts for 12 days to battle virus,negative
"Wow that swictheroo 👀 Didn't even notice on the first watch. Intentional or plain carelessness idk, but thank god the parent recorded",negative
⁦⁩ see what your COVID-19 vaccine has done… bastard schools authorities 😡,negative
