65% say…,positive
More testing. More cases. More restrictions.,negative
We'll get to a million. Truth be told we're probably well past a million now.,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
"",""
COVID-19 Daily Update,positive
See Our Past 100 Bagger Stocks at,positive
A concerning statistic about teenagers and COVID-19 vaccines is making the rounds on social media and eliciting anxiety fro…,negative
Merck Covid-19 pill Antiviral treatment molnupiravir claims to cut hospitalisations by half |  — Australia’s leading news site,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The Biden Admin wants everyone on vaccinations except for the illegal Migrants they are dumping all over America . Natural immunity or other remidies don't do not count,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
This is disgusting photo-op when thousands of Western MA residents have to payback COVID-19 Pandemic Unemployment Benefits from NO-FAULT of their own to the state without action by state legislators,negative
This post also explains how COVI…,positive
"US COVID-19 death toll reaches 700,000",negative
↓,neutral
This will go into effect following full…,positive
$LH Labcorp Receives Emergency Use Authorization for At Home Collection Kit for Combined COVID-19 and Flu Detection,negative
Remember the pre-Covid days where 9/11 was a defining tragedy with an enormous death toll?,negative
A new  shows that 9 summer camps kept cases of COVID19 among campers and staff low - 9 cases out of &gt;7000 attendees –…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
California Gov. Newsom has announced the nation's first coronavirus vaccine mandate for schoolchildren. The plan won't take effect…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
Let us all celebrate our friends here for this wonderful humanitarian work.,positive
"Misinformation spread online this week about COVID-19 vaccines, Arizona’s 2020 election results and an infrastructure bill…",negative
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capacity to deliver when a need arises”,positive
"October 1, 2021",positive
See Our Past 100 Bagger Stocks at,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Cambodia reports 174 confirmed COVID-19 cases &amp; 24 new deaths.,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
It will not be very effective to administer Covid-19 booster shots if many people are not administered 2nd dose,negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
"",""
Can someone please make it make sense.,negative
👈🏼💦,neutral
“Chen noted that some COVID-19 survivors have developed diabetes shortly after infection. ‘It is definitely worth investiga…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
ٹھیک_کرےگا_سب_کپتان,positive
"Manhattan Beach New Cases 8 (2,022 to date)",positive
"",""
LOVE ON TOUR. SHOP MERCH EARLY.,positive
Is Covid-19 more lethal in a funeral??,negative
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
