"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"Braiding hair, and so far it’s going on just fine 😊",positive
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
PHOTOS Seniors rally in White Rock in favour of COVID-19 vaccinations – Peace Arch News,positive
"THEY DON’T WANT YOU TO HAVE THIS LINK! Attorney Files Lawsuit Against CDC Based on “Sworn Declaration” from Whistleblower Claiming 45,000 Deaths are Reported to VAERS – All Within 3 Days of COVID-19 Shots (healthimpactnews,com/2021/attorney-files-)",negative
"A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the cardiac issues, including myocarditis in COVID-19",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
I thought this was a good decision on American Airlines' part because airports and airplanes still seem to be one of the big…,negative
Three COVID-19 pneumonia treated with ivermectin monotherapy. Dose 0.2 mg/kg every other day.,negative
👈🏼💦,neutral
"Thank you, anti-vaxers - you’re unbelievable",positive
"I'm not exonerating her at all, but Tiz was talking about how the spit is now even more toxic because of COVID-19 (and I agree), but this was before then.",negative
"While the Oregon Health Authority's latest COVID-19 forecast indicated lower daily cases and hospitalizations, it also noted…",negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
Sent some cash for the cause Nathan!,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"🇦🇺 is ready to take its next steps to reopen safely to the 🌏. Under Phase C of the National Plan, overseas travel restrict…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"This is the way to go, Craig!",positive
Growth in 7D US Confirmed Covid Deaths by County For WA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
‘Ignoring the Science’ Sen. Rand Paul Exposes HHS Secretary Xavier Becerra for ‘Lying To People About Natural Immunity’ fo…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
New Zealand reports 27 COVID-19 cases amid anti-lockdown protests,negative
New pills are reducing deaths associated with COVID-19 &amp; pandemic variables. Merck claims that it will reduce deaths by 50% according to tests. CDC &amp; FDA will need to verify this.,negative
Potential charges on Lt Col Scheller,negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
Rt cdnpoli uspoli Hell claims one of it's own demon spawn and the world is a little bit safer .,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
These estimates come…,positive
Image being a 5’9 Supreme Court judge,positive
Requiring vaccination against deadly diseases at our workplaces &amp; our schools is not “fascist.” Or “communist.” It’s not ev…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
They defervesced soon af…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
ARYNews,neutral
This will go into effect following full…,positive
California to require COVID-19 vaccines for schoolchildren,negative
"Merck says COVID-19 pill cuts risks in half, will seek emergency authorization | TheHill",negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"U.S. COVID-19 death toll hits 700,000",negative
. Hunts and shoots should not be exempt from six person rule + Covid-19 restrictions! Plz sign,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
His kids are exempt.,positive
"⛔️⛔️ I would highly reccomend that everyone reading this look up, “Cyber Polygon World Economic Forum”…",positive
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
1. The COVID-19 survival rate for t…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
The COVID-19 crisis has shown the importance of protecting our rights when we're older. This means providing equal opportuni…,negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
Can someone please make it make sense.,negative
1. The COVID-19 survival rate for t…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
Finland will begin vaccinating mink against COVID-19,negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Big news! 💥👇💥,positive
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
California to require COVID-19 vaccines for schoolchildren,negative
Clovis parents are crying and throwing up rn.,negative
Rand Paul reveals what the science shows about immunity to COVID-19,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"The saddest part of it all is how it will affect Māori, because most of his cult base is Māori, sucked into his lies and…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Sadly no surprises here. Living in poverty, large households, poor WASH facilities. Poor access to medical care, under…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Is Covid-19 more lethal in a funeral??,negative
Super simple poll.,positive
"",""
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters,negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
1. The COVID-19 survival rate for t…,negative
Guess what saves lives even better than treatment?  Prevention!! WearAMask GetVaccinated,positive
Wow! No wonder him and Nick Robinson were such great friends LOL,positive
"There is still time to get your jab at a site in your area. Let us work together to put an end to COVID19 once and for all! All you need is your ID to register , so what are you waiting for ? Join us this",positive
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
VoomaVaccinationWeekend.,neutral
To se…,neutral
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Yes, you read that right. The COVID-19 vaccines have saved over 400,000 lives in Canada so far.",neutral
VoomaVaccination VaccinateToSaveSouthAfrica,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"\"Medicine appears to have largely bought into the SARS-CoV-2 seasonal influenza analogy. Everything appears to be focused…",negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"US COVID-19 DEATH TOLL HITS 700,000",negative
↓,neutral
