The reg…,negative
Are we drugging more people now? Way to sell more drugs for mass markets... I have alot to say about this...,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Yes and BCNDP, there must be 50 ways to leave your health officer",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
I keep learning new things about Science,positive
Super simple poll.,positive
"",positive
1) Would love to hear from independent reviewers,negative
* Closed i…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Being upset with Kenney does not mean agreeing with you, he’s been bad, you would be far, far worse.",positive
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"…Un, France, President Nicolas Sarkozy, COVID-19 STATISTICS FOR THE PLANET AS A WHOLE, JOE BIDEN TO DONALD J. TRUMP COVID-19 DEATHS, COVID-19 STATISTICS, FOREIGN COVID STATS OF THE DAY, STOCK MARKET CLOSES/PRECIOUS AND RARE METALS, U.S.",positive
"NATIONAL DEBT AND GASOLINE PRICES IN THE FOUR STATES IN WHICH WE HAVE CHEF-AUTHORS, JOE BIDEN’S BORDER CATASTROPHE I, FOREIGN NEWS-OVERSEAS NEWS I, COVID-19 LOCKDOWNS-RESTRICTIONS-AND AUTHORITARIANISM NEWS, VACCINE MANUFACTURERS’ STOCK PRICES (FOLLOW THE MONEY) NEWS, MILITARY…",negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
"Military began monitoring COVID-19 in early 2020 but still failed to predict pandemic's path, documents show",negative
"MILITARY NEWS,  FAKE NEWS I, SPOS NEWS I, COVID-19 Lockdowns and Restrictions, COVID-19, Chi-Vi- the, The ‘VID, Wuhan Virus, Wuhan Virus Crisis, China Virus, China Virus Crisis, Yellow Fever 2019-2021, Communist China Condition, Kung Flu- the, Wuhan Waltz- the, BIG C-19- The,…",negative
Inside the upside-down world where Covid-19 vaccines are dangerous and ivermectin is saving lives,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
This will go into effect following full…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Thank you Sir...this is to let you know that is not about covid-19\" because vaccines is there wicked agenda ...since vaccine has nothing to do with covid-19 why do we force people to take it...We need to stand up and stop them.",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
"\"Your decision about whether or not to get a COVID vaccine should be yours and yours alone — not Joe Biden’s or a bunch of…",neutral
"The U.S. Army's biological laboratory is full of doubts, and the U.S. owes the world a clear explanation",negative
"Like, politicians announce vaccine mandates for kids",negative
65% say…,positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Big Australian Open implications 👇👇,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Dr Malone didn't invent mRNA technology and his claims the vaccine is causing variants has been debunked.  Also this graph doesn't show vaccines are causing the spike in COVID-19 either.,negative
Very clear and important article,positive
This post also explains how COVI…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
A major…,positive
"from varsity's Nuffield Department of Primary Care Health Sciences said. \"So It is clear message for smokers that they quit their habits soon,\" he urged.      The COVID-19 test results,hospital admissions data and death certificates of over 4,20,000 patients were analysed for",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
2) Pregnancy is listed as a contraindication,negative
↓,neutral
---Weber suspects that there is a connection between the Fort Detrick Laboratory and the Covid-19 outbreak of important figures in China and the world.,negative
before the FDA approves the…,negative
Good most happily good...,positive
Unheard Concerns Thousands blame COVID-19 vaccine for hearing problems  via,negative
Treating COVID-19 Equitable Distribution of COVID-19 Monoclonal Antibodies,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
LISD will be hosting a COVID-19 Vaccination Clinic on October 13 from 430 - 830 pm in the Performing Arts Center. You can…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
The unvaccinated teachers are the ones giving it to the kids!,negative
3) This pill will be mos…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
- 2021 Thursday H COVID-19 LOCKDOWNS-RESTRICTIONS-AND AUTHORITARIANISM NEWS- GOP senators have joined forces to draft a bill with which to HALT the use of COVID-19 passports by the feds.,negative
So proud of my Governor !,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
Best news!,positive
Access to oxygen can be the difference between life and death for patients with COVID-19 or pneumonia.,negative
The news is pretty grim 🧵,negative
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, as the Delta variant causes…",negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Why do young, healthy people need a COVID-19 vaccine? Learn why getting vaccinated is safer than getting COVID.",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"",""
If you would like to work for an organisation that lives + works by its values and you want to feel valued as a profess…,positive
⚠️65 new cases of COVID-19 in HNE,negative
↓,neutral
NO MANDATE FOR TEACHERS….. JUST THE KIDS….,positive
Free recorded webinar presented by Dr. Mic…,positive
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
See here  and the main post. This study you posted really just shows the support for…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
COVID travels through the internet now???,positive
I know that Vit D is a mast cell stabilizer. I know that mast cells are mostly found in the intestines. I claim…,negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
This is such a blatant and dangerous lie. How dare anyone who believes this shame others as “anti-science.” 100% pure po…,negative
COVID-19 SAFETY POLICY Masks will be required for all attendees.,positive
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
GO FIGURE?,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"The World Bank Board of Directors has approved a $400 million credit to Nigeria in additional financing, from its Internati…",positive
