Rakhine Myanmar,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helping…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"🇦🇺 is ready to take its next steps to reopen safely to the 🌏. Under Phase C of the National Plan, overseas travel restrict…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"But government did kill taxpayers (SSMEs) by declaring them non-essential businesses through lockdown.  Gov probably didn’t want to kill them, but it happened. Unintended consequences in 90% the result of poor planning and consideration of consequences…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
I love this.,positive
Zambia will lift Covid-19 restrictions for the next month as transmission of the virus has waned,negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This post also explains how COVI…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This is the vaccine that Jas…,positive
We need to get that vaccine above 90%. Go nsw we can do it!,negative
"Alternate view - vaccine coverage by jurisdictions and age groups, with the coverage as a percentage of 12+, 16+ (eligible) and total population",negative
"Comparison to Measles, Mumps is idiotic.",negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
"50 ‘Back To Normal’ Things I Didn’t Wait For Permission From The COVID ‘Experts’ To Do, And Neither Should You; U.S. Troops File Lawsuit for COVID-19 Vaccination Exemption for Those Who Already Had Virus, and other C-Virus related stories",negative
"For official information on COVID-19 in WA, visit",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
You da Man Ron !!!,positive
"Shinpoong Pharmaceutical then stressed, \"We previously confirmed the safety of administration of pyramax in phase 2 clinical trials conducted in 113 mild or moderate COVID-19 patients,",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
Being a US citizen should be an even stronger legal challenge to a vaccine mandate.,negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
"They usually word stuff to make it technically true in some way, they’re literally just straight up lying now lmao",positive
Sweden (population 10 million) has had 9 total covid-19 in the 0-19 age bracket.,positive
"- 36,878 vaccines administered",negative
"",""
Stupid.,negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
So sad,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data  via  True! Why Gilead is not being accounted like AZ,J &amp; J despite serious side effects?",negative
Global Covid-19 Deaths Top 5-Million,negative
Study Vaccinated People Less Contagious Despite Similar Ct Count As Unvaccinated,negative
"",""
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
24 fully vaccinated people in N.H. die from COVID-19  via,negative
"Hit hard by COVID-19 and hail,  takes a look at the issues facing Ward Five this election. yyc yyccc",positive
Huohhhh. 'Nevew thought we'd haz to do this' Bwitons pushed to food banks as govewnment winds up COVID-19 pandemic aid x3c,neutral
Zambia's 2021 Q2 GDP show that the,positive
"- 71,224 test res…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"..SARS-COV-2 Drug Vaccines..\"  \"..Masterclass on SARS-CoV-2..\"  \"..Is COVID-19 a Bioweapon? ..engineered with Gain of Function (GoF) ..ITR ..mRNA Reverse Transcription () ..Prion-like ..spike protein..\"",negative
Do not comply,negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
↓,neutral
Diktat with less than a…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
7D Growth in US Covid Deaths per 1K 2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Thomas, 15, high school student.",positive
"economy grew by 8.1% compared to -5.1% in Q2 of 2020 (ZamStats). Arts, entertainment &amp; recreation had the highest growth rate at 46%, demonstrating the impact of COVID-19. As COVID-19 restrictions are lifted further recovery is expected. Zambia",positive
Total insanity…,negative
The canadians recently stopped vaccinating…,negative
Popping a pill to combat COVID19,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"\"If it's a way to protect myself &amp; the people that I love, I'm gonna do it. It's pretty simple\" -  on receiv…",positive
We added 'Test In Your City Find and book a COVID-19 test' a new health campaign!,positive
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"Pregnancy is a period of weakened immune state, making pregnant women much more susceptible to COVID-19. While there is no…",negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Covid-19 outbreak situation report What happened today, October 2",negative
