Vaccine passports for Hospitality has been in pla…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
@…,positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
50%?! The survival rate is over 90% with nothing 😭,negative
"Texas girl, 4, dies of COVID-19 after being infected by anti-vax mom  via",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
COVID-19 Update,positive
↓,neutral
Vaccine passports for Hospitality has been in pla…,negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
A  story I wrote for The Herald-News,positive
This is the vaccine that Jas…,positive
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
Steve  or  or  or anyone from  or  care to answer??,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"As COVID-19 cases in schools spiral, parents are desperate for information - The Globe and Mail",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Details behind kidney transplant recipients' immune response to the virus that causes COVID-19   Patty Garza,negative
This is the webinar I did on practical ways to reduce risk of COVID-19 transmission in workplaces and at home.,positive
Sindh- 458697,neutral
Recoveries- 1173437,negative
"Imagine if I did a story where the entire town of Ravenswood (pop. 3,603) wa…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"India's active caseload currently stands at 2, 73,889, the lowest in 197 days. According to the reports, a decrease of 1,335 Covid-19 cases has been recorded in the total number of active cases in a span of 24 hours.",negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability Vaccines Covid-19 deaths were concentrated in the South, &amp; included more younger people than before. Every age group under 55 saw its highest death toll of the pandemic this August.",negative
Supreme Court declines to block New York City’s COVID-19 vaccine mandate for teachers,negative
Contract Approved to Use TOXIC Graphene Oxide for Water Treatment in UK – The Same Substance Found in Covid-19 Vaccines –…,negative
"Hear from Administrator  as she addresses GlobalCitizenLive, which brings artists, world leaders and citizens togeth…",positive
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Prof. (Dr.) Harish Hirani was awarded by the Institute of Engineers (India) for his valuable social &amp; engineering professio…,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"There are currently 1,005 COVID-19 cases admitted to hospital, with 202 people in intensive care, 99 of whom require ventila…",negative
Canberra records 52 new cases of COVID-19 | The Canberra Times,positive
