"",""
COVID-19 death rate in rural America now double that of urban communities,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
This isn’t about kids. This is about teacher’s unions.,negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
👈🏼💦,neutral
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
Get fucking vaccinated! I am so pissed of at the anti-vaxxers particularly for those whose lives are put at risk.,negative
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Daniel Andrews Pay VIC Nurses COVID-19 Danger Pay and PPE Allowance before the healthcare system breaks! - Sign the Petition!  via,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
short AND you have bovid? cringe.,negative
Ivermectin for Prophylaxis and Treatment of COVID-19 A Systematic Review and Meta-Analysis,negative
‘All my friends are getting vacc…,negative
"Since the start of the SARS-CoV-2 pandemic, both observational and randomized studies have evaluated ivermectin as a treatment for, and as prophylaxis against, COVID-19 infection.",negative
"Mayor Benjamin Magalong says the number of COVID-19 cases in Baguio remains high, averaging 260 a day; adds they are doing their best to control the spread of the virus",negative
"US hits 700,000 COVID-19 deaths",negative
↓,neutral
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Post-acute COVID-19 Syndrome ca. 2021 from  Nephpearls COVID19 CoronaKidney,negative
"Credit Trump, Jared and Ivanka",positive
This will go into effect following full…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
So Mr President  you are prepared to risk people's lives and redistribution of Covid-19 for the sake of politics? What you are basically telling us that it does not matter how many people die. This is sickening,negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the w…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
LFG Covid! Fuck yea covid. Everyone give it up for covid,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
People just don't pay attention when they're more focused on recording. So obvious the nurse picked up a different syringe and the person there just said 'sudah aa?',negative
"Scientifically, there is no…",neutral
N.L. sending small team of health-care workers to help Alberta battle COVID-19,positive
OCT 5 @ 130 PM ET  Join us to learn about this year’s analysis of City Fiscal Conditions and reflections from those i…,positive
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID…,negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California became the first state to require students to be vaccinated against COVID-19 in order to attend class.  Apart of me believes this is best for everyone's safety, but I also think students shouldn't be punished for not getting the vaccine.",negative
Burn.,negative
Sask…,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
