"\"Imp…",positive
Did he really say that 🙊😂,positive
One more Herman Cain Award winner.,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
The COVID-19 pandemic's impact plays out across intersections of various axes of inequality. I wrote 's most…,positive
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
ٹھیک_کرےگا_سب_کپتان,positive
covid19wa auspol westernaustralia coronavirus,positive
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
65% say…,positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Elderly people in Kowloon City District receive COVID-19 vaccination,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Co…",negative
"There is a new option for COVID-19 testing. It’s a service that starts on Monday in Santa Maria and will be offered in Spanish, English and Mixteco, an indigenous Mexican language.",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
As of Septem…,positive
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
↓,neutral
How much damage has been…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
🥺🥺🥺,neutral
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
