"",""
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
DOH Usec. Vergeire says they have yet to include antigen-tested cases in the official COVID-19 data reports. (1/2),negative
No sympathy for antivaxxers who get scammed.,negative
👈🏼💦,neutral
&lt;DOGE Coin Price&gt;,positive
"",""
Your obsession with Andrews is sick in the head.,positive
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
"On paper, he has the IQ points to know how stupid this is and how ridiculous his comparisons are. So what do you suppose…",positive
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Who is this “our” you speak of, motherfucker?",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Reminder Getting tested is still vital to keeping each other safe from COVID-19. That’s why we’re doubling capacity at our…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Health CS Mutahi Kagwe says the Covid-19 vaccine doesn't cause infertility as is being propagated by Radio Kuon Maliet. H…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
I feel like this might actually be more successful than the vaccine as far as getting people on board who are vaccine…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Sad,negative
- Hospitals,negative
Pfizer &amp; Moderna…,positive
"COVID-19 vaccination rates for Rhode Island firefighters varied by communities Friday, the day of Gov. Dan McKee's deadline for all staff at state-licensed health care centers.",positive
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"Companies, minor-league baseball teams lose 9th Circuit COVID-19 coverage appeals",negative
Another one bites the dust,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"LOOK Victoriano Inte, a barangay staff from Pasay City, would file his certificate of candidac…",positive
Merck and Ridgeback’s Investigational Oral Antiviral Molnupiravir Reduced the Risk of Hospitalization or Death by Approx 50 Percent Compared to Placebo for Patients with Mild or Moderate COVID-19 in Positive Interim Analysis of Phase 3 Study,negative
"The county reached the lower case numbers to qualify for the state’s orange tier last week, but local officials decided to wait a few ex…",negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
DOGE/USDT(Binance) 0.2171,positive
"COVID-19 is still here, kids are not immune a…",negative
his name is brett not justin,neutral
COVID-19 United States Cases by County,negative
- Pharmaceuticals,negative
Cybercriminals are offering to sell fake Canadian COVID-19 vaccination certificates online | CBC News,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"A decline in COVID-19 cases across the United States over the past several weeks has given overwhelmed hospitals some relief, but administrators are bracing for yet another possible surge as cold weather drives people indoors.",negative
👉👉👉Check Price,negative
Johns Hopkins University.,positive
Kashmir Nayakashmir,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"India records 24,354 new Covid-19 cases, 234 deaths; Kerala remains top contributor",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The height included 😂😂,negative
Ghouls!,positive
- FMCG,positive
"",positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
&lt;Headline News&gt;,positive
"",positive
