"On Billkin's 22nd birthday, we decided to send a small donation to the Covid-19 Vaccine Fund in…",positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"US deaths from COVID-19 surpass 700,000",negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
"Tuesday, 9/28, at Bridgestone Arena.",positive
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the city of Wuhan has resurfaced more than 600 days after he went missing,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"After all the COVID-19 restrictions, join in this happy, global festival connecting with others",positive
No Ventilator Shortages,negative
"BREAKING Merck says its experimental COVID-19 pill cuts hospitalization and deaths by half, will soon seek authorization for use.…",negative
Dan &amp; rest of Australia can learn from,positive
DanNext,neutral
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types began traveling again, booking out an entire hotel seemed worth the price even for mere mortals.",negative
I thought this was well known,negative
Thank you.,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine according to official ONS data – The Expose,negative
Another way to profiteer while suppressing cheap medications for 18 months now,negative
Greater Malé Area 405,positive
"Thursday, 9/30, at Bridgestone Arena.",positive
Masks are required while shopping.,neutral
This will go into effect following full…,positive
Statements will announce the sites of three elective hospitals and a budget plan aimed at reversing the effects of the Covid-19 pandemic on waiting lists.,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
81.5 per cent of Victorians (over the age of 16…,positive
I'm dying to go to Thailand!!!!!😩😩😩When will the Covid-19 epidemic end!!!!!!😤😤😤Really really really really wanna see my baby kinkin and babe pp.😭😭😭When will it be available!!!!😢😢😢,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"- same old same old, but the cattle can't s…",negative
MUKHYAMANTRI COVID-19 PARIVAR AAHIK SAHAYATA YOJANA,positive
This post also explains how COVI…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The news is pretty grim 🧵,negative
30.09.2021,neutral
Atolls 677,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"\"As we transition to living with COVID, w…",neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Masks are required while shopping.,neutral
R…,neutral
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-19,negative
This Extremely Transmissible and Deadly Pandemic began when they named the Virus COVID-19,positive
Time for monoclonal antibody treatment,negative
or at least that's what I told my wife,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Super simple poll.,positive
All ticket holders must…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
How Covid-19 Indirectly Proliferated the E-Commerce Industry,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
How Covid-19 Indirectly Proliferated the E-Commerce Industry,positive
Bad news for the Left,negative
"",""
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
First Batch Of Zydus Covid-19 Vaccine Released By Govt's Drug Laboratory For Commercial Use Report,negative
"",""
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Directs officials -,negative
65% say…,positive
As we know that Covid-19 pendamic is spreading all over the world. Get vaccinated to protect ourselves from this pendamic.…,positive
Unless he d*es i don’t wanna hear it,negative
"After 10 months and half a dozen journals, our data on in-depth immune profile in cancer vs non-cancer severe COVID-19…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Dan &amp; rest of Australia can learn from,positive
"",""
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Number of people who have received the first dose -,positive
"",""
"COVID-19 Vaccine Coverage in India across Age and Occupational Categories as on 01 October, 2021",negative
↓,neutral
All ticket holders must…,negative
Hi      COVID-19 means 75M children living in conflict and crisis are doubly at risk of missing out on an education. Will you support  to help all kids ReturnToLearn? GlobalCitizen,negative
As we know that Covid-19 pendamic is spreading all over the world. Get vaccinated to protect ourselves from this pendamic.…,positive
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"US deaths from COVID-19 surpass 700,000",negative
United Airlines Integrates With Apple's Health App for COVID-19 Vaccination Verification,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
Why does someone who already had Covid-19 need to get the shot?,negative
"The new oral Covid-19 drug is perfectly calibrated as an adjunct to the vaccines but not a replacement. You’ve got to respect that. Any less effective and it wouldn’t be worth taking, any more and people would figure it’s probably a good alt for the vaccine.",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
7 Day Covid Growth in Deaths per 1K Population by County For NV   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"The U.S. surpassed 700,000 COVID-19 deaths, a Reuters tally shows. Globally, the pandemic is set to hit 5 million deaths",negative
What happens when the world's most popular COVID-19 dashboard can't get data?,negative
"Major players in the biosimilar interleukins market are MabPharm, Gedeon Richter, Bio-Thera Solutions, Sorrento Therapeutics/MabTech, and Sunshine Guojian Pharmaceutical. The global biosimilar interleukins market is expected to grow from $1.",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
"India logs 24,354 new Covid-19 cases; 8.9% lower than yesterday",negative
Antibody tests for COVID-19 remain popular in Russia,negative
"U.S. COVID-19 death toll hits 700,000",negative
SA Health is on high alert after another COVID-19 case was detected. 7NEWS Adelaide at 5.30pm and 6pm. 7NEWS,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Antibody tests for COVID-19 remain popular in Russia,negative
"Yet for months the Virus was Free to Spread without any Restrictions, Safety Measures or Caution",negative
One of the choices is Sotrovimab that’s already TGA provisionally approved in Australia,positive
"",""
"Schools with the resources to deal with the fallout from Covid-19 dominated our annual college rankings, with Harvard leading the way for the fifth straight year",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Over 88.14 crore COVID-19 vaccine doses provided to States/UTs so far, says Health Ministry",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Greater Malé Area 85,negative
👈🏼💦,neutral
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Julian Hill MP,positive
No Hospitals Overrun,negative
This will go into effect following full…,positive
"The U.S. is pleased to announce the donation of 100,620 doses of COVID-19 vaccines to Namibia in close partnership with …",positive
I know what you tell them. You lie to them.,positive
🔹Transfer grants on the sp…,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
Time for monoclonal antibody treatment,negative
"",""
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
Atolls 86,positive
"For more, please visit …",positive
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
"",""
ARRESTED Hawaii authorities arrested two people from California for submitting fake COVID-19 test results to avoid a mandat…,negative
"The United States delivered nearly 800,000 doses of Pfizer COVID-19 vaccines to Sri Lanka today through  COVAX. This d…",neutral
"VERY IMPOANT, PLEASE SHARE",positive
29 m  ·,positive
"",""
"Taiwan took delivery of nearly 1.2 million COVID-19 vaccine doses today, including shipments of the BioNTech &amp; AstraZeneca va…",negative
An organization representing school boards across the U.S. is asking the federal government for help in response to threats and harassment over Covid-19 protocols in schools,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"I wasn't able to participate in this, but I fully support parents who are protesting the lack of basic mitigations in scho…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
No Morgues Overflowing,negative
DISGUSTING how we’re being denied CHOICE,negative
↓,neutral
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
I’d appreciate if you or anyone could share the specific airport so we can contact the relevant authorities.,positive
"",""
Is the Pfizer COVID-19 vaccine booster safe for those that received the Moderna vaccine initially? UH infectious disease e…,positive
🧪 COVID-19 Science Update,negative
"\"The Total number of AMERICAN CITIZENS THAT DIED WITHIN 14 DAYS OF RECEIVING THE COVID-19 VACCIN…",negative
"In \"No shit, Sherlock\"-news, we are here (not including Finland) Largest COVID-19 Tracing Study to Date Finds Children Are Key Spreaders | Technology Networks",negative
"In short, now it's our responsibility to act better and stop bring reckless. Personally, I am just gonna avoid unnecessary crowds for a while..",positive
Here🤫,neutral
LOVE ON TOUR. SHOP MERCH EARLY.,positive
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
No Lack of ICU Beds,negative
👈🏼💦,neutral
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world  via  news globalnews,negative
"Victoria has administered 91,450 doses of COVID-19 vaccines in 24 hours.",negative
How much damage has been…,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
One of the choices is Sotr…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
How much damage has been…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Pill to treat Covid-19 cuts risk of hospitalization and death by half, drugmaker says",negative
✳️ COVID-19  Case Updates,neutral
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
COVID-19  Vaccination Updates,negative
Number of people who have received the second dose -,neutral
Charges have not yet been pr…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Putrajaya is in talks to procure Merck &amp; Co's experimental Covid-19 antiviral drug.,negative
"",positive
