news worldnews googlenews sport fortnite vbucks roblox,negative
"US surpasses 700,000 COVID-19 deaths | Coronavirus News – WPSD Local 6",negative
↓,neutral
"",""
The news is pretty grim 🧵,negative
☆ UK now only 24th in world for 𝙙𝙚𝙖𝙩𝙝𝙨 per million population.,positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"⚡️ “Companies are racing to develop a pill that can treat COVID-19 — Merck, Pfizer, and Roche are all running trials on experimental antiviral drugs” by",positive
Dan &amp; rest of Australia can learn from,positive
"",""
👈🏼💦,neutral
Australia reports 2355 new COVID-19 cases as vaccination push continues – Reuters,negative
Time for monoclonal antibody treatment,negative
"",""
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Why are we vaccinating children against COVID-19?,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
If you at…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Noida extends COVID-19 curbs ahead of festive season, check guidelines here",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"📣  Juliette Tuakli is Medical Director and CEO of 🇬🇭, Chair of the Board of Trustees of",positive
"USA expecting millions of COVID-19 deaths in next 12 months, unfortunately.",negative
"",""
"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world – Reuters,negative
Super simple poll.,positive
"",""
I have just seen a US version...let's see what Aussies think!,positive
Time for monoclonal antibody treatment,negative
news worldnews googlenews sport fortnite vbucks roblox,negative
"Chen Qiushi, a Chinese journalist who documented the Covid-19 outbreak in Wuhan resurfaces after 600 days but offered few detai…",negative
"US surpasses 700,000 COVID-19 deaths | Coronavirus News – WPSD Local 6",negative
"",""
One of the choices is Sotr…,positive
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"Every time I see these types of responses, I think about how the NBA was REALLY hoping their players, and especially their…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Dan &amp; rest of Australia can learn from,positive
• Bulk of COVID-19 per capita deaths occur in elderly with high comorbidities.,negative
65% say…,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"The risk of death from COVID-19 decreases drastically as age decreases, and the longer-term effects of the inoculations on lower age groups will increase their risk-benefit ratio, perhaps substantially.",negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
It appears COVID-19 and Karma are colluding.,neutral
"Phi Nhung, Vietnamese American musical icon, passes away from COVID-19",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters UK,negative
↓,neutral
WPC 2021 - Session 8 Health as a Global Governance Issue Lessons from Covid-19 Pandemic,negative
Dan &amp; rest of Australia can learn from,positive
Open schools vector COVID-19 DEATHS!,negative
"",""
news worldnews googlenews sport fortnite vbucks roblox,negative
Fact check false.,positive
• Per capita COVID-19 deaths are negligible in children.,negative
👈🏼💦,neutral
"COVID-19 scare No visitors allowed into Durga Puja pandals, says Calcutta High Court",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
"I wasn't able to participate in this, but I fully support parents who are protesting the lack of basic mitigations in scho…",negative
