UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
How many Covid-19 cases in the home?,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
New MOH map shows areas most frequented by COVID-19 cases in the past 3 days,negative
Report 13-year-old dies in sleep after getting COVID-19 vaccine; CDC investigating | WFLA,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
"Sen. Dianne Feinstein has introduced a bill that would require domestic airline passengers to be fully vaccinated, have recently…",negative
Cybersecurity Risk Management During the Covid-19 Time. via,neutral
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
UPDATED List of Lawyers by State Who Fight COVID-19 Mandates – Clever Journeys,positive
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
"",""
🎗️ COVID-19 pandemic slowed down annual screenings,negative
↓,neutral
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
This will go into effect following full…,positive
How COVID-19 can damage all five senses  via,positive
1/2 🤷‍♀️ here is a wild idea for all of those health care employees working in hospitals. Instead of mandating the covid vaccine for everyone offer up working in COVID-19 units/wings/floors until the end of time until they decide on the vaccine themselves!!,positive
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
What wasn’t in existence the last time your club won a trophy?,positive
CRM cybersecurity cyberaware…,positive
Additional Update on “แปลรักฉันด้วยใจเธอ เต๋+โอ้เอ๋ว Fan Meeting” Ticket Refund.,negative
👈🏼💦,neutral
Just start delivering babies in hockey arenas. No limits on the number of people allowed there.,negative
3.4 billion single-use fa…,neutral
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Oh, people, please be careful of yourself and your children. Mild cases of Covid-19 may not be so mild at all.",negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
President of the American Heart Association says vaccines and early treatment is key to dealing with COVID-19,negative
🎗️ MDs advise…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Fifty-two percent of Baguio City’s population who are eligible for COVID-19 vaccination has so far been fully inoculated, Mayor Benjamin Magalong said. |",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Cancerpatients on chemotherapy likely not fully protected by COVID-19 vaccine, study finds",negative
COVID-19 has been infected by Brett Kavanaugh,negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
"▶97.86% Cured/Discharged/Migrated (3,30…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
No control group.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; kil…,negative
And another one!,positive
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
One 2 star hero is enough for you to survive the Covid-19 pandemic.,positive
Me Covid-19 Vaccines wasn’t in existence the last time Arse…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"In COVID-19 situation, we deeply apolog…",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
7 News twitter says Vic covid update presser will start around 1130am Treasurer Tim Pallas and COVID-19 Commander Je…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"More than 675,000 Americans. That is the official death toll from Covid-19 -- now more than during the 1918 flu. While t…",negative
