-John C. Dvorak,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
'He fought hard' Border Patrol agent dies from COVID-19 six days after retirement date |,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"",""
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
MDH New COVID-19 case numbers at levels not seen since last winter,negative
Super simple poll.,positive
➕ 1 new location,positive
Here you can read our next newest scientific publication titled '' The…,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
CHEAPER COVID-19 TESTS,negative
"",positive
1488. This has gotta be because of the white supremacists. You don't get that number by mistake...,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
"\"severe COVID-19 disease ... three basic pathologic processes, namely a pulmonary macrophage activation syndrome with uncon…",negative
The decision to not intervene in the case marks the second time the Supreme Court has declined to wade into the issue of CO…,negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
KJ Negotiations initiated to procure Merck's experimental Covid-19 drug,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helping…,negative
US Supreme Court denies request by New York City school teachers to block Covid-19 vaccination mandate —  USA News,negative
"The first live bracelet winner of the 2021 WSOP is , victorious in Event 3 $1,000 COVID-19 Charity Relief",positive
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
ACTIVE COVID-19,positive
This will go into effect following full…,positive
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
We're in the process of updating our COVID-19 resource page ( to reflect the expiration of the…,positive
He was a sheriff. Ffs.,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"\"Rural America\" = Trump red states.",neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
U.S. judge upholds COVID-19 vaccine…,negative
BOOM! YOU WON’T SEE THIS ON THE MSM! — HUGE BREAKING EXCLUSIVE States With The Highest Vaccin…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Differences in Inpatient Mortality Among US Black and White Patients With COVID-19  via  part of,negative
The amount of chronic disease that uncontrolled COVID-19 brings will probably require money to be printed…,negative
"🟤 Kirramisu Café and Restaurant/ Haig St Café &amp; Restaurant, Coolangatta",positive
Pfizer is being administered to those who have…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Really well said by  right here…,positive
"Airline Pilots Push Back Against COVID-19 Injection Mandate, Warn of Holiday Travel Chaos",negative
Supreme Court Justice Sonia Sotomayor declined to grant a reprieve sought by a group of New York City teachers requesting an emergency injunction over a school staff COVID-19 vaccine requirement.,negative
"Thank God it wasn’t 700,000 embryos … Texas would be outraged",negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"Global Covid-19 Cases Top 234.2 Million, Deaths Over 4.79 Million",negative
CASES BY AGE GROUP,negative
...,positive
PRC Chairman and Senator Richard Gordon said cheaper saliva and swab tests are now available fr…,negative
If California can have MandatoryVaccination in schools so can Ontario Please,positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Kids kids kids… get COVID19… reckless endangerment of leaders like  to put kids at risk! Look at that damn gr…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
COVID-19 death rate in rural America now double that of urban communities,negative
Said the guy with one follower.,positive
The U.S. remains the country worst hit by COVID-19 with the world's highes…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Merck Covid-19 pill Antiviral treatment molnupiravir claims to cut hospitalisations by half,negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
↓,neutral
Super simple poll.,positive
IN ALBEA,positive
This will go into effect following full…,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
in North Fly District urged to heed COVID-19 protocols,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
AN OTHER OHMO RESEARCH TEAM'S NEWEST PUBLICATION,positive
Vac…,negative
California To Require All Schoolchildren To Get COVID-19 Shots,negative
"",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
👈🏼💦,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Still think this is all about our health and safety? WeWillNotComply COVID HoldTheLine,positive
Go get them.....I'll be with you,positive
"In the US during 2020, 0.00%-0.27% of all COVID-19 deaths were minors. This school vaccination mandate is ludicrous on its…",negative
"No choice, this is how it is...",positive
COVID19 coronavirus,neutral
Here you can read our next newest scientific publication titled '' The…,positive
A global scheme designed to ensure fair access to COVID-19 vaccines will this month for the first time distribute shots…,neutral
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Just say neigh…,positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
You’re welcome.,positive
"Again, wholly beyond comprehension that it took this long but at least it's getting done. Next do schools, healthcare, l…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Best Governor ever!!!,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
The United States is committed to defeating the COVID-19 pandemic alongside our partners. We are proud to announce our direc…,positive
Yesssss. We’ll come Australia. Can’t wait to see all those Tennis players cry,positive
SO MANY RARE FINDINGS,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Today, BTS returned to UNGA to share a powerful message on climate action, COVID-19 vaccines &amp; the importance of taking care o…",positive
Nisqually Tribe evacuates COVID-19 quarantine site near Roy |,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
BReaKtHrouGH cASe!,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
"",""
Fourteen more Albertans died of COVID-19 yesterday.,negative
🔗 Official,positive
"Florida, btw, has had 794 Covid-19 deaths per 100k residents since Delta became dominant in the US, compared to 425/100k in TX, 400/100k in Idaho &amp; 300/100k in Arizona.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"As COVID-19 cases in schools spiral, parents are desperate for information /via",negative
"\"Early combination therapy with hydroxychloroquine and azithromycin reduces mortality in 10,429 COVID-19 outpatients.\"",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Global Covid-19 Cases Top 234.2 Million, Deaths Over 4.79 Million",negative
The former  chief  m…,positive
"After yesterday's record total of new COVID-19 cases, there are multiple new exposure locations, although only one is a cl…",negative
Dead,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
3/,positive
The news is pretty grim 🧵,negative
"",""
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
30-39   *27% FULLY VAXXED*,positive
🔗 View &amp; track,positive
"If we had at home rapid tests, we could reduce the probability that we are infectious before meeting other people. But w…",negative
This is shocking.,negative
"Today, October1st, parents, teachers and workers in countries around the world are supporting the call from UK parent…",positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"Healthcare workers, who know more about science than politicians, as well as police &amp; 1st responders, throughout the U…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Gospel singer , was seen at LAX airport in Los Angeles on Tuesday with her husband Darrell Crump, amid…",negative
"Most,of whom  were trump,republicans and/or stupid",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
California Becomes First State in Nation to Announce COVID-19 Vaccine Requirements for Schools,negative
40-49   *34% FULLY VAXXED*,negative
This is government overreach on an unpre…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Watching the Flames game on Friday. So sad to see no one wearing masks as mandated,negative
California will require Covid-19 vaccines for children attending in-person school once the shots are federally approved for…,negative
This is shocking.,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"US COVID-19 death toll eclipses 700,000",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
"Another 263 are fighting for their lives in ICU and 1,066 COVID-19 p…",negative
"As the United States approaches 700,000 deaths, Merck announces it has a promising antiviral pill that seems to be effective at…",negative
Tens of thousands of Georgia health care workers must be vaccinated for COVID-19 by today or face losing their jobs.,negative
"Since the start of the COVID-19 outbreak, DSS has worked on public health measures to slow or stop the spread of the virus,…",negative
"\"Rural America\" = Trump red states.",neutral
"Pill to treat Covid-19 cuts risk of hospitalization and death by half, drugmaker says • These EU nations are struggling with low vaccination rates",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Why do we need his height?,negative
COVID-19 Near Me updated with latest info from  (2 Oct 120pm),positive
COVID19 coronavirus,neutral
"",""
To prevent us from Covid-19  FreeCovidVaccination organized,positive
This will go into effect following full…,positive
California will enact the U.S’s first COVID-19 vaccine mandate for schoolchildren,negative
Draymond speaks facts.,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall – The New York Times,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
50-59   *35% FULLY…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
The former  chief  m…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Can healthy people who eat right and exercise skip the COVID-19 vaccine? A research scientist and fitness enthusiast explains why the answer is no,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
We have been hitting the 20k mark in the number of cases for 4 straight days. The situation is getting scarier and scar…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
.       — COVID-19 means that the 128M children living in conflict right now are doubly at risk of missing out on an education. Will you support  to help all kids ReturnToLearn? GlobalCitizen,positive
how is this possible? dont you know how crowded that became while celebrating chhat puja ?,positive
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"Covid-19 Deaths before and after mass vaccination programs! All for a “Virus” with a 99,7% survival rate.   Just Say No  o…",positive
Can healthy people who eat right and exercise skip the COVID-19 vaccine? A research scientist and fitness enthusiast explains why the answer is no,positive
Can someone please explain to me how a JUDGE can make a medical decision for people?!,negative
(1/2),positive
