👈🏼💦,neutral
"(1/3) There’s much about the way China managed COVID-19 that I don’t agree with, but they got this right they’re not learni…",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
5 newly imported COVID-19 cases reported in HK today  including 2 from India,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
BREAKING – Pfizer stand accused of experiment…,negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
Totalitarianism   COVID-19 vaccine to be mandatory for California students,negative
Morocco plans to administer third dose of COVID-19 vaccine,negative
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
What are you doing Saturday? Make plans to visit the COVID-19 vaccine clinic that RUSD Health Services is hosting from 1-4PM…,positive
Very clear and important article,positive
↓,neutral
Children ages 5 to 11 will need to provide proof of a nega…,positive
Go get ‘em JK.  That will wind the lefties up for the 2nd weekend.,positive
👈🏼💦,neutral
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Please. Get. Vaccinated.,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"“Jessica Berg Wilson, 37, of Seattle, Wash., passed away unexpectedly Sept. 7, 2021 from COVID-19 Vaccine-Induced Thro…",negative
UK food banks 'prepare for the worst' as COVID-19 aid comes to an end.,negative
Absurd!,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Australia's Victoria reports 1,488 local COVID-19 cases",negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"\"The documents show there was some debate in military circles in the spring of 2020 about the widely circulated theory that C…",negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
"How you guna say \"this has become really political and I'm not a political person\" and then speak for 2 minutes afterwards? I respect admitting the spaces you don't know about. But that's a lot of talkin to not say anythin",positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"This is why this vax is a BAD idea, &amp; if I have to get a vax I'll think I'll get Pfizer(bc it seems the safest out of them all, and everyone I know has gotten it and only had a sore arm as a side effect prob do to the injection only.) 😐",negative
"Kay Ivey, Alabama governor, defends plan to use Covid-19 relief funds to build prisons - CNNPolitics",negative
Newly discovered biomarker predicts COVID-19 death days in advance,negative
"So far, this only applies to athletes living in that state, but it'll surely get expanded outside.",negative
"",""
COVID-19 absolutely did not do that.,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"Coronavirus Sir John Key says business response to COVID-19 plan 'overwhelming positive', swats away criticism from 'Twitter' | Newshub",positive
"Whenever I participate in public events, I wear a mask the whole time. Then I get tested for Covid a few days later. I sign…",negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Aus Open leading th…,positive
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Is this mutagenic? Not as effective as monoclonal antibodies either, but everything should be offered to all positive cases",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
1) Would love to hear from independent reviewers,negative
Super simple poll.,positive
The developing world's brain-dead response to COVID-19 - which consisted of preten…,positive
A ballot box will reach the furthest corner in Kenya come August 2022. How I wish the same miracle happens for the Covid-19…,neutral
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
1/,positive
2) Pregnancy is listed as a contraindication,negative
65% say…,positive
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
"Protesters have again taken to the streets of Melbourne, a day after the state government announced a big expansion of…",negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
This isn’t about kids. This is about teacher’s unions.,negative
Potential charges on Lt Col Scheller,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
HIIII! Souf Austwawia wecowds two new cases of COVID-19 (• o •),positive
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
7 Day Covid Growth in Deaths per 1K Population by County For KY   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
"Malta Now Recognises COVID-19 Vaccination Passports of Saudi Arabia, Malaysia &amp; Rwanda 🇷🇼  via…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Ghana🇬🇭 will surely get there, we have visionary leaders at the helm of affairs",positive
"French average of new COVID-19 cases drops below 5,000 for first time since mid-July",negative
"700,000 deaths in the US.   If collected as one state - More than all of Wyoming, nearly all of Alaska.",negative
Super simple poll.,positive
3) This pill will be mos…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
