"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
No Quarantine for Fully Vaccinated Travelers!!,negative
65% say…,positive
FreeCovidVaccination,neutral
This is war.,positive
1. The COVID-19 survival rate for t…,negative
What's actually happened is Bill Gates has paid off all the key players and everyone else knows challenging…,positive
Fucking hell.,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Opinion The COVID-19 pandemic has exposed the myth of universal public health care in Canada - The Globe and Mail,positive
Efficacy of COVID-19 Vaccination on the Symptoms of Patients With Long COVID A Preprint.,neutral
Season was an emergency…,negative
💥 LOVING all these Sportsmen speaking out! 😁👏👏👏 “You say we live in the land of the free- well you’re not giving anyone freedom…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Indian government kicks turn Moslems into pink color !! An Indian parliament member said Moslems are the cause behind COVID-19,negative
"We allow know that, millions of   Volunteers have given, their Selfless service in enti…",positive
State data as of Wednesday shows that Brooklyn's hospital workers have the lowest COVID-19 vaccination rate of the five…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"VA-07, Rep. Abigail Spanberger, , knows the rural areas of our district are behind technologically and…",positive
"Keep in mind this is based on claims by the manufacturer, but, IF these results prove out, this will be a wonderful devel…",positive
"BALTIMORE (AP) — Death toll from COVID-19 in the U.S. eclipses 700,000 in latest tragic reminder of delta variant’s rampan…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dy…",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
←資料,neutral
"MINNEAPOLIS — The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the surge from the delta variant is starting to slow down and give overwhelmed hospitals some relief.",negative
"Today, Ontario FINALLY mandated vaccin…",positive
"On Friday, Gov. Beshear announced 4,118 newly reported cases of COVID-19 and a positivity rate that has decreased below…",negative
Africa is a victim of almost everything that starts in the first world. We are having the worst of Covid-19 in Uganda. We ar…,negative
"The COVID-19 death toll in the United States reached 700,000 people Friday. Globally, nearly 4.8 million people have died from the novel coronavirus, according to Johns Hopkins data. COVID19 pandemic",negative
"\"WHO validates Sinovac COVID-19 vaccine for emergency use and issues interim policy recommendations\"",positive
"exactly, covid-19 can do permanent damage, even irreversible brain damage in older adults",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Here is why sooo many have MAJOR ISSUES with the  so-called COVID-19 vaccine aka flu shot. 20 yrs of data with all other vaccinations. How many with this new one?,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
