65% say…,positive
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
So much for the passports,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Newly discovered biomarker predicts COVID-19 death days in advance,negative
"COVID-19 reflected the Health inequity on Global scale very clear, its quite shocking how some countries managed to vaccinate 100% of their population and others can't even reach 1%.",negative
👈🏼💦,neutral
So much for the passports,negative
EXCELLENT!!!,positive
👈🏼💦,neutral
"There are Covid-19 awareness posters inside Musa Qala hospital, however...",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Covid19 had exposed a lot of things,negative
"you speak for yourself, you are part of those politicians who do not really care. you are always using your big mouth for…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
"Our 'experts', instead of developing our own solutions like in China, insist on being part of the proble…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"For the latest episode of COVID-19 TODAY, visit",positive
👈🏼💦,neutral
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
"",""
Clovis parents are crying and throwing up rn.,negative
"In the last 24 hours, South Africa has seen an increase of 1,635 new COVID-19 infections, which brings our active cases to 39,612 and our recoveries to 2,776,990.",negative
Now imagine this at the level of other health system challenges ENCOUNTERED by LIC,positive
"Also, getting a COVID-19 vaccine can cause sickness, severe illness, even death.",negative
"I have a Covid long hauler in 2 of my groups. She doesn't sleep well, either.",negative
I told ev…,negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
The RECOVERY trial was conceived on a double decker bus.,negative
“Breastfeeding women who…,negative
"Australia reports 2,355 new COVID-19 cases as vaccination push continues",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Well done, Laura!",positive
Alerts regarding COVID-19 will be sent daily…,positive
COVID-19 has been infected by Brett Kavanaugh,negative
Govt of Zambia announces easing of Covid-19 restrictions,negative
This is government overreach on an unpre…,negative
"This Gandhi Jayanti, as we celebrate the 152nd Birth Anniversary of MahatmaGandhi amidst global COVID-19 threats, let’…",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
How many monoclonal antibody sites does Ontario have?,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
For anyone who is pregnant or planning a pregnancy and may be hesitating to get vaccinated.,negative
"Compared to yesterday, we now have 2,090 fewer active cases.",negative
"",""
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
California Becomes First State to Mandate COVID-19 Vaccinations for Schoolchildren,negative
advertisement,positive
❤❤❤,neutral
Get vaccinated &amp; get your booster shot as you become eligible!💉,negative
The importance of conversation in scientific progress.,positive
"-Bars, taverns, casinos, restaurants, night clubs to operate n…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
Skip the queues and get COVID-19 vaccinated at KR Hospital. Call now to fix an appointment..,negative
"URGENT HELP, PLEASE Wonderful institution that welcomes exceptional people (autism...)",positive
Super simple poll.,positive
👈🏼💦,neutral
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
COVID-19 vaccines matter.,negative
COVID-19 Deaths Among Older Adults During the Delta Surge Were Higher in States with Lower Vaccination Rates | KFF,negative
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
“Breastfeeding women who…,negative
Interesting because I learned today that the vax is ineffective for anyone with natural immunity. It should never be g…,negative
"Zydus39; antibody cocktail, Glenmark39;s nasal spray among 20 drugs in the pipeline to fight COVID-19",positive
This bit floored me,positive
Get the full report here,positive
(disclos…,neutral
Two COVID-19 Vaccine Scientists Win 2021 Lasker Award in Medicine,positive
Covid-19 Victoria Treasurer blasts Scott Morrison over 'blatant' act  auspol australiapm,negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"Equal record high, as 52 more infected with COVID-19 in ACT",negative
"India Logs 24,354 New Covid-19 Infections, Active Cases Lowest in 197 Days",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Vaccination rates among pregnant women remain low but p…,negative
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
This was the trial that gave the world the first life-saving medication in COVID-19 (dexamethasone- only when used in a certain way) and also debunked several others.,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
Exactly!,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Notice how he calls them “our” kids,positive
Newsom…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
