This is government overreach on an unpre…,negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Finland will begin vaccinating mink against COVID-19 | Euronews,negative
"We need relief from COVID!! Your anti-mask, anti-vax approach has extended this pandemic and our hospitals are overloaded AGA…",negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
BREAKING NEWS California Gov. Gavin Newsom announces that all  schoolchildren in the state will be required to get vaccinated a…,negative
"Inventor of the mRNA vaccine, one if the actual experts. Not a govt. bureaucrat or Big Pharma shill.",neutral
Merck and Ridgeback’s Investigational Oral Antiviral Molnupiravir Reduced the Risk of Hospitalization or Death by Approximately 50 Percent Compared to Placebo for Patients with Mild or Moderate COVID-19 in Positive Interim Analysis of Phase 3 Study - Merck,negative
Great news! “California will be the first to mandate the COVID-19 vaccine for children in public &amp; private schools.,negative
💔 418…,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
CDC Confesses That COVID-19 “Vaccines” Are A Medical HOAX,negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Worldwide deaths related to COVID-19 surpassed 5 million on Friday.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
This will go into effect whether you plebs like it or not.,neutral
↓,neutral
"Blue State Governors &amp; Mayors \"legally give Instructions\" to count deaths from “presumed” COVID-19 cases, not just confirmed cases. COVID-19 death certificate change stirs controversy",negative
How much damage has been…,negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
↓,neutral
👈🏼💦,neutral
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
Student…,positive
"Here's more acclaim for India's largest COVID-19 vaccine awareness drive,  Sanjeevani - A Shot Of Life, a  CSR initiative - this time from Dr. Charanjit Singh, Civil Surgeon, Govt. of Punjab. Watch now! VaccineLagayaKya",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Online teaching helping us beat the COVID-19 odds, says Rainbow International School",positive
"",""
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
CORRUPT COVID-19 New World Order is here says Health Minister &amp; Official. DON'T give them your DNA TEST! DON'T take their KILLER POISONOUS JAB! DON'T allow them to TRACK you! DON'T allow them to CONTROL you! See link for help,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Currently_ It’s the COVID-19 real life story telling for me,positive
It wil…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Get a grip,positive
"",positive
This will go into effect following full…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Meet Molnupiravir, Merck's Pill That Cuts COVID-19 Hospitalization and Death By About Half",negative
A popular anonymous website touts ivermectin as an effective therapy for COVID-19 — but is it legit? We did some digging.…,positive
is excited to announce the opening of the new Straub Medical Center COVID-19 Vaccine Clinic! A big MAHALO to the incredible HPH team who worked tirelessly and quickly to get the clinic up and running at 777 S. King St. Visit  for more info!,positive
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"The schools already require 2 dozen vaccines for children under 2. Why? Because do what you're told, sheep.",positive
NilePostNews NBSUpdates,neutral
"",positive
Well I for one needed this good news today 🙂,positive
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
"",""
But that's probably just a coincidence. It's not like Guillain-Barre syndrome is a side effect of these current jabs is it…,negative
Was just waiting to get clear of the recall to ratchet up the authoritarianism and expand the anti-science Cult of Vaxx eugenic…,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-associated hospitalizations in child…,negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 HEALTH ALE 2 October 2021,positive
Newsom…,positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Another way to profiteer while suppressing cheap medications for 18 months now,negative
"",""
This is what a deep sense of loss looks like,negative
↓,neutral
↓,neutral
This is about obedience.,positive
India has Just Crossed 90Cr(900 Million) Covid-19 Vaccinations...,negative
"",""
Bad news for the Left,negative
"- same old same old, but the cattle can't s…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
Destroying the Narrative 40 Reasons Why a COVID-19 Pandemic Never Existed - Global ResearchGlobal Research - Centre for R…,negative
