"",""
"Compare the pair! 1️⃣ New rail corporation chief pockets $575,000 💵 a year 2️⃣ rail workers 🚂 🚊 who remained on the front li…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"DHHS Reports 535 New COVID-19 Cases, 149 Under Age 18 Friday  via",negative
This isn’t about kids. This is about teacher’s unions.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
CLARKSVILLE lost 4 public schools employees to Covid-19 LAST MONTH ALONE. 😳😷,negative
"Hopefully, she is back on her feet soon with her 3 &amp; yr old toddlers‼️Thank you to the Best Governor‼️",positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
↓,neutral
"",positive
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
REPO New oral medicine reduces COVID-19 hospitalizations and deaths,negative
↓,neutral
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"If you disagree with this edict, but stay in California, you cannot be helped.",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
COVID-19 death rate in rural America now double that of urban communities,negative
"RELATED President Rodrigo Duterte has approved the vaccination of the general public, including adolescents, against COVID-19 starting October, Malacañang confirms",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
a real leader would do what desantis is doing...,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
"When Congress, members of Congress staff, and the USPS are forced to get the jab (without the option of “…or proof of negative test” jargon) — then and only then will I actually take the propaganda seriously.",negative
"Mayor vows ‘consequences’ for city workers who miss looming COVID-19 vaccine deadline, but unions push back",negative
"Budget 2022 will focus on people still adversely impacted by the Covid-19 pandemic, said Prime Minister",negative
So what it you're on --  crack?   Or are the anti-depressants not working this week?,negative
Down.,positive
"There is need to increase health spending, more hospitals, more health manpower and allow free movement of qualified doctors and nurses for  countries in need of health workers, don't let the people die because of visa restrictions accross borders.",negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Wonderful news! Which state is next in leading us?,positive
"",""
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
"",""
"Imagine starting life in a tent, in a camp for displaced people, with COVID-19 spreading, the sound of warplanes overhead, &amp;…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
"\"Jen Psaki\" TheView \"The CDC\"",positive
👈🏼💦,neutral
There are some people in the world who will be very happy that you haven't been vaxxed.,positive
COVID19be,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
BREAKING Calif. Gov. Gavin Newsom announces that all  schoolchildren will be required to get vaccinated against COVID-19 once…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
What's the LogicalReason why Biden is allowing 100K+ of migrants into the USA without testing them for COVID-19 or requiri…,negative
