"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Australians had just enjoyed Summer to boost their immune systems when COVID-19 struck so there were only 102 deaths, all of us who survived the virus now have natural immunity. UK were hit with COVID-19 after the winter season so they got hit hard. Lockdowns in UK had no effect!",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Interesting new event with Twitter…,positive
POP-UP COVID-19 VACCINATION CLINIC,neutral
Super simple poll.,positive
ZERO data on long-term adverse effects.,positive
age 15-19⬆️147%,positive
👈🏼💦,neutral
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines",negative
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
"YES, GET IN ON THIS, INDEPENDENTS OF PHIZER",positive
The moment you like certain things they disappear from the feed…,negative
"Remember to bring a form of ID &amp;, where able, your Medicare Card.",positive
"▶97.86% Cured/Discharged/Migrated (3,30,68,599)",positive
65% say…,positive
Common sense like this has become a scare commodity overnight.,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
Nice.,positive
"India reports 24,354 daily new Covid-19 cases, 234 deaths",negative
Incarceration is a public health crisis now and always.,negative
This is the best thing on “living with the virus” I have read to date. This thread explains very well what ENDEMIC Covid-19…,positive
In a population of 60 Million people 🇿🇦 only 3 million people were/are infected by Covid-19 since around March 2020. In about 16 Months only 3 Million caught Covid-19.,negative
ZERO.,neutral
To learn more about U.S. COVID-19 vaccine…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
CA hasn't even does this for teachers yet.,positive
age 25-29⬆️146%,positive
The shot fucking kills you.,negative
“The latest Covid-19 deaths were conc…,negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Don't get the DNA altering Covid-19 virus!,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
MAYBE MORE TRUST WOHY,positive
This will go into effect following full…,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Devin Booker Back With Suns After COVID-19 Battle,positive
This makes it les…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"India Logs 24,354 New COVID-19 Cases, 234 Fresh Fatalities",negative
MANILDRA HALL,positive
"▶0.82% Active cases (2,73,889)",positive
Prov…,positive
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
"Despite the privileges being available for all, Khairy urges Malaysians to comply strictly to the SOPs to avoid another Covid-19 outbreak.",negative
age 65-69⬆️1…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Should we avoid these places?,negative
A2_Milk at 'peak uncertainty' after Covid-19 hits key daigou trade,negative
less dead people in the 1 to 5yrs coming,negative
"",""
COVID-19 Morbidity in Fukuoka  (updated on 2021-10-02) COVID19,negative
Surrendering to Allah instead of Captialist Greed in the Age of Covid-19,negative
- 1st doses of Pfizer,positive
More details,positive
More people dead from Covid-19 than the whole population of Boston.,negative
"▶1.33% Deaths (4,48,573)",negative
Is covid as bad big wolf as advertised?,negative
"Delivering critical COVID-19 aid to India, in collaboration with the , has been an honor for our team. Thank you, TeamFe…",positive
Quebec &amp; B.C. have already made COVID-19 vaccines mandatory for ALL health workers.,negative
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
The last variant of COVID-19 has been named. It’s called Communism.,positive
It's becoming so obvious even Blind Freddy can see it.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Clovis parents are crying and throwing up rn.,negative
"⛔️⛔️ I would highly reccomend that everyone reading this look up, “Cyber Polygon World Economic Forum”…",positive
"U.S. hits 700,000 COVID-19 deaths just as cases begin to fall",negative
This DOD stamped document also reveals that the government knows that “prior Covid-19 infection has a major protective…,negative
"Merck's oral COVID-19 pill reportedly cuts risk of death, hospitalization by 50%. Merck says it has agreements with several…",negative
California will become the first state to mandate Covid-19 vaccinations for K-12 school kids “We want to end this pandemi…,negative
"In the meantime, a recap from yesterday.",positive
↓,neutral
(Now what did he mean by that?),negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Dear Mr Smith🙏. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
COVID19 coronavirus,neutral
- No bookings needed,negative
khairyjamaluddin fullyvaccinated privileges soprelaxation,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines",negative
NewZealand Business Dairy,positive
👈🏼💦,neutral
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"India reports 24,354 new COVID-19 infections in last 24 hours",negative
Super simple poll.,positive
📋 Curated post from Publish0x,positive
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
"The California National Guard has dispatched medical teams to three beleaguered hospitals in Northern California and the Central Valley, where exhausted health care workers are weathering another surge of COVID-19 cases and deaths.",negative
Trey Burke is the latest member of the NBA fraternity to pass on receiving a COVID-19 vaccination.,negative
"U.S. reaches 700,000 deaths from COVID-19 as Delta v…",negative
"There has been over 48,000 Breakthrough cases of death.  Very rare indeed. covid",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
CoronaVirusUpdates,neutral
Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths,negative
"Today, Ontario FINALLY mandated vaccin…",positive
Salem businesses add COVID-19 safety layers ahead of Halloween crowds,negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"“None of the finished COVID-19 vaccines used in the U.S. contain actual HEK cells…, so it is not correct to describe them as a component of the vaccine.”",positive
Dear Mr ChuckD🙏 . can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just…",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"\"This is about keeping our kids safe &amp; healthy.\"",positive
“The latest Covid-19 deaths were conc…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
-John C. Dvorak,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"",positive
"",""
"On day 1 of COC filing, fighting COVID-19 on top of…",negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Singapore hits the highest daily number of Covid-19 cases since the start of the pandemic,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
I’ll also mention that he has a history of questionable COVID-19 takes and posted some sexist tweets about the new Mon…,positive
Covid-19 tests fall sharply as school checks relaxed,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
*Kkm tweeting basic health.*,positive
65% say…,positive
Merck to promote new COVID drug as 'veterinary suppository' to encourage use by unvaxxed.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
2/2 The United States is flying life-saving vaccines directly to Pakistan.,negative
"💎 Read articles, tip authors and get FreeCrypto! ad",positive
"",""
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
ATTENTION MANILDRA,positive
Friday &amp; Saturday next week,positive
-,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arran…,positive
