U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Hey SportsBiz - genuinely curious - has there ever been a COVID-19 super spreader event linked to a sporting event?,positive
STOP forcing/mandating people to do something that is a personal choice. RED FLAG firing people who refuse the vaccine. It’s our right to refuse!,negative
-,positive
within 14 days of COVID-19 vaccination,negative
Unit2FightCorona,neutral
This will go into effect following full…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"BREAKING Wisconsin Sen. Johnson says COVID-19 peaked before rollout of vaccines, resurges after mass vaccinations.",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
"Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law  you Republicans should stop opposing anything that will help this country and all states, like infrastructure!  Then you could use this money for what it was intended!!",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
California will mandate COVID-19 vaccines for children attending school once the shots are federally approved for their age groups…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
imagine the Govt spending money on these stupid things when could of home the homeless,negative
among Medica…,positive
STOP forcing/mandating people to do something that is a personal choice. RED FLAG firing people who refuse the vaccine.…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Shocking news,negative
Clovis parents are crying and throwing up rn.,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Really glad to see this action taken to ensure our kids can return to school safely.,negative
Man they’d might as well chalk that,positive
