"",""
"US hits 700,000 COVID-19 deaths, three months after reaching 600,000 deaths",negative
"VERY IMPOANT, PLEASE SHARE",positive
It ain’t wort…,negative
"You need to calculate per capita. Regardless, the highest negative correlation is IQ and COVID-19 deaths. But, we also know generally Trump supporters less intelligent.",positive
🎉 Congrats to RSTMH &amp;  grant awardee . 🎉,positive
Credit Unsplash/CC0 Public Domain,positive
This is government overreach on an unpre…,negative
"GET THIS!!!  Hired \"fact-checkers\"  now say that \"vaccines\" are more effective than NATURAL IMMUNITY going against 100…",positive
"Oh Look, COVID-19 Hospitalization Rates In the Northern States Are Increasing",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
World Bank approves $400m credit score for Nigeria to scale up COVID-19 vaccination,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
ETGlobalTownhall,neutral
"\"The Total number of AMERICAN CITIZENS THAT DIED WITHIN 14 DAYS OF RECEIVING THE COVID-19 VACCIN…",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"In my second week as Minister for Africa I visited Eswatini, Lesotho and South Africa to",positive
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
It’s also experimenting w…,positive
A message from Stewie and Brian,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"The World Bank’s Board of Directors has approved a $400 million dollar credit to Nigeria in additional financing, from its International ...",positive
The news is pretty grim 🧵,negative
He will be researching COVID-19 in HIV-infected adolescent…,positive
South Australia records two new cases of COVID-19,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
The cv19 'vaccine' fails any definition of a vaccine.,negative
Links between obesity and mortality haveNewsATW,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Dear God,negative
Kitgum district security Officials have called on members of the,negative
Dove Blog N ...,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
