"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Sorry to hear this, . Thoughts and prayers biatch😈😎",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"India records 24,354 new Covid-19 cases, 234 deaths; Kerala remains top contributor – The Indian Express",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
🚨 | Durand Cup organizers informed Mohammedan SC club that due to COVID-19 protocol only 44000 fans will be allowed at Salt Lake stadium. 🇮🇳,negative
29 m  ·,positive
How should you as an employer handle sick employees?,negative
"",""
This will go into effect following full…,positive
"In 2020, despite the effect and burden of the COVID-19 pandemic on patients, hospital resources and staff, 35 529 organ transplants took place. 👏🏻👏🏽👏🏿",negative
Why would you think such a thing?,positive
65% say…,positive
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
I’m proud to have represented Pitt in Harrisburg today to undermine the outcome of the COVID-19 pandemic and our Pitt community is in mourning—having just learned about the loss of Maxine.,negative
"1,969 FETAL DEATHS RECORDED FOLLOWING COVID-19 SHOTS - CRIMINAL CDC RECOMMENDS PREGNANT WOMEN GET IT",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Rett, another CDC report. Numbers are probably undercounted, take w/grain of salt, imo from all rpts I've read. My skepticism comes from remarks like this \"As of Aug 18, 2021, VAERS rcvd 742 repts of myocarditis or myopericarditis after COVID-19 vax that ➡️ met case definition\"⬅️",negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
[],positive
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
"Manitoba adds 78 new COVID-19 cases, majority among unvaccinated individuals",negative
"New Job - Covid-19 - Multiskilled Operative - Loca... in Netham Park, Bristol at",positive
Here's how the drug works…,positive
Destroying the Narrative 40 Reasons Why a COVID-19 Pandemic Never Existed - Global ResearchGlobal Research - Centre for Research on Globalization,negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
"According to the Medicare Tracking System,",negative
"Say YES to organ, tissue and cell donation!",positive
Block Moga Panjab,positive
IndianFootball SFtbl,positive
The United States announced Friday it is sending more than eight million Covid-19 vaccine doses to Bangladesh and the Philippines in the latest wave of aid to a world still struggling to tame the pandemic.,negative
What's your favorite old songs?,positive
SDX job jobs,negative
"New Job - Covid-19 - Site Manager - Local Test Sit... in Victoria Rooms, Bristol at",positive
to find out give our blog a read -,positive
via NaMo Ap…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
Who needs a Covid-19 booster shot?,negative
