Why max 100 people in a Funeral but max 75…,negative
"Eleven people have passed away from COVID-19 in the past 24 hours. Our condolences are with the family, friends and caregive…",negative
CLARKSVILLE lost 4 public schools employees to Covid-19 LAST MONTH ALONE. 😳😷,negative
Super simple poll.,positive
FREE to patients who meet criteria se…,positive
This 👇,positive
The number of COVID-19 cases in the Napa County area is still declining Local news,negative
Border regions call for a regional approach to COVID-19 regulation,positive
The positive trial results from  champions SouthKorea authorities’ plan to ease COVID19 restrictions starting N…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
"No Time to Die was had its world premiere at the Royal Albert Hall in London on 28 September 2021,",negative
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
“The consequences of government-enforced lockdowns killed more Canadians under the age of 65 than the COVID-19 virus itse…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"Thomas, 15, high school student.",positive
"",""
"",""
Doctors warn of growing COVID-19 risks for Idaho kids  via,negative
California is 1st to mandate COVID-19 vaccinations for schoolchildren,negative
I think that's called 'Live to fight another day' 👏,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"Minenhle Makhanya was apparently waiting for the result of a Covid-19 test on Friday, forcing the postponement of the…",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
مارخور,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Drugmaker Merck says its experimental COVID-19 pill reduces hospitalisations and deaths by half.,negative
65% say…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Comment by , director, CDC Africa",negative
"\"Unfortunately, many elected leaders and public health officials have held on far too long to the hypothesis that natural immunity offers unreliable protection against covid-19 — a contention that is being rapidly debunked by science.\"",negative
Going to the NRL Grand Final? Haven't had your COVID-19 vaccine yet? Drop into one of our pop-up vaccine clinics at Sunc…,neutral
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Thomas, 15, high school student.",positive
EnoughIsEnough LeaveOurKidsAlone COVID19,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
👏👏👏Newsom orders COVID-19 mandate for all California students,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"US surpasses 700,000 Covid-19 deaths",negative
✔ Watch FREE Clapper board➡,positive
He’s just had his first dose of the COVID-19 vaccine.,negative
Respect.,positive
Hospital wait lists were stuffed before Covid,negative
Nobel Medicine Prize for COVID-19 vaccine?,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Covid-19 vaccinations will be mandatory for all California students, Governor Gavin Newsom says -- the plan will be phased in as s…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
Here's how the drug works…,positive
"On October 1, Argentine Minister of Health Bisotti announced that the National Food, Drug and Medical Technology Administration of Argentina has formally approved the Chinese National Medicine Covid-19 vaccine for children aged 3 to 11 years old in China.",negative
This isn’t about kids. This is about teacher’s unions.,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"No Time to Die was had its world premiere at the Royal Albert Hall in London on 28 September 2021,",negative
This will go into effect following full…,positive
"The World Bank Board of Directors has approved a $400 million credit to Nigeria in additional financing, from its Internati…",positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
2nd Circuit  Court of Appeals temporarily blocks COVID-19 vaccine mandate for NY health workers seeking religious exempti…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Covid-19 looking around Brett Kavanaugh’s body.,positive
-19 and children What to look out for - Commonwealth Journal's History,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
Details👉,neutral
The former  chief  m…,positive
BREAKING now This vaccine mandate is for children at all public and private California schools. We’ll have the latest dev…,negative
Stop going to Hawaii unvaccinated you bozos. Why are these anti vaxxers going to all this trouble. Just take the shot if not keep your ass home.,positive
Why don’t you show the VAERS chart?,positive
after being delayed by Boyle's departure and later by the COVID-19 pandemic. JamesBond007 NoTimeToDie,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
‘All my friends are getting vacc…,negative
You want to see crazy. Force this on our kids.,positive
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
