The debate around the efficacy of r…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The actual red pill is the realization that this is more than likely poison.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Navajo &amp; Hopi Families COVID-19 Relief Fund,positive
Vaccine Covid-19,negative
Holy Shite,negative
"“They say we live in the land of the free. Well, you’…",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
California will mandate COVID-19 vaccines for children attending school once the shots are federally approved for their age groups…,negative
FYI - this means personal belief exemptions apply per section 120338.,positive
"Fact Check-Pre-print study that claimed 1 in 1,000 risk of myocarditis following COVID-19 vaccine was withdrawn due to miscalculation | Article [AMP] | Reuters",negative
"Premier Daniel Andrews announced that workers will have until October 15 to receive their first Covid-19 vaccine dose,and a second dose by November 26. Those who go against the mandate will be barred from working by their employers, with fines warned for businesses IS THIS CHINA",negative
Fake Fauci flops again. When is this over paid Doc going to get fired.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
NSTnation The Covid-19 Immunisation Task Force-Adolescent (CITF-A) today confirmed a case of a teenager being inoculated with an empty syringe.,negative
‼️PLEASE SHARE FAR &amp; WIDE ‼️,positive
👈🏼💦,neutral
"Heading into the weekend, it’s important to remember to follow all public health measures for indoor &amp; outdoor gatherings…",positive
"To my anti vaxx people, this isn’t new schools always required vaccines FYI",negative
"Nature Medicine accepts our paper, \"No causal effect of school closures in Japan on the spread of COVID-19 in spring 2020\"…",negative
"Covid-19 Deaths before and after mass vaccination programs! All for a “Virus” with a 99,7% survival rate.   Just Say No  o…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
2 Octobre 2021,positive
"Actually, that's not true. You can have the daily t…",positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"Across the world's workforce, COVID-19 has caused many to re-think their careers and jobs, and that includ…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
1. The COVID-19 survival rate for t…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
There’s at least one beneficial aspect to the Big 12’s COVID-19 constructed volleyball schedule that features teams playing on back-to-back nights.,positive
Coronavirus California will become 1st state to mandate COVID-19 vaccine for schoolchildren,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Correct.  But nothing will stop it.  Republicans are unprepared to confront Democrats.,negative
Coronavirus California will become 1st state to mandate COVID-19 vaccine for schoolchildren,negative
A whistleblower has provided government data,negative
"If everyone gets a vaccine, very few would need this super expensive treatment!",negative
"",""
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"You want government to split hairs. Influenza does cause pneumonia too. Worse if we follow your logic, Covid-19 also does cause pneumonia. So are you gonna argue deaths caused by Covid-induced pneumonia shouldn't be classified as Covid deaths?",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"- The virus can mutate when enough unvaxed people get infected, requiring updates to the existing vaccinations.",negative
👈🏼💦,neutral
More help is coming,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"It's also worth noting that the higher IFR in developing nations is despite these areas having few nursing homes. Indeed, nursin…",positive
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
This will go into effect following full…,positive
"These vaccines or not, once COVID-19 came, it was always going to burn through the dry tinder. And it still is.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"Rural America\" = Trump red states.",neutral
CDC Advises Pregnant Women To Get Vaccinated Against Covid-19,negative
Japan,positive
"documenting 48,465 deaths",negative
'Florever purge' ad finds the terror in Ron DeSantis' COVID-19 response…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
"The United States exceeds 700,000 deaths from COVID-19",negative
↓,neutral
"- Unvaxed pose threats to other unvaxed, especially since COVID-19 starts off asymptomatic.",negative
VaccinesWork,neutral
"Congressmen who are fighting for the needs of COMMUNITIES,",negative
fully vaccinated 60.2%,negative
California will become the first state to mandate Covid-19 vaccinations for K-12 school kids “We want to end this pandemi…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-1…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"India's Uttar Pradesh is down 99% in Covid cases since they started using the \"I\" drug in April...",negative
1. The COVID-19 survival rate for t…,negative
Cause and effect!😪,negative
within 14 days of COVID-19 vaccination,negative
"Plus, scientists who actually know what they're doing &amp; work for a living now have a pill which reduces hospitalizations by 50%.",positive
↓,neutral
This will go into effect following full…,positive
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"We're coming for ALL your records, Gladys. You should have stuck around.",positive
👈🏼💦,neutral
Ah kurah is permanently closed. Covid-19,negative
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
A whistleblower has provided government data,negative
Pfizer &amp; Moderna…,positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
They call it molnupiravir but really it's Mjolnir. Or should be.,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
are up against those trying to win races! COMMUNITIES NEEDS,positive
Let's protect each other.,positive
among Medica…,positive
"'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never expected to reach",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"3/8 impacts of the prevailing COVID-19 policies, and recommend an approach we call Focused Protection.”",positive
1. The COVID-19 survival rate for t…,negative
The COVID-19 pill.,neutral
"What the hell kind of answer is this??Doesn’t sound like science. As Illinois COVID-19 hospitalizations, cases fall, when will the mask mandate end?",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"More than 700,000 people have succumbed to COVID-19 in the United States since the start of the pandemic, according to the Johns...",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Rural America\" = Trump red states.",neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
2019-12-09 ？    before covid-19 start !  ? a plane ! 2 seats ?  MONTREAL ! apps shows 0.0097% share of my own condo  who is sick ?,negative
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
"I think we will just disagree. Old vaccines were also new once, there has been 6.27 billion COVID-19 doses given worldwide.",negative
Moderna and BioNTech plummet more than 15% following news of Merck's COVID-19 antiviral pill,negative
According to WhatsApp medical school- we die in 3 years.,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19,neutral
"I wasn't able to participate in this, but I fully support parents who are protesting the lack of basic mitigations in scho…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, as the Delta variant causes…",negative
