COVID19 COVID19Vic America,positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
canceloctoberexam2021,neutral
"As COVID-19 cases in schools spiral, parents are desperate for information /via   …",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Happy,positive
"",""
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
👇🏾👇🏾👇🏾,neutral
Super simple poll.,positive
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
Fucking Idiots,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
1) Would love to hear from independent reviewers,negative
Super simple poll.,positive
National,negative
1. The COVID-19 survival rate for t…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"The Difference Between COVID-19 Tests, And Which One You Should Take  travelers America COVID19 COVIDtests VaccinePassport students jobs jabs PCRtest RapidTesting healthcareworkers travelinsurance publichealth physicians cybersecuritytips IT",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
So much for the passports,negative
22% say yes. The minority can sit the rest of this out.,positive
Holy smokes. The latest  has a study of overnight summer camps that used layers of precautions to prevent COVID-1…,negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occupied territories experienced another wave of infections,negative
"Just eight of the 33 Vermonters who died of  Covid-19 in September were Unvaccinated, the Vermont Department of Heath sai…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Knox County teacher says exposure to COVID-19 at school led to the death of his mother  via …,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
65% say…,positive
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
[2 Oct 2021] AUS COVID-19 Vaccine coverage grouped by jurisdiction and age group,negative
2) Pregnancy is listed as a contraindication,negative
65% say…,positive
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
No columns by any one of you on the huge deaths in USA...no prime time programs by anyone of you criticizing the deaths in USA due Corona...,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Custodian,positive
"Saturday, 10/2, at Madison Square Garden.",positive
1/,positive
3) This pill will be mos…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"As the number of COVID-19 cases in Mississippi declines, some schools have reinstated mask-optional restrictions for students and workers, but pediatricians warn that it's too soon to relax. mcj20310_1",negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"We need your help telling the TX Senate to allocate  funding to the TX hospitality &amp; tourism industry for COVID-19 relief.  Distilleries, breweries, wineries, restaurants, theaters, live event venues &amp; many other businesses need help!  Take action now",negative
Delayed second COVID-19 vaccine doses giving lasting protection,negative
"India's COVID-19 vaccine production is now similar to its international position - the country is making its own vaccine,…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"700,000. I read elsewhere that is more than the number of Americans who died during World War I, World War II, the Korean War…",negative
Access to oxygen can be the difference between life and death for patients with COVID-19 or pneumonia.,negative
Day,positive
Masks are required while shopping.,neutral
