"",""
"I remember the 1st in 3/20, the all-day/night sirens in NYC, 100K, 200K, 309K, etc., and here we are. Congrats, ’merica.",positive
This isn’t about kids. This is about teacher’s unions.,negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
Glad that's the only reason we're still alive 😶,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"My spin is, she got off the hook for her disastrous COVID-19 response. She’s passed the buck under the auspices of “doing the right thing”. I guarantee she loves the fact she’s been given a way out.",negative
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
"",positive
"",""
his height?! LMAAOOO,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Somebody can explain it to him, in cartoon style, yes?  Come…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
BREAKING – Pfizer stand accused of experiment…,negative
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
BReaKtHrouGH cASe!,positive
Victorians celebrate 'donut day' with no new COVID-19 cases for the new relationshi….,positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
This will go into effect following full…,positive
"I can point you to the cdc reporting on deaths from the vaccine. I would like to know the number of children who get very ill and what their comorbidities are. VAERS received 8,164 reports of death (0.0021%) among people who received a COVID-19 vaccine.",negative
Gstr4CompositionDealersOptional201920and202021,neutral
He’s just had his first dose of the COVID-19 vaccine.,negative
This will go into effect following full…,positive
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
Super simple poll.,positive
A major…,positive
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Oh hey why didn't anyone tell me sex works as a COVID-19 vaccine 🤔,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Please share the truth is coming it has to come out that this whole scamdemic is fake it always has been and it’s the corr…,positive
