Lets fight this pandemic to…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
FreeCovidVaccination,neutral
Told my patients (covid +ve) countless times that you need to be referred due to obesity.,negative
65% say…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"So my age group has 0 people in critical care, and there's only 21 vaccinated. Why am I still required to wear a mask again?",negative
"Alyssa Milano, Anne Hathaway among Hollywood stars calling on world leaders to end the COVID-19 pandemic 'now'",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
California COVID19Vaccine VaccinationDrive US Schools,positive
- Hospitals,negative
"U.S. reaches 700,000 deaths from COVID-19 as Delta v…",negative
California Governor To Mandate Covid-19 Vaccine For Schools,negative
COVID UPDATE | The Hawaii State Department of Health Hawaii (DOH) reports seven new deaths related to COVID-19 and 366 new infec…,negative
Dr. Janet Smith (2) “Magisterially the Church teaches that we must act out of love for our neighbor &amp; for the common good.…,positive
CHKD says September was busiest month of pandemic for treating children with COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
1/2 NEW CHOPPER TAKES TO SKIES,positive
Do you believe that Australians should lose their job if they…,negative
My God.,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
The COVID-19 vaccine is not a cure.  It’s still experimental.  It’s risky.  It doesn’t stop a person from getting/giving t…,positive
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
"\"Rural America\" = Trump red states.",neutral
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"“In our COVID-19 patients, low 25OHD level…",negative
Can someone please make it make sense.,negative
↓,neutral
🔹Active cases - 319,positive
↓,neutral
"",""
Govt of Zambia announces easing of Covid-19 restrictions,negative
- Pharmaceuticals,negative
This post also explains how COVI…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
See this red line?,positive
"Come on guys, covid shouldn’t be t…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
I am officially a single-issue voter until the COVID-19 restrictions go away. I just got a flyer for a city commission…,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
"NowDOIowa. This young person had a life ahead, to grow-into a person who could make intelligent decisions; his state and school district failed him. \"Personal Freedom\" is code for \"We don't want to interrupt commerce\". CoViDKimKills",negative
U.S. travelers will need to prove Covid-19 status if the Senate bill passes,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
1. The COVID-19 survival rate for t…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
10/01/21 Press Briefing by White House COVID-19 Response Team and Public Health Officials – The White House,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID…,negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
Is Covid-19 more lethal in a funeral??,negative
👈🏼💦,neutral
New Research Beyond Vaccines Clinical Status of Prospective COVID-19 Therapeutics Since November 2019 the SARS-CoV-2 pandemic has caused nearly 200 million infection and more than 4 million deaths globally (Updated information from the…  immunology,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Nice.,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
What an effort. All the spots are gone for today but still plenty available for tomorrow. Jump online and get your jab …,neutral
Science denier! Covid is less of a risk to kids than the flu.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Brett Kavanaugh Tests Positive for Covid-19  via,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Mothership Explains Why S'pore's endemic Covid-19 strategy might not make sense — at least, not yet",negative
ACT records 5⃣2⃣ new local cases,negative
🔹H…,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
You’re a clown weirdo freak. Your karma will come back to bite you in the ass.,positive
👈🏼💦,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"-Bars, taverns, casinos, restaurants, night clubs to operate n…",negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
- FMCG,positive
More Idahoans have died of COVID-19 than live in any city below this line.*,negative
The U.S. remains the country worst hit by COVID-19 with the world's highes…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
This will go into effect following full…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"It's also worth noting that the higher IFR in developing nations is despite these areas having few nursing homes. Indeed, nursin…",positive
"Merck says COVID-19 pill cuts risk of death, hospitalization",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Why hasn't ivermectin been submit…,negative
"🌏In the trial, 775 patients around the world - including in the UK - with at least one risk factor for severe illness began…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
2 Virginia children die from COVID-19 in 3-day span | Fox News,negative
Enough is enough. COVID-19 doesn’t get to frighten and discourage me with its tyranny anymore. The same goes for the Brexi…,neutral
More people dead from Covid-19 than the whole population of Boston.,negative
Why max 100 people in a Funeral but max 75…,negative
"AIDS Healthcare Foundation (AHF) Dr. Chhim Sarath, Asia Bureau Chief, “Donation of School materials and Food” support are…",positive
I keep learning new things about Science,positive
The U.S. remains the country worst hit by COVID-19 with the world's highes…,negative
Read it to those you love who fear vaccine. This way of dying is scarier.,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Now she wanna be gd 😒,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"We definitely encourage them to go with the same rollout, since we had good success early on.\"",positive
- Grocery shops &amp; Veg shops,neutral
"* That we've counted, offic…",negative
‘He was a loving little boy’ Mother wants her 6-year-old son who died of COVID-19 to be remembered. Why are the SeditionSupporters in the  so comfortable with Covid deaths of NCKids? ⁦⁩ ⁦⁩ ⁦,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Respect.,positive
🚨☀️☀️☀️🚨,neutral
"Like, politicians announce vaccine mandates for kids",negative
▫️30 linked,positive
Enjoy it.,positive
