"",""
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
U.S. stocks rallied broadly with investor sentiment boosted by positive economic data and progress in the battle against COVID…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Since the start of the COVID-19 outbreak, DSS has worked on public health measures to slow or stop the spread of the virus,…",negative
The MSM doesn’t seem to be covering the reduction in Covid-19 in Florida.,negative
Did you need good news this morning?,positive
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
"\"But there's a small group in society who [say], 'You know what you can do with your regulations.'",positive
Day,positive
Is Covid-19 more lethal in a funeral??,negative
65% say…,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
California will mandate COVID-19 vaccines for children attending school once the shots are federally approved for their age groups…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
I keep learning new things about Science,positive
↓,neutral
Vaccine Death Report,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Health Ministry clarifies viral video of empty syringe in UM Covid-19 vaccination for teen (VIDEO)  ...,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Dallas County Judge Clay Jenkins spelled out the dire COVID-19 situation, saying that there are zero ICU beds left for child…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Here are all the potential COVID-19 exposure sites in Nova Scotia,negative
"",positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
