"",""
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead S…",negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
Senator Feinstein introduces bill requiring vaccine or negative COVID-19 for domestic flights,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This is the vaccine that Jas…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
this segment brought to you by Covid-19,positive
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
And here’s another one. Less sympathy this time….,negative
"U.S. hits 700000 COVID deaths just as cases begin to fall - NPR * U.S. hits 700000 COVID deaths just as cases begin to fall  NPR * US COVID-19 death toll hits 700,000  Reuters * US hits 700000 COVID deaths just as cases begin to…  -Follow me more news",negative
they would probably ban this in Aus,negative
"50sWomen had few rights; personal, work, pay, pensions. Often coming from poverty, working our way out, many pushed back in…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Can parasites enter the lungs via the air?,positive
This will go into effect following full…,positive
"INDIA'S DAILY COVID-19 CASES RISE BY 24,354- HEALTH MINISTRY",negative
"Just eight of the 33 Vermonters who died of  Covid-19 in September were Unvaccinated, the Vermont Department of Heath sai…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
"➡️ Total number of cases 38,890",negative
COVID19,neutral
✔️ Booster shot,negative
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Warren County urges vaccination after local man dies from COVID-19,negative
FreeCovidVaccination,neutral
Breakthrough! IDWeek2021,positive
The former  chief  m…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The person who had received two doses of a COVID-19 vaccine was a man in his 60s from western Sydney who acquired his infect…,negative
"On this episode of the State Hornet Podcast,  takes a look at the big stories of the week, including HEERF payments, 88 students who have not certified their COVID-19 vaccination and more.",positive
➡️ Deaths reported today 0,negative
This will go into effect following full…,positive
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
This will go into effect following full…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
💭I wonder if he took a dose of his own medicine?,neutral
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
📌 01.10.2021 khan COVID-19 positive 1626 hmuhchhuah a ni.,positive
"",""
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
8 billion - 5 million not even a blip,positive
"On this episode of the State Hornet Podcast,  takes a look at the big stories of the week, including HEERF pa…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
