"",""
An organization representing school boards across the U.S. is asking the federal government for help in response to threats and ha…,negative
Covid-19 vaccination brings absolutely no health benefits. Do not take the poison. Do not vaccinate.,negative
"This is shameful, before even getting approval announcing a mandate. This is how corrupt the system is, snd it is not fo…",negative
"The husband of EU Commission President Ursula von der Leyen, Heiko von der Leyen, is the medical direct…",negative
"Continuing to safeguard the health and immunity of the susceptible section against COVID-19 infection, CASA distributed 200…",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Eritrea Announcement from Ministry of Health,positive
"",""
This is depressing.,negative
"",positive
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates - USA…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"India reports 24,354 new COVID-19 cases, 234 deaths in last 24 hours",negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Trust in social media linked to heightened susceptibility to COVID-19 conspiracy theories via,positive
"Covid-19 pill cut hospitalizations and deaths by HALF, maker Merck says",negative
English people defying lockdown/social-distancing orders in London to tell the government it can stick the poison Covid-1…,positive
"Say \"NO\" to covid vaccine",negative
"",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"In fact, an independent group…",positive
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
"(1) They count Covid deaths *entirely* differently than we ever counted flu &amp; cold deaths, radically inflating…",positive
FFS. California will only allow kids to go to school if they get the vaccine.,negative
Betul.,positive
*86 patients diagnosed positive for COVID-19 at Q/Centers in four Regions;,negative
I am vaccinated since April 2021.,negative
Covid19 CoronaVirus Vaccine,negative
🚫🚫💉💉🚫🚫,neutral
Super simple poll.,positive
"",""
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
*11…,positive
Will anyone blame government for all this??? I will be so shocked. It really shows restrictions around June - July when covid-19 was killing people was so relevant.. We  could be finished by now,negative
Alaska Air Group has decided all employees are required to get the COVID-19 vaccine.,negative
I still wear a mask.,negative
Watch Video,positive
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates - USA TODAY   news worldnews,negative
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates - USA…,negative
"Nova Scotia is announcing 77 new cases of COVID-19 today, October 1. There are a total of 240 active cases in the province.",negative
"Survey According to official data from the Office for National Statistics, the mortalit…",positive
“At least we’re not Alberta” is a terrible defense of how the Ford government has handled the pandemic. Everything they‘ve…,negative
If you are 16 or 17 you can walk into any of the sites below to get your COVID-19 jab without an appointment.,positive
65% say…,positive
Exactly... this makes no sense . I can’t help but think it is designed to hit people where it hurts .For many in SA fune…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Overweight and obesity increases the risk of someone to get complications from covid.,negative
I don't want this to happen to me either.,negative
Super simple poll.,positive
3.4 billion single-use fa…,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
