Please stop infighting and vaccination! Join us to eradicate the CCP!,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
65% say…,positive
"Despite the population's 82 per cent double vaccination rate, Singapore's ministry of health recorded 2,236 ne…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
So that means 2/3rds ARE VACCINATED?  Covid-19 in Wales A third of positive cases are the unvaccinated,negative
"*104 patients diagnosed positive for COVID-19 at Q/Centers in Central, Southern…",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
The Kenyan Safari Rally has made its much-anticipated return to the World Rally Championship (WRC) calendar after last yea…,positive
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
Or fully vaccinated?,positive
"Kavanaugh shows no symptoms, is --fully vaccinated--, cou…",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Exactly.,positive
Super simple poll.,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
🆘The economy has been severely affected by the Covid-19 pandemic worldwide. So Income is a problem for many people.,negative
"6,563 total deaths",negative
"",""
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
😳😳 Is this real life?,positive
"11 more die from COVID-19 in B.C., as 714 new cases confirmed",negative
Block Moga Panjab,positive
You no longer need to self-isolate because of being in contact with someone who has COV…,negative
"This is shameful, before even getting approval announcing a mandate. This is how corrupt the system is, snd it is not for their health, because children simply don’t need them.",negative
Governor Gavin Newsom announced California will be the first state to require all students to get vaccinated against COVID-19…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US hits 700,000 COVID-19 deaths, three months after reaching 600,000 deaths  via @",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US COVID-19 death toll hits 700,000",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, with unvaccinated people particularly exposed to the virulent Delta strain.",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Belarusian President Lukashenko Says IMF Offered A Billion USD Bribe To Impose Covid-19 Lockdown,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
🎀Le…,neutral
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"You had your chance, CA. Unfortunately, this is what you get.",negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
"If it make you break out in sores or pox or something blatant and obvious, alot harder to ignore that.",positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Typical communist tactics. A proxy to spread fear. Bad actress.,negative
"When (if?) this COVID-19 thing finally plays out, nobody will take seriously the \"rational\" viewpoint of the 25% of the world that had 65% of COVID-19 cases and 75% of COVID-19 deaths.  And nor will anybody ever see the democratic west as \"stable\" again.",negative
This post also explains how COVI…,positive
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
FreeCovidVaccination,neutral
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
"Novel Insights on COVID-19 Vaccines and Virus Evolution, Artificial Intelligence in the Clinic, Miniaturization of Diag…",negative
A whistleblower has provided government data,negative
"How about governmnet of Canada, Alberta, AHS?",positive
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"documenting 48,465 deaths",negative
Covid19,neutral
This will go into effect following full…,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Merck to seek authorisation for oral COVID-19 drug,negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
Kids do seroconvert.,positive
"Whom they are working for, who knows.",negative
Allegations that P…,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Yes what happened to all the empty vaccine allegations in the past,negative
COVID-19 and the flu Canada preparing for first surge of other respiratory infections during pandemic,negative
Work coordination meeting on giving COVID-19 vaccine to 12 years and above students of high and middle schools of Basic Educ…,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
↓,neutral
"In fact, an independent group…",positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"Whenever I participate in public events, I wear a mask the whole time. Then I get tested for Covid a few days later. I sign…",negative
I keep learning new things about Science,positive
Singapore has fallen.,negative
Queensland Nurse Says She Will Not Get The COVID-19 Vaccine “Horrific Adverse Reactions Are Going Unreported”,negative
Friday COVID-19 numbers for Iowa,negative
"In fact, an independent group of experts recommended stopping it early because the interim results beat all expectations --&gt;",negative
Super simple poll.,positive
within 14 days of COVID-19 vaccination,negative
"",""
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Rick Morton’s articles are some of the most important journalism being produced in Australia at the moment. 👇🏻👇🏻👇🏻,negative
Yes it is. Look up how COVID-19 deaths are counted.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
"Like, politicians announce vaccine mandates for kids",negative
(from Sept 29 to Oct 1),positive
65% say…,positive
A study on the impact of COVID-19 lockdown on physical activity &amp; weight gain among active adult population in Israel  shows a negative effect of lockdown &amp; social distancing policy on PA levels &amp; weight gain.,negative
among Medica…,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"A TikTok sensationalizer gets reframed as human rights lawyer 😂. The quality of WSJ and their \"journalists\".",negative
Thomas Tuchel N'Golo Kante has 'some' Covid-19 symptoms after testing positive but 'he's OK and doing well'.,negative
"",""
"Lin Wood points to an elaborate Covid-19 Enterprise Fraud Construct Timeline by PoliticalMoonshine. Quite interesting,…",positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
Clovis parents are crying and throwing up rn.,negative
This treatment WORKS.,positive
Book an appointment or attend a drop-in centre if you have not had your COVID-19 vaccine yet,neutral
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
NDIS workers urged to share vaccine status,negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
- Your mandates for students ARE Unconstitutional-SEE the FACTS at Harvard University.,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
"In fact, an independent group…",positive
Bright PCAP Display Enables COVID-19 Rapid Testing Kiosk,positive
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
before the FDA approves the…,negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"It will (sadly) reach over 1,000,000 before this nightmare is over.",negative
"\"human error\" my ass IT LOOKED INTENTIONAL",negative
Report 13-year-old dies in sleep after getting COVID-19 vaccine; CDC investigating | WFLA,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"PHE \"Wear a face covering in enclosed spaces, avoid mixing with others if you feel unwell &amp; get a PCR test straight aw…",neutral
"UBC isn't releasing their COVID dashboard because they're worried the information could make people \"more anxious.\"",negative
Covidcure Covid19 Coronavirus,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
FFS. California will only allow kids to go to school if they get the vaccine.,negative
South Australia records two new cases of COVID-19,negative
Clovis parents are crying and throwing up rn.,negative
"According to an Oxford University Study, Fully Vaccinated Healthcare Workers Have 251 Times the Virus Load of the Unprotected, Showing That the Covid-19 Vaccine is Harmful",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"a damning draft report this week in which the federal disability royal commission found the rollout of COVID-19 vaccines to people with disabilities &amp; their carers has been \"seriously deficient",negative
↓,neutral
Super simple poll.,positive
Respect.,positive
Excellent explainer on what endemic Covid-19 means for public health (hint it’s not just ignoring it and going back to pre Covid normal),negative
aren’t there rules for members of parliament ?….If not..why not ?,negative
Bad news for the Left,negative
9.5% 14-day test positivity rate,positive
Super simple poll.,positive
Free course enrolments,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Eritrea Announcement from Ministry of Health,positive
[via …,neutral
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Thank you Janez - We collect the real data on the Covid-19 issue generally.  The death rate from Vaxxes could be far greater even just in the USA alone.,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Under 18?,positive
cc,positive
Bad news for the Left,negative
How much damage has been…,negative
"Under Prarthana Scheme initiated by HCM Dr  dangoria, &amp; as a guardian minister, I distributed one-time fina…",positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
👈🏼💦,neutral
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
65% say…,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
But…,negative
Total tests vs cases vs deaths to Covid-19 since the beginning. bcpoli covid19 testing,negative
Not really. Those two have many more open and obvious signs of sickness than COVID-19 does. One of COVID-19's most dangerous attributes is its appearance of subtlety.,positive
