"",""
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Zambia's 2021 Q2 GDP show that the economy grew by 8.1% compared to -5.1% in Q2 of 2020 (ZamStats). Arts, entertainment &amp; recr…",positive
The government fell short in some of its targets but continued to expand the national vaccination program against the C…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
1 635 new coronavirus cases recorded in SA,negative
$spy COVID19,neutral
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
Super simple poll.,positive
↓,neutral
👈🏼💦,neutral
Propaganda machine in full swing. They must eliminate the control group at all costs.,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"\"Study COVID-19 Vaccines INCREASE Deaths and Hospitalizations from COVID-19 Based on Analysis of Most-Vaccinated Countries\"",negative
Super simple poll.,positive
Clarendon Leisure Centre (Liverpool…,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Masks are required while shopping.,neutral
65% say…,positive
BrettKavanaugh Tests Positive for Covid-19  via,negative
"Ministers have now confirmed the infection fatality rate of COVID19 is 0.096%, comparable to flu.",negative
👈🏼💦,neutral
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
The last variant of COVID-19 has been named. It’s called Communism.,positive
"",""
A whistleblower has provided government data,negative
"",""
New COVID-19 Data Supports Ending School Mask Mandates,positive
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
65% say…,positive
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
A new antiviral drug from Merck offers hope for keeping patients infected with COVID-19 out of the hospital and alive. But it…,positive
Is this what the Covid-19 Virus supposed to do to humans? Just asking!,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
7 Day Covid Growth in Deaths per 1K Population by County For NJ   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
From  i/w,positive
"If you're invited, get the jab to stay protected. 💉",positive
Dr.Fauci is the Godfather of all Gain-of-Function research in America &amp; China and sure he knows all of what happened since Covid-19 Pandemic started until now &amp; may be he knows if there is a cure for this pandemic but he doesn’t want to reveal it so vaccine companies will profit,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
"1 635 new COVID-19 cases have been identified in South Africa, which brings the total number of laboratory-confirmed cases to 2 904 307. This increase represents a 4.4% positivity rate.",negative
Respect.,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"documenting 48,465 deaths",negative
"",""
God should help me to postpone Xmas to Feb. 2022.   Kubanga... COVID-19 🏃🏃,positive
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announced in San Francisco Friday",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
All guests age 12 a…,positive
The Launch of Covid-19 Vooma Weekend Vaccination Campaign in North West (JB Marks District Municipality (Ventersdorp) wa…,negative
"If only our \"experts\" and \"leaders\" were as articulate and nuanced as a litany of NBA players have been lately about this t…",positive
💬Foreign Ministry Spokesperson Hua Chunying responded to fans of YuzuruHanyu 羽生結弦,negative
"",""
"If the COVID-19 vaccine was any good, it would stop the spread of COVID-19.",negative
-John C. Dvorak,positive
Covid-19 is a political chess piece for Labor and Liberal.,positive
within 14 days of COVID-19 vaccination,negative
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"This may well be the tip of the iceberg. BREAKING - 30,305 people died within 21 days of having a Covid-19 Vaccine in Engl…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Warriors forward Draymond Green questions the politicization of the COVID vaccine,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
the Covid-19 fight has also made us realise that we need to further strengthen our efforts fo…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"A Global Flu Outbreak Could Be Far Worse than COVID-19 Pandemic, Kill 3.3 Crore In First Six Months Experts | The Weather Channel – Articles from The Weather Channel |  – The Weather Channel",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…ineptitude, the fact that we don't have a true health care system, as much as a sick care system…racial inequi…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
The majority of new cas…,positive
"In Madagascar, 4 out of 5 children under 2 suffer from chronic malnutrition, but the food crisis in the south and COVID-19…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"CDC reports that over 80% of COVID-19 vaccine adverse events, hospitalizations, and deaths occur within 14-days",negative
"",""
Hundreds of health care workers across the country are being fired or suspended in droves for not complying with COVID-19 vaccine…,negative
The world is facing an unprecedented challenge by the growing COVID-19 pandemic. Dera Sacha Sauda organizing FreeCovidVa…,positive
Why would anyone even think of doing this ?? “Sigh”,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
The only things this vaccine has stopped is common sense and the flu!,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
among Medica…,positive
A cousin of mine has recently passed away due to COVID-19 and they are trying to cover funeral costs,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
Brief thread on how Molnupiravir works. This is the promising COVID-19 antiviral that appears to prevent 50% of hospitali…,positive
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
BREAKING Auckland truck driver who travelled to Palmerston North positive for Covid-19,negative
The news is pretty grim 🧵,negative
"Earlier, Beijing2022 organizers…",positive
Vaccinated or not. You feel a type of way about someone’s covid-19 vaccine status you are the problem… period,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
It's a Pawn -- and the only Pawn they've got!,neutral
"",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
How much damage has been…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
‘Excess deaths’ during the pandemic in India was 5.8 times the official COVID-19 death toll,negative
Hong Kong overtakes US in Covid-19 vaccinations after slow start,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
here is ’s rather odd &amp; scientifically dubious presentation,positive
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
don't say that then corona will come,positive
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
"",""
There’s a walk-in COVID-19 vaccination clinic in Salford today ❗,negative
CDC doesn't co…,negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
"The latest Sinovac shipment brings to 74,707,940 the total COVID-19 vaccine doses delivered to the country since February…",negative
Dr.Fauci is the Godfather of all Gain-of-Function research in America &amp; China and sure he knows all of what h…,positive
