Well it doesn’t seem to be ‘sweep…,negative
Possible jail time if you fake a Covid-19 A result,positive
How to increase acceptance of COVID-19 vaccines?,negative
Get your vaccine booked today,positive
65% say…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
👈🏼💦,neutral
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Cluster of COVID-19 cases found at Haywood Co. church,positive
"Don’t let an American antivaxxer freedom progun QANON AustraliaHasFallen twit lecture us in Australia. USA just passed 700,000 deaths from Covid19, 108 days after it reached 600,000 Covid-19 deaths. According to data from Johns Hopkins University 43,615,149 cases auspol",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Russell if you Don’t Like it Bugger Off and quit!,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
.       — COVID-19 means that the 128M children living in conflict right now are doubly at risk of missing out on an education. Will you support  to help all kids ReturnToLearn? GlobalCitizen,positive
NEW Supreme Court Justice Sotomayor let New York City start enforcing its requirement that school employees be vaccinated agains…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Me Covid-19 Vaccines wasn’t in existence the last time Arse…,negative
"98 is only 3% of 2700, which means out of that 2700, 97% survived! What's even better about math is that SC's population is 5.4 million! Isn't actual math and science fun?! scnew chsnews Enough is Enough.",negative
"COVID-19 update As at 01 October 2021, Zimbabwe had 131 028 confirmed cases, including 123 398 recoveries and 4 624 deaths.…",negative
"Depends on the state, county and city",positive
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
"New Tumblr post \"Noida extends COVID-19 curbs ahead of festive season, check guidelines here\"  News, Topnews",positive
I’m moving $1B of my Square equity (~28% of my wealth) to startsmall LLC to fund global COVID-19 relief. After we disarm this pa…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Merck pill seen as ‘huge advance,’ raises hope of preventing COVID-19 deaths – Reuters",negative
The Defense Logistics Agency awarded six contracts valued at just over $2.78 billion for millions of at-home and point-of-care COVID-19 test kits in support of Whi…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Malaria Surveillance of Entry People During the COVID-19 Epidemic - Guangdong Province, China, October 2020-May 2021 htt…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
The support measures implemented by many governments in response to COVID-19 have led to a policy environment shaped by…,positive
BREAKING Merck &amp; Co. said its experimental antiviral pill for COVID-19 reduced the risk of hospitalization or death by roughly h…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
7 Day Covid Growth in Deaths per 1K Population by County For NC   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Prevalence and characteristics of malaria among COVID-19 individuals A systematic review, meta-analysis, and analysis o…",negative
EFF Statement On Adjusted Level-1 Lockdown Regulations And,negative
"",""
news worldnews googlenews sport fortnite vbucks roblox,negative
COVID-19 Status Update for 10/01/2021 – Marin County Coronavirus Information,negative
"In new research, we focus on the dual impact of info &amp; motivation",positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
❗CALL FOR DONATION❗,positive
VaccinateDerby VaccinateDerbyshire,positive
Rebekah Jones and Tracking COVID-19 in K12 Schools  via,positive
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Government lifts COVID-19 restrictions for the next one month starting tomorrow -,positive
Show me the proof that would stand up in court that shows covid-19 is real?,positive
Would you like to help in the research to fight COVID-19 by participating in a clinical trial? We are studying a booster v…,positive
I’ll take Covid-19 vaccine for work of gospel – Adeboye,positive
"President Cyril Ramaphosa has slammed conspiracy theories against Covid-19 vaccines, saying the government would never want…",negative
"International COVID-19 death toll in US passes 700,000",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
The news is pretty grim 🧵,negative
↓,neutral
Government COVID-19 Response,negative
"Coronavirus, live | Merck will request authorization in the US for its Covid-19 pill, which would be the first oral antiviral drug",negative
India Check COVID-19 / Government / Private hospitals list,negative
"",""
👈🏼💦,neutral
"NEW Pfizer is ready to ask the FDA for authorization to use its Covid-19 vaccine in children 5-11 “within days,” Pfizer CE…",negative
"I don't know what it is about the NBA, but that's the third player in a week who's just sitting down and talking sense lik…",negative
⁦⁩ see what your COVID-19 vaccine has done… bastard schools authorities 😡,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
The last country I expected to make us look bad?,negative
news worldnews googlenews sport fortnite vbucks roblox,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
Florida nearing pivotal 85% mark in COVID-19 immunity – FOX 13 Tampa Bay,negative
"In the midst of dealing with school, family, and personal matters, there are no exceptions to the poss…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
Breaking FoxNews Alert  Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
Can You Still Spread Covid-19 After You Get Vaccinated? - The Wall Street Journal,negative
Still need to book your Covid-19 jab?,positive
This will go into effect following full…,positive
‘There’s a lot more damage being done to our citizens as a result of COVID-19 vaccinations than any other vaccination pro…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
"",""
Vaccination against Covid19 is safer than catching Covid-19 and will protect you and those you love.  …,positive
"From ‘A COVID-19 Recovery Plan for Young People’, Youth Affairs Council Victoria, p.28.",positive
"",""
"",""
news worldnews googlenews sport fortnite vbucks roblox,negative
Gov. Ige Extends Covid-19 Emergency Proclamation For Two More Months – Honolulu Civil Beat,negative
COVID19Vic,neutral
Clovis parents are crying and throwing up rn.,negative
Burdensome…. Protecting lives is burdensome.  Wow!!  LeadershipMatters,positive
Back from your vacay?,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Portugal is among the most highly vaccinated countries in the world. Vice Adm. Henrique Gouveia e Melo, who led the campaign, said there was a key to his success Keep politics out of it.",negative
"Arkansas Senate committee passes 3 bills against COVID-19 vaccine mandates, bills head to Senate",negative
"COVID-19 Deaths Eclipse 700,000 in US as Delta Variant Rages",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
How COVID-19 can damage all five senses  via,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"At the United Nations, Nicaragua's Sandinista government condemned US and EU imperialism, called for climate reparation…",negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Defense Logistics Agency Supports White House Initiative With $2.78B in Testing Supplies,positive
"",""
"Our website has all the information you need about how to book, where and when your nearest clinic is, and which vaccine and doses are available.",positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
U.S. Supreme Court Justice Sonia Sotomayor refused to block a requirement that all of New York City's public school teach…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
hospital HospitalPlaylist Medical meditation COVID19 coronavirus IndiaFightsCorona Indian Indian,positive
"The first  batch  of government  procured   Johnson  and Johnson  vaccines (196,800 doses) are expected  to arrive in the coun…",negative
What wasn’t in existence the last time your club won a trophy?,positive
news worldnews googlenews sport fortnite vbucks roblox,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"Companies, minor-league baseball teams lose 9th Circuit COVID-19 coverage appeals – Reuters",negative
Super simple poll.,positive
↓,neutral
"",""
"",""
