Why hasn't ivermectin been submit…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
Die bitch,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"This was how I was treated as a child; vaccines offered protection against disease. Why should children be stopped from being  protected against Covid's ravages by adults who are not clinically trained, and are deluded about Covid's impact on human bodies?",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
California to be 1st state in nation to require COVID-19 vaccines for school children,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
The NIH has reported that manyNewsATW,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
Addressing the Session on Sustainable Development Goals in the light of Humanity’s experience with COVID-19 at the Norman…,positive
Sounds familiar,positive
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
Here's a look back at the COVID-19 stats in Texas in September.,positive
"Telehealth, because no one wants to be in a crowded waiting room full of sick people.  (up to 7 dependents)",negative
"Victoria has administered 91,450 doses of COVID-19 vaccines in 24 hours.",negative
👈🏼💦,neutral
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
Over 5.28 Crore COVID-19 Vaccine Doses Still Available With States And UTs Union Health Ministry,negative
"",""
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
How COVID-19 can damage all five senses  via,positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"LOOK At least 51.59% of eligible Metro Cebu residents are fully vaccinated against COVID-19 as of Saturday, October 2. | via",negative
NewsBrief,neutral
Our on-form President also reassured our paranoid &amp; vaccine-hesitant men that it is all false &amp; a conspiracy that vaccines i…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
🔥🔥🔥SHOCK VIDEO Senior doctors and a marketing director at in North Carolina discussed inflating COVID-19 numbers by counting…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"from , , etc.",positive
More insights,positive
This post also explains how COVI…,positive
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
"Bay Area, CA always “prided” themselves on inclusion. 🌈 It is fully the opposite now. Complete segregation &amp; medical and religious discrimination for employees and now the kids. 🇺🇸",negative
Prescribed blood thinners can help reduce hospitalizations related to COVID-19 -India News Cart,positive
They’re not your kids. They’re mine.,positive
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"J-K reports 133 fresh Covid-19 cases, one death",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
Full breakdown in the thread below.,positive
81.5 per cent of Victorians (over the age of 16…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
via NaMo Ap…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
15/V,negative
See breakdown of vaccination stats of other LGUs here,negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Thanks Brad!,positive
Jason Kenney keeps comparing Alberta's current COVID-19 crisis to the worst peaks in other provinces.,negative
"",""
"",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
SA Health is on high alert after another COVID-19 case was detected. 7NEWS Adelaide at 5.30pm and 6pm. 7NEWS,negative
"US surpasses 700,000 COVID-19 deaths",positive
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Long_Covid life-altering changes,negative
Leadership,positive
↓,neutral
"\"SARS-CoV-2 infec…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"It's been less than a week since B.C. resumed posting public notices about COVID-19 exposure events in schools, but one L…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
RatoPati Political parties largely defying COVID-19 safety protocols can trigger the third wave Experts -,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages COVID-19 deaths eclipse 700,000 in US as delta variant rages By Tammy Webber and Heather Hollingsworth | Associated Press It’s a milestone that by all accounts didn’t have to happen...",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covi…",negative
