Why hasn't ivermectin been submit…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Not sure what this means other than there’s challenges to the emergency directions. If section 10 of the human rights c…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Please. Get. Vaccinated.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Pregnant women. Women get pregnant. This isn’t hard.,positive
AN OTHER OHMO RESEARCH TEAM'S NEWEST PUBLICATION,positive
"",""
He was a sheriff. Ffs.,positive
Studies Reveal Nasal Sprays Lessen Impact of COVID-19 - UncoverDC,positive
"I see Dr. Henry is in trouble for comparing the pediatric COVID-19 outcomes of influenza and COVID-19, which are very comparab…",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
The former  chief  m…,positive
Gladys resigns just as her incompetence kills over 400 people from the Covid outbreak she caused.,negative
Can healthy people who eat right and exercise skip the COVID-19 vaccine? A research scientist and fitness enthusiast explains why the answer is no,positive
How many monoclonal antibody sites does Ontario have?,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"Rural America\" = Trump red states.",neutral
"Thousands gathered at Auckland Domain for Brian Tamaki's protest against Covid-19 restrictions; despite L3 lockdown. As you can see from the article, there was little distancing &amp; limited mask wearing",negative
...spoiler alert pandemic isn't over.,negative
The news is pretty grim 🧵,negative
Student…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"\"The current wave drew comparisons to the worst surge experienced during the winter months — only now, Covid-19 vaccines are widely available and infections are being registered overwhelmingly among unvaccinated people.\"",negative
Every state in the union requires vaccinations for students. Eventually every state will require COVID shots for kids. It sh…,negative
