Does anyone care about the elderly?,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
“Ontario policymakers have recognized that transmission of COVID-19 happens primarily through the air and have responded…,positive
A preventable tragedy. How many of those last 100K deaths were among unvaccinated individuals? It’s infuriating.,negative
Do you know for certain that the 10 year old girl contracted COVID-19 from a child in her school?,positive
Maine 22 percent,positive
"",""
"Currently looking for a new Chief Operations Officer. With COVID-19 amongst us I am hoping that our new COO, can help Braventure look for new grant and fundraising opportunities!",positive
So he tested positive.,negative
"Saturday, 10/2, at Madison Square Garden.",positive
"",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"dilemma of whether or not to let them leave home uncontrollably (in Indonesia, this is how Covid-19 ended up ravaging the countryside and it became too late to reverse in the end, whereas in VN it’s still largely an urban disaster). That’s why I emphasised “nth time” bc 2/",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"The World Health Organisation has been telling us the COVID-19 virus was isolated by the Chinese Communist Party's scientists,…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Put it in pills, Americans love pills",positive
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
* Dormitory cases 818,positive
Or are you making assumptions?,positive
Pennsylvania 19…,positive
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
Mask model Rey says get vaxxed and see the link in the thread below on how to properly wear a mask if you want to attend  ! Let’s Earp safely! EHCon2022 WynonnaEarp,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
How many in ICU are children?,negative
"Is there also a test to find out who paid off his mortgage, credit cards &amp; country club fees?",positive
Masks are required while shopping.,neutral
"\"No matter your politics or how you feel about elements of her handling of the Covid-19 p…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Haaa moderna has less side effects than astra_zeneca.,positive
*…,positive
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
"After 18 months of some of the world's most severe border restrictions, Australia is set to ease its Covid-19 travel ban, PM M…",negative
COVID-19 has been infected by Brett Kavanaugh,negative
