←資料,neutral
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"At the request of many readers, I'm compiling and…",positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Covid-19 will be added to the list once a couple more effective treatments get approved. The vaccine isn't going to stop this. The treatments will.,negative
"Governor,  ’s  just asked you TWICE if you were going to vaccinate YOUR young children when they are el…",positive
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
This isn’t about kids. This is about teacher’s unions.,negative
HOME. SCHOOL.,positive
Intra-East African Community trade dropped by 5.5 % to $5.9 billion in 2020 due to the Covid-19 pandemic.,negative
"",""
They must Rise &amp; protest 🤨,positive
See how much Covid-19 relief money health care providers in your state got.,positive
"",""
Shionogi aims to complete the final-phase clinical trial for its oral COVID-19 drug in December and start supplying it by t…,negative
"700,000 souls.",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
The California National Guard has dispatched medical teams to three beleaguered hospitals in Northern California and the Cen…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"So does that mean MVH is out as Ward 1 councillor then, since he's obviously against it.",positive
Growth in 7D US Confirmed Covid Deaths by County For MI   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Merck and Ridgeback’s Investigational Oral Antiviral Molnupiravir Reduced the Risk of Hospitalization or Death by Approximately 50 Percent Compared to Placebo for Patients with Mild or Moderate COVID-19 in Positive Interim Analysis of Phase 3 Study,negative
"…early results showed patients who received the drug, called molnupiravir, withi…",positive
🚨New Pill shows promise of cutting risk of hospitalization or death from Covid-19 *in half.*,negative
"this is France, each week ppls protest by millions &amp; tomorrow they will start Manifs2octobre against mandatory vax again ! COVIDIOTS",negative
You can find the full list of exposure locations here,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Who is a Corona hero?,negative
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Serious shit..,negative
"California will be the first state to require schoolchildren get the COVID-19 vaccine, Gov. Newsom announces",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
It appears COVID-19 and Karma are colluding.,neutral
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
The news is pretty grim 🧵,negative
The pandemic…,positive
How many children in California have died from Covid?,negative
"In policy shift, Alaska Air requires COVID-19 vaccine for employees - Anchorage Daily News   news worldnews",negative
"\"Rural America\" = Trump red states.",neutral
Rand Paul prods Xavier Becerra to apologize to COVID-19 survivors for 'flat-earthers' crack  via,negative
"In policy shift, Alaska Air requires COVID-19 vaccine for employees - Anchorage Daily News",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
What really started COVID-19,positive
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
"Those aging at home, and the families (which may include vaccine ineligible children) they live with, should be assured that…",negative
Daughter of Virginia senator who died of COVID-19 urges neighbors to get vaccinated,negative
"In policy shift, Alaska Air requires COVID-19 vaccine for employees - Anchorage Daily News",negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Sorry but I don’t understand why people are immediately discounting the fact that covid-19 laws paid a part in Sarah Eve…,negative
He was a sheriff. Ffs.,positive
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Good reminder courtesy of  why when Taiwan tech companies &amp; GDP do well blue collar don't always benefit; manufacturing jobs staffed by low wage Philippines labor contribute enormously to Taiwan's success.,positive
via NaMo Ap…,positive
"The ACT has equaled its deadliest COVID-19 day with three deaths recorded overnight. An additional 52 locally acquired case have been reported, more than half infectious in the community. COVID19 7NEWS",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"\"What we know is that this disease is amenable to risk stratification and not all individuals require treatment. Approxi…",negative
Its insane,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
Put your states high…,positive
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
"",""
CronaVirusUpdate,neutral
"",positive
"The US has surpassed 700,000 Covid-19 deaths.",negative
This makes it the 1st o…,positive
Read the last line. 👌,positive
**This claim about Covid vaccines protecting you from getting severely ill is misleading and cannot be scientifically proven one way or the other,positive
Facts,negative
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Ladakh recorded seven fresh COVID-19 cases and 28 recoveries on Thursday, bringing down the count of…",negative
What really started COVID-19,positive
"Children’s Physical Activity, Screen Time, and Mental Health During COVID-19  via  part of",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"He \"declined invitations\" from activists who were in indigenous nations under covid-19 lockdowns in BC.",negative
"",""
"US hits 700,000 COVID-19 deaths just as cases begin to fall",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
WCHS Pioneers lose to Coffee County 33-14. Warren County was without several starters due to COVID-19 and injuries. Read Sunday’s Southern Standard for more in-depth coverage.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
Respect.,positive
"The ACT has equaled its deadliest COVID-19 day with three deaths recorded overnight. An additional 52 locally acquired case have been reported, more than half infectious in the community. COVID19 7NEWS",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
COVID-19 death rate in rural America now double that of urban communities,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Is he…you know…☠️?,positive
"The ACT has equaled its deadliest COVID-19 day with three deaths recorded overnight. An additional 52 locally acquired case have been reported, more than half infectious in the community. COVID19 7NEWS",negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
Fourteen more Albertans died of COVID-19 yesterday.,negative
