‘All my friends are getting vacc…,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"Twitter really should have an option for \"this person is doing public relations for fucking COVID-19 and is actively encoura…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
No they dont you sinister demon goblin,positive
Merck says experimental pill cuts worst effects of COVID-19,negative
Lifetime appointment might be shorter than you think. Kinda like his height lmao.,positive
Solar flares from the corona of the sun hitting the planet which will upgrade yo body and unlock dormant god genetics . Gov…,positive
Bad news for the Left,negative
"Waiver All the GST Late Fees,",negative
This will go into effect following full…,positive
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Potential charges on Lt Col Scheller,negative
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
"🧵 72,000 people paid at least $6.7 million for COVID-19 consultations promoted by America’s Frontline Doctors and vaccine…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"last year (2020) also, due to undue intention and harassment by Pharmacy HOD, neither EQUAL service extension nor TWO MONTHS SALARY is EXCEPTIONALLY given to me amid COVID-19 pandemic by CSJM University Kanpur even after several requests (3/4)",negative
"Suspicious cat, again.",positive
COVID-19 vaccines may cause organ damage; pathologists ask for autopsies to investigate inoculation programs.,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
Ministry of Finance,negative
This post also explains how COVI…,positive
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
MUKHYAMANTRI COVID-19 PARIVAR AAHIK SAHAYATA YOJANA,positive
Rare. 🙄,positive
"GSTR 1, 4 9 10  Final Return",positive
"Bank Loans, EMIs Pendings.",positive
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"",""
How's this shit🤦🏻‍♀️Hell no to mandatory shots for my children🙅🏻‍♀️,negative
Global Covid-19 cases reached 23.42 crores,negative
Here is the government telling you that a thing (getting your child vaccinated) which is currently illegal will soon become (effectively) mandated. What do people who support speech this believe?,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
"As a second wave of COVID-19 cases sweeps the U.S., the number of deaths continues to rise. Scientists and health officials urge Americans to get vaccinated, pointing to data showing people who get the shot are far less likely to be hospitalized or die from the virus.",negative
Can someone please make it make sense.,negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
"It depends on which ego is in charge.TheDeal\"Ur\"",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"The saddest part of it all is how it will affect Māori, because most of his cult base is Māori, sucked into his lies and…",negative
A whistleblower has provided government data,negative
"Save All India GSTPs, Tax Professionals, Tax Payers, MSMEs",negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
