"\"'Cannot believe we…",negative
"The first batch of 153,900 AstraZeneca Covid-19 vaccines from Belgium, arrived at Entebbe and they were officially hande…",negative
bcpoli Fraser Health has declared a COVID-19 outbreak at Good Samaritan Delta View Care Centre (LTC) in Delta.,negative
3.4 billion single-use fa…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19,negative
.,positive
Vaccine mandates cannot be justified.,negative
"US COVID-19 death toll eclipses 700,000",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
A whistleblower has provided government data,negative
• 5% were fully-vaccina…,neutral
"IndianArmy NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera.…",positive
California is now the first state to say it will require students to get vaccinated for Covid-19 once the FDA gives full appr…,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
"",positive
"",""
"There is a spam alert here,",negative
65% say…,positive
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
But they vaccinated everyone in the control group after 4 months.,negative
"Please, get vaccinated - and help family and friends…",negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This is government overreach on an unpre…,negative
"IndianArmy NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera. Extending medical care to underprivileged youth. Covid-19 medical kits also provisioned.",negative
.,positive
"",""
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"documenting 48,465 deaths",negative
but as with any Article twitter wants Hushed it is BS.,neutral
↓,neutral
One resi…,positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
"LATEST At least 98.2% of Denver’s more than 10,000 employees have complied with the COVID-19 vaccine mandate. That’s a mor…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
You knew it was only a matter of time until they came after natural immunity.,positive
"",""
WeCare,neutral
COVID19,neutral
"With 700,000 dead, the COVID-19 epidemic is the deadliest in American history, despite the fact that we have an effective, fre…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-associated hospitalizations in child…,negative
Congressional candidate says family treated COVID-19 with unproven ivermectin,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
Our meta-analysis about right ventricular dysfunction in COVID-19 patients is now published,negative
within 14 days of COVID-19 vaccination,negative
💂‍♀️A mobilizes military equipment to help people deal with flooding by emphasizing their sa…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Can someone please make it make sense.,negative
At bottom of page click,positive
👈🏼💦,neutral
"⚠️ 1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"ECTRIMS2021 | Prof Anat Achiron talks about her session \"Treatments in the context of MS about DMT’s and SARS-CoV2\"…",positive
India slaps UK nationals with reciprocal COVID-19 travel restrictions DontSpoilAfgPeaceAgain,negative
"Read the trial, they found that the vaccine group had MORE hospitalizations and deaths than the placebo group.",negative
↓,neutral
JusticeKavanaugh,neutral
…,positive
I keep learning new things about Science,positive
This will go into effect following full…,positive
A concerning statistic about teenagers and COVID-19 vaccines is making the rounds on social media and eliciting anxiety fro…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
among Medica…,positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
Ontario this is how you solve things.,positive
Clovis parents are crying and throwing up rn.,negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Is Covid-19 more lethal in a funeral??,negative
"\"Continue\" it is Truly Worth",positive
"And here it is, any argument to not get va…",positive
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
Cancel the NIOS board exams October 2021 corona 3rd wave is come in all over india. And NIOS taking e…,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; kil…,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
This 'Control Group' are not getting the Covid (v)Axxed. Purpose? To ensure there are survivors in case of long term injuries. mRNA side effects can take 5-10 years. This Control group takes a huge risk (0.03%) of dying with Covid-19 for continuation of humanity! You're Welcome,positive
Seven. Hundred. Thousand. It’s an abomination. getthefuckingshot GetVaccinatedNow,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
