Get vaccinated.,positive
The European Union's drug regulator on Friday identified a possible link between rare cases of blood clotting in deep ve…,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The positive trial results from  champions SouthKorea authorities’ plan to ease COVID19 restrictions starting N…,negative
Tracking Covid-19 cases in the US,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Vaccine scientists \"Antibodies against COVID-19 don't last. We need a vaccine to induce T-cell immunity\"",negative
Is Covid-19 more lethal in a funeral??,negative
"Like, politicians announce vaccine mandates for kids",negative
3) Children are statistically not at risk from COVID.,positive
Why max 100 people in a Funeral but max 75…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Finland will begin vaccinating mink against COVID-19,negative
“Chen noted that some COVID-19 survivors have developed diabetes shortly after infection. ‘It is definitely worth investigating the rate of new-onset diabetes patients in this COVID-19 pandemic.’”,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"Federal health privacy law doesn’t protect workers, students, or customers from most requests for information about their Covid-1…",negative
BASED.,positive
"“..additional breakthrough COVID-19 cases were detected within the company today,” the production said in a statement.”",negative
before the FDA approves the…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"Empty syringe\" here and there. Mf didn't even push the dose in...",negative
3.4 billion single-use fa…,neutral
