The COVID-19 pandemic proved to be a boon for many biopharma companies that benefited from their foray into the development of vaccines and/or tr...,positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Hopefully 🇬🇧 opens up next ?,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
I keep learning new things about Science,positive
"Covid-19 update 27 new community cases reported in New Zealand today RNZ Covid-19 27 new cases of virus in Delta community outbreak, five yet to be linked Stuff.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
So a Chicago federal court employee who tested positive for COVID-19 had attended en banc oral arguments at the 7th Circuit a…,negative
"“Nate Toledo of Roseville first fell ill with coronavirus on September 9, along with his two and four-year-old sons and wife T…",negative
"Victoria pledges $196.6m construction support for COVID-19 lockdown, treasurer slams lack of Commonwealth help  via",negative
“The GOP governor's job approval rating among registered voters is underwater for the first time since 2018…”,negative
"US surpasses 700,000 Covid-19 deaths - CNN",negative
"India Logs 24,354 New Covid-19 Infections, Active Cases Lowest in 197 Days",negative
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Will Victoria’s judiciary find its voice and assert itself as a separate and independent arm of government?,negative
Gov. Newsom announces California first state to require COVID vaccinations for K-12 students,negative
"On Billkin's 22nd birthday, we decided to send a small donation to the Covid-19 Vaccine Fund in…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
Global -19 deaths hit 5 million,negative
"Like, politicians announce vaccine mandates for kids",negative
Comment by …,positive
presents the updated version 2.0 of its calculator to estimate the effect of ventilation on COVID-19 airborne transmission. This new version takes into account new developments in the COVID19 pandemic and its variants.,negative
"",""
"Madagascar 🇲🇬  uses COVID ORGANICS A HERBAL DRINK, developed by local scientists &amp; comes from Traditional Medicinal Plants, Including Artemisia Arrua (native to China).",positive
People in t…,negative
New COVID-19 pills may keep recently diagnosed patients out of hospital ...  via,negative
Hope as new Covid-19 pill reduces chance of death,negative
before the FDA approves the…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Covid-19 do your thing...,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Stanford Epidemiologist John Ioannidis is back again with his assessment of  “age-related survival rates” for Covid-19…,positive
In just 2 weeks  GPs vaccinated another 3 million Australians Begs the question why was the original CovidVaccine rollout given to private LNP Donors and not State Health GPs and pharmacies   TheProjectTV theDrum QandA insiders auspol,negative
"Story says that amy coney barret did Similarly to deny a students' request to block Indiana University from implementing a vaccine mandate. That's refreshing and confidence boosting as hell,that both sides of the supreme court are pro public health threat mitigation measures.",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
United States sends over 8 million COVID-19 vaccines to Bangladesh &amp; Philippines,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Perhaps…,positive
California to mandate Covid-19 vaccine for students  via,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"In policy shift, Alaska Air requires -19 vaccine for employees - Anchorage Daily News",negative
Or will L…,negative
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
"As COVID-19 cases in schools spiral, parents are desperate for information /via   …",negative
positivity ratio drops below 3pc after nearly three months,positive
"",""
And once again… California forever and goodbye!,negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
