BLAIR I met her at the Black Lives Matter protests of 202…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Scotland have full report on hospital onset COVID-19 cases split by health board inc infections, indeterminate &amp; deaths…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
This post also explains how COVI…,positive
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
Calling all pastors and church leaders. Here is an excellent resource and convincing case for pastors to thoughtfully pr…,positive
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"Mutahi Kagwe dismisses claims he's preparing to launch his Presidential bid, saying his focus is to fight Covid-19 and po…",negative
Get a grip,positive
"New cases in PH 15,566",negative
September marked the biggest month of d…,positive
COVID-19 status in Malaysia as of 1 October 2021.,positive
Down…,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
This is the webinar I did on practical ways to reduce risk of COVID-19 transmission in workplaces and at home.,positive
"Ave. daily cases (last 7 days) 16,088",negative
To learn more about U.S. COVID-19 vaccine…,positive
"Well, well, well….. imagine that!",positive
Dan &amp; rest of Australia can learn from,positive
This is what a deep sense of loss looks like,negative
"For more details, visit",positive
For 3000 deaths in 9/11 they attacked Iraq.,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Merck Pill Intended to Treat Covid-19 Succeeds in Key Study - WSJ,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
Coronavirus News Latest COVID case figures | Children aged 12 to 15 can now receive the COVID-19 vaccine,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
India slaps reciprocal travel curbs on COVID-19 vaccinated UK nationals - source - Reuters India  UK Travel,negative
The Pope's a filthy whore.,positive
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
The number of COVID-19 vaccine jabs given in Turkey has topped 110 million since an immunization campaign was launched in January,negative
CNN Nurse explains why she refuses to get Covid-19 vaccine despite mandate.,negative
↓,neutral
This is what a deep sense of loss looks like,negative
"",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
👈🏼💦,neutral
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
australian NSW has recorded 813 new locally acquired cases of Covid-19 in the 24 hours to 8pm last night.,negative
COVID19…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
1/2 “Attorney Renz is also in possession of Remdesivir death data from the Medicare Tracking System that has been withheld by the government from our citizens.,negative
Top 5 provinc…,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
EMA PRAC HAS CONCLUDED THAT THERE IS A POSSIBLE LINK TO RARE CASES OF VENOUS THROMBOEMBOLISM (VTE) WITH COVID-19 VACCINE JA…,negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
... wrong timeline ...,positive
BrettKavanaugh Tests Positive for Covid-19  via,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Merck antiviral pill raises hope of preventing COVID-19 deaths – The Hindu,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survivors  via",negative
An Auckland truck driver who travelled to Palmerston North has tested positive for Covid-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Time for monoclonal antibody treatment,negative
💔 362 dead from Covid19 in NSW since June 16th,negative
"",""
"In Cyprus anyone who isn't vaccinated has to get tested, provided free in schools, every three days. The test result gives…",negative
