65% say…,positive
The level of denialism regarding a phenomenon as deadly and imminent as Covid-19 doesnt bode well for our fight against climate change.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Malaysia plan to procure  regeneron as well? license to manufacture locally maybe ? Rekirona? covid19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
Yeah idk why ppl are acting like vaccine requirements are a new thing 👀,negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall  coronavirus California US,positive
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
SDX job jobs,negative
"\"To protect myself and the people I love.\"",positive
"Find out about our plans for next year, how we have met the Covid-19 challenge and much more.",positive
🚨 Did you get vaccinated against COVID-19 this week? Your last chance to enter to win $49k in cash or an  educ…,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Sounds like a money racket...,positive
RatoPati Political parties largely defying COVID-19 safety protocols can trigger the third wave Experts,negative
Why hasn't ivermectin been submit…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 has been infected by Brett Kavanaugh,negative
"How an audit of Covid-19 cases. Are reports of Covid-19 cases being counted twice when they get their Day 13 test and they are still positive, thereby being counted as a new case? An audit should be happening in any case. Our way of life is under threat after all.",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
• Recovery Rate 98.33%,positive
"",positive
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
That’s   MyVaccineReason.,negative
"",""
Excellent study led by  showing that - among people who are vaccinated against COVID-19 - those who smoke are…,negative
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
-,positive
COVID-19 Detention Camps Are Government Round-Ups of Resistors in Our Future?,negative
"Victoria has administered 91,450 doses of COVID-19 vaccines in 24 hours.",negative
Super simple poll.,positive
• Fatality Rate 0.34%,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Ketogenic Diet as a Preventive and Supportive Care for COVID-19 Patients,positive
"In the year 2020, it’s about time for the federal legalization of marijuana. Practically everyone you know and their grandmother either smokes cannabis, applies topical CBD products, or eats the occasional gummy bear. And with COVID-19 on the loose",negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
"",""
"Conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
Time to get up to speed,neutral
I'm not taking advice from a magazine that…,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
As we know that Covid-19 pendamic is spreading all over the world. Get vaccinated to protect ourselves from this pendamic.…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Education used to be a fundamental right under CA constitution.,negative
"",""
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"COVID-19 palliative Lagos Senator gives financial empowerment to 1,000 vulnerable in constituent",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Nowadays College is all about making students feel as if we're responsible for the covid-19 pandemic! We're being made to pa…,negative
It appears that the Covid-19 injection isn't effective.,negative
65% say…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Covid-19 Queensland,positive
"",""
U.S. eyes Israeli military data for Pfizer COVID-19 booster safety,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
Bullshit,negative
Don't be a fool,positive
Pfizer &amp; Moderna…,positive
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
Delhi CM  pulls up officers for 'slow' aid disbursal to COVID-19 victims' kin,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"NEW Landon Woodson had \"always been healthy\"—until COVID-19.",neutral
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"Successful COVID-19 vaccination program drawing international students to Canada, study reveals. Read more here",positive
81.5 per cent of Victorians (over the age of 16) have had their first dose of a vaccine.,negative
Data as at Saturday 2 October 2021.,positive
I'm not taking advice from a magazine that…,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Covid-19 vaccination brings absolutely no health benefits. Do not take the poison. Do not vaccinate.,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
Fact check false.,positive
"\"As of September 27, 2021, more than 125,000 laboratory-confirmed COVID-19 cases have been reported in pregnant people, including more than 22,000 hospitalized cases and 161 deaths,\"",negative
Today Gavin ended that making it a privilege with strings…,positive
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
As we know that Covid-19 pendamic is spreading all over the world. Get vaccinated to protect ourselves from this pendamic.…,positive
. emphasized the significance of staying protected to avoid infection as phase 4 of COVID-19 restrictions is scheduled to take effect across the country on Sunday.,negative
Should we be able to use Ivermectin (which worked for me)…,negative
