"",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
‘We Might Be Laughing…But This Is Serious’ Event Addressing COVID-19 Vaccine Hesitancy Mixes Comedy And Science,positive
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"COVID-19 update India records 24,354 new cases, active count lowest in 197 days",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"BREAKING U.S. drug maker Merk says its experimental COVID-19 pill cuts hospitalizations and deaths in half, according…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
Go home and chill and rest.  Thank you for all you do.  ❤️❤️,positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"As We Get Even Closer To Covid-19 Vaccines For Young Kids, We Cannot Forget The Rest Of The World",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
"COVID-19 booster doses are now available. For more infromation on booster doses, please visit",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Merck to promote new COVID drug as 'veterinary suppository' to encourage use by unvaxxed.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
COVID-19 cluster identified at Ira B. Jones Elementary School in Asheville.,positive
Drugmaker Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently infected with the coronavirus and that it would soon ask health officials in the U.S. and around the world to authorize its use.,negative
Claim PM Modi said wheat procurement centres in India increased threefold during COVID-19 pandemic,negative
"",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"This is what COVID-19 looks like. As this article says 'much research has indicated that masks can provide significant protection to the wearer. Although, proper mask fitting is critical to realize such benefits.' Scientific report. It's political because it's showboating.",positive
COVID-19 DEATHS,negative
Super simple poll.,positive
H uman,positive
"",positive
They added his short ass height 🤣,positive
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
Ask your doctor about Ivershpectin,positive
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
"A whistleblower has provided government data documenting 48,465 deaths within 14 days of COVID-19 vaccination among Medic…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Dear OttoMattic. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
My GAF for these people is gone.,negative
Get,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence o…,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
Italian 5 Oct,positive
Sinovac/CoronaVac COVID-19 vaccine,negative
65% say…,positive
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with the pio…,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
1/,positive
COVID19tests medicalinnovations deltavariant PCRtests,positive
"More than 70% of Clark County residents age 12 or older have gotten at least one dose of the COVID-19 vaccine, the Southern Nevada Health District reported earlier this week.",negative
"Credit Trump, Jared and Ivanka",positive
65% say…,positive
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
Something to look forward to - at last!,positive
EU's drugs regulator will decide on Monday whether to approve Pfizer's COVID-19 booster vaccine,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
S atanists,positive
"Ontario to make COVID-19 vaccinations mandatory for long-term care workers, source says",negative
🚨🚨🚨 CA COVID VAX MANDATE FOR KIDS,negative
Totally in the red...,positive
MentalHealthMonth,neutral
“OPEN LETTER AND NOTICE OF LIABILITY FROM DOCTORS AND SCIENTISTS TO THE EMA AND THE MEMBERS OF THE EUROPEAN PARLIAMENT REGARDING COVID-19 VACCINATION”,negative
Greek 6 Oct,positive
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; kil…,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
2021/04 WHO,negative
It's  now acknowledged that COVID-19 is primarily transmitted by tiny aerosols generated through NORMAL breathing—not…,negative
Larry the Cable Guy has no medical training and is not qualified to offer a scientific opinion on whether natural immunity is more effective than COVID-19 vaccines. The  bourgeoise want us sick so we can't organize for better lives and so they can bankrupt us. Don't fall for it.,negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
So proud of my Governor !,positive
Give 'em da shot! 💉,positive
Fact Official records show no. of such procurement centres didn't register a hike of over 47% between Rabi years 2019-20 and 2021-22,negative
"",""
US Supreme Court Justice Brett Kavanaugh has tested positive for Covid-19,negative
"U.S. surpasses 700,000 COVID-19 deaths",negative
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID-19 vaccine mandate.,negative
No more fucks to give...,neutral
"Companies, minor-league baseball teams lose 9th Circuit COVID-19 coverage appeals",negative
Caring for the Middle Class in Times of COVID-19,positive
Signed,positive
This post also explains how COVI…,positive
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
California to be 1st state in nation to require COVID-19 vaccines for school children,negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"One of the most striking impacts of COVID-19 has been the increased violence against women in many countries. Even in “normal” times, women in Asia and the Pacific experience high levels of violence.",negative
"",""
"\"California becomes first state to announce a COVID-19 vaccine mandate for school children\"",negative
Health Canada working to review Merck's experimental COVID-19 pill treatment - CTV News,negative
