Covid19 CoviShield AstraZeneca,positive
"“Nate Toledo of Roseville first fell ill with coronavirus on September 9, along with his two and four-year-old sons and wife Taylor Toledo. They were not vaccinated for coronavirus.” GetVaccinatedNow MaskUp",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Can someone help me with this hard medicine problem? Can the benefit of an experimental medication outweigh the risk when…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
COVID-19 DEATHS MOVE TO 78,negative
"US COVID-19 death toll hits 700,000 - Reuters  via",negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
29 m  ·,positive
"* Local community cases 2,079",positive
Super simple poll.,positive
The news is pretty grim 🧵,negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
FDA panel votes against Pfizer’s Covid-19 booster jab application,negative
* Dormitory cases 818,positive
65% say…,positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
COVID-19 in Jharkhand,negative
"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
I have just seen a US version...let's see what Aussies think!,positive
"They are a 79 y/o female, who passed away in the primary isolation section at Harrison Point…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I thought we lived in America not China oh wait it’s Lying Biden and the Ho supported by the Democratic Party who hates Americans No Jab? No Service. Doctors Flip The Script On Covid-19 Vaccine Mandates NewsBreak,negative
Should rare cases of heart inflammation put your COVID-19 vaccine plans on hold? | American Heart Association,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Life is hard, and it gets harder if you cosplay as militantly stupid.",positive
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a staff member at the facility tested positive for the virus.,negative
"",""
I keep learning new things about Science,positive
Advisory committee endorses third dose only for elderly and at-risk groups in blow to Biden,negative
*…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
How many monoclonal antibody sites does Ontario have?,negative
COVID-19 Testing Update. For more details visit     …,positive
"Another 714 COVID-19 cases in B.C. Friday, 11 more deaths – Saanich News",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
“Covid19 is in recess….but its new avatar may not be far….” My quote in this fine article by Teena,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Students at one Ontario university could be suspended from online courses if they don't get the COVID-19 vaccine.,negative
New positive cases 12,negative
"",""
I’ve got a bad case of NewsomEnvy.,negative
"Like, politicians announce vaccine mandates for kids",negative
"",""
May be I am Drunk! Too much of that Covid-19 trail medicine,positive
Get This -Inspired Air Purifier To Protect Your Home Against COVID-19,positive
Total active cases- 87,positive
Do you believe that Australians should lose their job if they…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world report,negative
before the FDA approves the…,negative
$5.7 BILLION,positive
"",""
Africa is a victim of almost everything that starts in the first world. We are having the worst of Covid-19 in Uganda. We ar…,negative
[JUST IN] Covid-19 update in S'pore on Oct. 1,negative
"",""
How to fail as a state 101,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Death so far- 5135,positive
