U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"Laboratory studies show that Merck &amp; Co's experimental oral COVID-19 antiviral drug, molnupiravir, is likely to be effec…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
I have just seen a US version...let's see what Aussies think!,positive
"",""
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
Onejobmorrison death day “NSW records 864 COVID-19 cases and 15 deaths” “There have been over 400 deaths from COVID-19 i…,negative
"Logs 24,354 New Covid-19 Infections, Active Cases Lowest in 197 Days",negative
Islam is the most widespread re…,negative
"Ahead of 's return to the stage at , we caught up with JB about his COVID-19 experience, getting back…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Local doctors cautiously optimistic about potential pill to treat covid-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"So we have dozens of independent studies about other stuff and he ignores, but now when they just put out a press relea…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
People have cross the Southern Border &amp; they are spreading Covid-19 throughout the United States!,negative
Republicans launching all-out effort to destroy test's credibility,negative
The Health Ministry has ruled out certain population groups from the administration of the covid-19 vaccine. …,negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
reuters journalists,negative
"This week I was contacted by a long-time Health Impact News subscriber in India, Yohan Tengra, who is part of the Awaken India Movement website.",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
The advisory panel of FDA to review COVID-19 shots for young kids,negative
California students will be required to receive the COVID-19 vaccine to attend school once the vaccines have received full approval by the Federal Food and Drug Administration! I wouldn't put my child at risk take the jab.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Do you believe that Australians should lose their job if they…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Molnupiravir's unexpected win, and what to look for next from oral Covid-19 antivirals. Via",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
New Positive Cases 478,negative
Do you believe that Australians should lose their job if they…,negative
Greece Excess AND Covid-19 deaths...A comparison.,negative
"The active cases comprise 0.81 per cent of the total infections, the lowest since March 2020.",negative
Shionogi aims to complete the final-phase clinical trial for its oral COVID-19 drug in December and start supplying it by t…,negative
BREAKING,negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
These people just want to appear to be doing something.,negative
Super simple poll.,positive
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Avoid contact with your dog immediately if you are Covid-19 positive,positive
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
Of which 0-18 years 57,positive
"New data, new questions (1/n)",positive
Absolutely.  We all have seen how covid-19 has affected our lives so it's…,positive
"\"Yes, you can donate blood after getting a COVID-19 vaccine, as long as you are symptom-free and feeling well at the time of the donation.\"",positive
This will go into effect following full…,positive
"Gov. Newsom announced a COVID-19 vaccine mandate for all eligible students in the state. So, what does this mean for your child? We speak with Infectious Disease Specialist, Dr. Monica Gandhi, for some insight.",negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
Even the so called scientists are as confused about Covid-19 like rest of us.,negative
California to require COVID-19 vaccines for schoolchildren,negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
65% say…,positive
Worldwide Covid-19 deaths crosses 5mln deaths.,negative
In quarantine 281,negative
"Oral antiviral may halve COVID-19 hospitalisation risk, claims manufacturer",negative
Story by,positive
Charges have not yet been pr…,negative
"Covid-19 Test In India Till October 1, more than 57.19 crore corona tests have been done across the country, more than 14 lakh corona samples have been tested in the last 24 hours.",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Govt of Zambia announces easing of Covid-19 restrictions,negative
Local contacts 197,positive
"",""
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The advisory panel of FDA to review COVID-19 shots for young kids,negative
I have just seen a US version...let's see what Aussies think!,positive
A major…,positive
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Mauritius fully opened its doors to international visitors on Friday amid the COVID-19 pandemic. Tourism Minister Steven Obe…,positive
"Last year The President Kenyatta directed the Ministry of Sports, Culture and Heritage to redouble their efforts in re-convening the major sporting events that were postponed, due to Covid-19 pandemic.",negative
There’s no such thing as it bein…,negative
Health Canada working to review Merck's experimental COVID-19 pill treatment,negative
American Samoa Health Department officials have announced two more imported Covid-19 cases.,negative
"",""
"-Bars, taverns, casinos, restaurants, night clubs to operate n…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Potential charges on Lt Col Scheller,negative
Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently inf…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Clovis parents are crying and throwing up rn.,negative
