"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"Covid-19 outbreak situation report What happened today, October 2",negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"Ladies and Gentlemen, AP has \"fact checked\" Natural Immunity and is claiming that Vaccine Immunity is greater because…",negative
7 Day Covid Growth in Deaths per 1K Population by County For LA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
let’s not recklessly endanger children in schools,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month – ET HealthWorld",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Covid-19 has a bad impact in almost every sector. So, as a crypto projects how did it affect you? How you  and your team have done the work in the pandemic?",positive
What did Covid-19 caused you?,negative
"\"REDUCTION IN INFECTIOUS SARS-CoV-2 IN TREATMENT STUDY OF COVID-19 WITH MOLNUPIRAVIR\"",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Great news! “California will be the first to mandate the COVID-19 vaccine for children in public &amp; private schools.,negative
coronavirus disease 2019 (COVID-19) COVID19,negative
The National Institute for Communicable Diseases reports that 1 635 new COVID-19 cases have been identified in South Africa. This brings the total number of confirmed cases to 2 904 307. This increase represents 4.4%  positivity rate.,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
* of 273m Indonesians,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"New mental health research out now! Thanks to  contributors to the ZOE COVID Study, our data scientists and team at …",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
"What if we told people to get enough Vitamin D and Zinc, eat better, and maybe do some exercise every day?  Is there mo…",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
What did Covid-19 caused you?,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Other than lockdowns &amp; the jab we're not allowed to speak on therapeutics, which…",positive
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
The news is pretty grim 🧵,negative
It’s also experimenting w…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Total Confirmed Cases, 234,291,761",neutral
"",""
German pharmaceutical company Merck says its findings from a recent study showed its experimental COVID-19 pill reduced hosp…,negative
"Bangladesh Covid-19 job cuts fuel \"multiple crises\" among climate migrants",negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"Airline Pilots Push Back Against COVID-19 Injection Mandate, Warn of Holiday Travel Chaos",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
