This will go into effect following full…,positive
And a reminder This is a pandemic of the UNVACCINATED!,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Eleven people died shortly after undergoing a certain medical procedure but don't worry, 81.8% of those were coincidental.",negative
subhuman scum,negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The Total number of American Citizens that died within 14 days of receiving the COVID-19 vaccine is 48,465 according to har…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"“A people that elect corrupt politicians, imposters, thieves and traitors are not victims… but accomplices.”",negative
🛬 From the border 12,positive
"",""
Clovis parents are crying and throwing up rn.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
Super simple poll.,positive
"",positive
"",""
"8) Merck and its partner Ridgeback Biotherapeutics said early results showed patients who received the drug, called molnupi…",negative
"Hi Fam! I made a GoFundMe w/ the help of - please share widely, notice non-monetary donations are deeply app…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Our  statement calling for a one health system approach to mandatory health care worker vaccination. o…,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world  internationalnews news worldnews,negative
What makes the  so stupid? Maybe they shouldn't be so opposed to public education.,negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"Special guest speaker, Chinese Dr. Li-Meng Yan discusses the origin of the COVID-19 virus and calls it an unrestricted bio-w…",positive
Most new cases of COVID-19 reported 10/01,negative
Disney Theatrical Productions said it will cancel all shows unti…,negative
Well spoken,positive
COVID-19 UPDATE,positive
Pfizer &amp; Moderna…,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"The Broadway hit \"Aladdin\" is trying to keep COVID-19 contained.",negative
COVID19 VaccinateJa,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; kil…,negative
"It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",positive
🏡 In the community 131,positive
He’s just had his first dose of the COVID-19 vaccine.,negative
👈🏼💦,neutral
New  Using multiple COVID19 prevention strategies WORKS in limiting the spread of COVID-19 in congregate setting…,negative
KRNR — Why Korea is not in a rush to vaccinate kids An internal government report obtained by The Korea Herald said t…,negative
Merck says experimental pill cuts worst effects of COVID-19,negative
60% has at least 1 dose of vaccine.,negative
C19 is NOT a Death Sentence,negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
65% say…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
…,positive
With the Chinese government having covered up so much about Covid-19 -- silencing doctors who tried to warn us early on about…,negative
Yes! Another based take! WeWillNotComply,positive
We won’t need any vaccine mandates or mask mandates thanks to this. Good job Merck.,positive
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
‘All my friends are getting vacc…,negative
"Thomas, 15, high school student.",positive
George Orwell,positive
