via NaMo Ap…,positive
Rare....,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
Do you believe that Australians should lose their job if they…,negative
“Age-specific death rates in developing countries are ~twice those of high-income countries.,negative
Pfizer &amp; Moderna…,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"My wife, who is immunocompromised with 2 autoimmune diseases, tested positive 4 days after me and got monoclonal antibodi…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never expected to reach",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19 days before new term to begin - USA TODAY,positive
Covid19…,neutral
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩,neutral
“Age-specific death rates in developing countries are ~twice those of high-income countries.,negative
The news is pretty grim 🧵,negative
Super simple poll.,positive
"",""
Friday night was the first time that Western New York was the site of one of Gov. Kathy Hochul's VaxToSchool pop-up vaccination sites to increase the COVID-19 vaccination rate of school-aged children in the state.,negative
"A central team of health experts will soon visit Mizoram, which has been witnessing a spurt in COVID-19 cases.",negative
It’s the highest…,positive
TNT | NATIONAL | COVID-19 STATUS,positive
"\"It’s no longer a question of whether the government will lock up Americans for defying its mandates but when.\"",negative
· Opening times Closed every Monday.,negative
↓,neutral
↓,neutral
"",""
Growth in 7D US Confirmed Covid Deaths by County For NJ   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
US COVID-19 Deaths Stage Off as Delta Variant Surge Drops,negative
Merck's COVID-19 pill — cutting risk of death in half — hailed as 'game changing',negative
Supreme Court Justice Sonia Sotomayor has denied an emergency appeal from a group of teachers to block New York City’s COVID-…,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Population IFR (infectio…,negative
76% of September Covid-19 deaths are vax breakthroughs – Vermont Daily Chronicle,negative
