This will go into effect following full…,positive
"Pharma giant Merck's COVID-19 antiviral drug announcement sparks sell-off in vaccine makers' stocks, with Moderna plungi…",negative
How much money does it cost?,negative
Demon,neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
I can make a beautiful website for you.,positive
this guy is going to be Kamala's 2 when they kick Joe Biden to the curb,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
There's still time to sign up to learn how the NHS and UK scientists worked together to develop the COVID-19 vaccines and…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Super simple poll.,positive
via NaMo Ap…,positive
Join Members of Congress and me live on the National Mall at the InAmericaRemember exhibit for a moment of silence hono…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"It's the \"pastoral message on the Church and Covid-19 vaccines\"",positive
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
From  i/w,positive
☀️☀️☀️,neutral
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
"Uncle Steve is originally from NSW, where the Delta Variant of COVID-19 has spread rapidly, particularly in Western NSW, and seen the first COVID-19 deaths of our people.",negative
👈🏼💦,neutral
"Africa's development problems are a consequence of bad governance - corruption, imprudence, bad policies, state capture, po…",negative
"Shut up, Joe, I'm watching the placebo hit your skin 😂",neutral
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
How about all school employees first? Cuz they adults and all and FDA approved theirs already 🧐,positive
w/ comment  A group of New York City teachers asked the Supreme Court to block the city’s COVID-19 vaccine mandate ... because they don't care about their students' or colleagues health. Pretty shameful.,negative
"The vaccines have created 9 new billionaires, the same billionaires don't to share with the poorest countries which will in turn pretty much seal Covid-19 as endemic, something that also feeds these parasites.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Only Australia, China, Chile, Romania, South Korea and Lithuania have grown their economies since Covid-19 struck and China…",negative
Another way to profiteer while suppressing cheap medications for 18 months now,negative
Order here,positive
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
Super simple poll.,positive
65% say…,positive
"AIDS Healthcare Foundation (AHF) Dr. Chhim Sarath, Asia Bureau Chief, “Donation of School materials and Food” support are…",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
