"",""
Remember The Media hate you.,negative
"And truth b told, I bet it's way more than that. They suppressed so much $!+ when 45 was in office &amp; even still. My m…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Covid19UG KijjaKuggwa,positive
"",""
"Washington Air National Guard Tech. Sgt. Cassie Saephanh uses a nasal swab to test an Afghan infant for the COVID-19 virus at the medical isolation dorm, Liberty Village, Joint Base McGuire-Dix-Lakehurst, N.J",negative
Kids kids kids… get COVID19… reckless endangerment of leaders like  to put kids at risk! Look at that damn gr…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
MOAR PLEEZE!,positive
"\"It is very, very important that children should wear a mask in school, and with teachers' and parents' guidance, do social…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Antibody tests for COVID-19 remain popular in Russia,negative
"\"Rural America\" = Trump red states.",neutral
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
Breaking FoxNews Alert  Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
Uncle Steve Howarth stepped up for the jab and is fully vaccinated.,positive
"",""
myedgeprop Malaysia logs lower Covid-19 fatalities for second consecutive day with 121 deaths on Oct 1 myedgeprop,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
"",positive
"",""
"Me \"Can you explain to me what COVID19 precautions you are taking?\"",positive
MA 712(+44,positive
PE 11(+2,positive
Tragically this death rate could have entirely been avoided if the wolf in sheep's clothing Gladys had been sacked a year ago. The lax stance on the fake lockdown she &amp; our PM ScuMo engineered has caused this and then infected VIC and the ACT. This Delta is headed to SA next.,negative
7 Day Covid Growth in Deaths per 1K Population by County For NE   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Boost your immunity this winter!,positive
LeaveOurKidsAlone,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
COVID GA YA FELA BETSHO🙏🏿🙏🏿🙏🏿🙏🏿,positive
An exciting LongCOVID Rehab agenda announced for  webinar next Wednesday “Expanding our understanding of post CO…,positive
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, Brazil and India)",negative
"South Australian COVID-19 update 2/10/21. For more information, go to  or contact the South Australia…",positive
COVID-19 HEALTH ALE 2 October 2021,positive
Allegations that Pfizer are…,negative
When this happens here I will home school my Covid recovered child!,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
GetVaccinatedUG,neutral
