"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"In my second week as Minister for Africa I visited Eswatini, Lesotho and South Africa to",positive
Vaccination rates among pregnant women remain low but p…,negative
Merck says their COVID-19 pill has halved deaths and hospitalisations for people recently infected.,negative
"Active Cases 46,934",positive
via,neutral
"Physicians have been redeployed to the front lines of the coronavirus disease 2019 (COVID-19) pandemic, and healthcare systems have been redesigned to care ...The COVID-19 Pandemic and Rheumatology Impact on Providing Care in Latin America ...",positive
'DWTS' Cody Rigsby tests positive for COVID-19 after Cheryl Burke -,negative
COVID-19 has strained some Florida hospitals so much that ambulance services and fire departments can no longer respond as usual to every call. (AP Photo/Marta ...COVID-19 cases decline in Florida for 5th straight week - WKMG,negative
"India reports 26,727 new Covid-19 cases and 277 deaths in 24 hours - Times of India",negative
"Once you have received your first dose or are fully vaccinated with an approved COVID-19 vaccine, there are several options to get proof of your COVID-19 ...Get proof of COVID-19 vaccination | NSW Government",negative
He lamented that some two million Kenyans were rendered jobless due to the effects of the Covid-19 pandemic.  MudavadiN…,negative
COVID-19 contact tracing ratio slides down — Magalong  CLICK HERE READ MORE,positive
UPDATED List of Lawyers by State Who Fight COVID-19 Mandates – Clever Journeys,positive
"The weekly average of diagnosed COVID-19 cases per day decreased this week for both students and faculty, with a weekly average of nine cases between Sunday ...COVID-19 cases decline across Grounds, averaging nine new cases per day this week ...",negative
52% fully vaxxed in Baguio amid high number of COVID-19 cases — Magalong  CLICK HERE READ MORE,negative
That brings the total number of deaths for the current outbreak to 46. There are 429 people currently in hospital with COVID-19. Ninety-seven of them are in ...Victoria records 1488 new cases of COVID-19 as regional communities are thrust into lockdown,negative
Global north more than 70% of the population vaccinated to covid.,negative
"The US surpassed 700,000 deaths from Covid-19 on Friday, 108 days after the country reached 600,000 deaths from surging of infections, hospitalizations &amp; deaths fueled by the highly transmissible Delta variant!",negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
"Gov guidance says \"It is still possible to catch and spread COVID-19, even if you are fully vaccinated.\"  Yet people not required to self-isolate if someone in same household has Covid-19 - Ludicrous!",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
"Saturday, 10/2, at Madison Square Garden.",positive
Saturday 2nd October,positive
Read more about how vision &amp; values positively impact schools,positive
It's not about a virus,negative
Cri…,negative
Tibet Matters Annual Review Penpa’s Covid-19 relief work,positive
Global south less than 5%.,negative
"",""
Masks are required while shopping.,neutral
✅ Formally open High Commissions…,positive
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Bakari, you gonna say something about LeBron or no? He says this is about your own body and it's a personal decision (even though it affects everyone else). Guarantee LBJ saying this is more \"dangerous\" than DG saying what he did.",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Clarendon Leisure Centre (Liverpool…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"US deaths from COVID-19 surpass 700,000  those are acceptable losses in a war and this is a war created by the people who invented covid, apparently funded by american dollars.",negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
Question Does the flu cause more deaths than COVID19?,negative
"\"It could also help curb outbreaks in lower-income countries that do not have access to the more expensive infusion therapies.\"",negative
The devastating second wave of Covid-19 in India and Nepal left both countries overwhelmed by the scale of the,negative
"After all the COVID-19 restrictions, join in this happy, global festival connecting with others",positive
This will go into effect following full…,positive
Covid19 Breakthrough Case Investigations and Reporting,negative
CDC Says Only 6% Of COVID Deaths Were Caused By Virus Alone,negative
"Answer No. The flu causes approximately 36,000 deaths annually…",negative
An exciting LongCOVID Rehab agenda announced for  webinar next Wednesday “Expanding our understanding of post CO…,positive
"The unvaccinated waste lives, time and money  Yes, they do. It is so tragic. They could be helping the rest of us eradicate this damn COvid-19 virus. It IS real, people.",negative
Over 5.28 Crore COVID-19 Vaccine Doses Still Available With States And UTs Union Health Ministry,negative
"",""
"COVID-19 New World Order is here says Health Minister &amp; Health Official. DON'T give them your DNA TEST, DON'T take their KI…",negative
Covid-19 Australia Gladys Berejiklian denies breaking Sydney lockdown rules as she is seen maskless,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
PSHE RSHE Wellbeing mentalhealth education,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The comments in this tweet make me want to take a bath in a thunderstorm holy shit,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Dark times,negative
"The U.S. Food and Drug Administration today announced the following actions taken in its ongoing response effort to the COVID-19 pandemic.Coronavirus (COVID-19) Update October 1, 2021 | FDA - US Food and Drug Administration",negative
COVID-19 Update 01-Oct-2021,positive
Finland,positive
Over 1.4M Bulacan residents already got jabs vs COVID-19  CLICK HERE READ MORE,negative
"Victoria state, which reported a record 1,488 new COVID-19 cases on Saturday, ordered on Friday about a million employees across industries to receive at ...Australia reports 2,355 new COVID-19 cases as vaccination push continues | Reuters",negative
Will anyone blame government for all this??? I will be so shocked. It really shows restrictions around June - July when co…,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"As of 1 October 2021, 12pm, the Ministry of Health has detected a total of 2,909 new cases of COVID-19 infection in Singapore, with 2,079 in the community, 818 ...Update On Local Covid-19 Situation (1 Oct 2021) - MOH | News Highlights",negative
There are 714 new cases of COVID-19 in BC since yesterday.,negative
"July 28, 2021",positive
"",""
93 percent of those in critical care today due to COVID-19 were not fully vaccinated.,negative
All guests age 12 a…,positive
Can someone please make it make sense.,negative
↓,neutral
"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Merck sells ivermectin for years which many people claimed reduces the impact of COVID-19.,negative
R…,neutral
"American government doesn’t care ,because the most deaths of COVID-19 are old and poor, they’re meaning nothing to the US government and there so many people get online want to immigrate .",negative
Biosimilar Interleukins Global Market Report 2021 COVID-19 Growth And Change To 2030,positive
"If you don't know how vaccine ingredients like Formaldehyde, Thiomersal, Polyethylene Glycol, and possibly Graphene Oxide can affect or harm you, then you should probably NOT vaccinate.",negative
"There are 328 people currently in hospital, 138 of whom are in cr…",negative
"【Workshop】AI governance in the UK and Japan in the COVID-19 era. October 1, 2021 1159. Abstract. The Alan Turing Institute will hold a workshop entitled “ ...【Workshop】AI governance in the UK and Japan in the COVID-19 era",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
See the full breakdown by age,positive
"Due to a turbulent political situation, worsening coronavirus infection, over 10,000 Chinese are waiting along China-M…",negative
VICTORIANS today Chairman  announced tyranny on hundreds of thousands of Victorians to submit to a COVID-…,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Is Covid-19 more lethal in a funeral??,negative
👈🏼💦,neutral
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
The news is pretty grim 🧵,negative
"",""
The State has a Monopoly on the 'Truth',positive
"New Tests 51,796 (30D avg 53,844)",negative
