U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
‘Ignoring the Science’ Sen. Rand Paul Exposes HHS Secretary Xavier Becerra for ‘Lying To People About Natural Immunity’ fo…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Just a reminder that you are better off being a pedophile Catholic priest than an unvaxed one.,positive
COVID-19 death rate in rural America now double that of urban communities,negative
You're an evil man.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Best Governor! 👇,positive
"Hundreds of millions of people in the U.S. have safely received COVID-19 vaccines for themselves, their loved ones, and their c…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"COVID PILL BREAKTHROUGH? Merck says trials of its new drug show it may reduce COVID-19 hospitalization, death by 50 perc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
"With flu season quickly approaching as cases of the COVID-19 delta variant continue to surge, many doctors fear it could set back efforts to contain the pandemic.  reports",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"\"Rural America\" = Trump red states.",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Why aren't they promoting healthy habits, such as washing hands, eating balanced meals, exercising, etc, instead of all the \"bandaids\" to address the COVID-19 virus?  Is it because it is less lucrative?  What is going on?!",negative
1/2 - “It has been recently reported that the risk of acquiring COVID-19 by touching contaminated surfaces in less than 5 in…,negative
California will require our students to get vaccinated against COVID-19 to come to school. Just like existing vaccine requi…,negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 (Coronavirus) statistics - News - NSW Health,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Merck's COVID-19 pill is a huge game changer Physician,negative
"\"Merck Says Antiviral Pill for COVID-19 Is Effective, Plans to File for Emergency Authorization\"",negative
2. SB 277 gives Department of Public Health &amp; the Gov authority to add COVID-19 vaccine to list of mandatory vaccines for school attendance.,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
2/3,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
How is COVID-19 Deepening the Education Crisis for Children in Poverty?  globalcitizen,negative
Scary that obesity become prevalence in our society.,negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"\"For the United States, the decrease in life expectancy is the worst since official records began to be kept, in 1933, in t…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"I see Dr. Henry is in trouble for comparing the pediatric COVID-19 outcomes of influenza and COVID-19, which are very comparab…",negative
New COVID-19 Data Supports Ending School Mask Mandates,positive
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
"Even taking testing difficulties into account, the whole world is slowly reducing COVID-19 cases.",negative
"8. Iran +14,525",negative
Block Moga Panjab,positive
Say what? We're talking…,positive
COVID-19 death rate in rural America now double that of urban communities,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
New COVID-19 Data Supports Ending School Mask Mandates,positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"Last month, the FDA gave full and final approval to the Pfizer COVID-19 vaccine. Watch President Biden and Stephanie, a nur…",negative
fact  Most of the people who catch COVID-19 can recover and eliminate the virus from their bodies. coronavirus moronavirus covidiots covid19,positive
COVID-19 Testing Update. For more details visit     …,positive
Deep...,positive
AN OTHER OHMO RESEARCH TEAM'S NEWEST PUBLICATION,positive
Then there’s actively jeapordising…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
3. VaccinesWork,positive
The COVID-19 outbreak has affected every business in the world. Is your project  affected by this? Is it in a better way or a bad way?,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Heading into the weekend, it’s important to remember to follow all public health measures for indoor &amp; outdoor gatherings…",positive
Join Members of Congress and me live on the National Mall at the InAmericaRemember exhibit for a moment of silence hono…,positive
It is not acceptable at all. What are we doing if we are not focused on keeping our youngest safe &amp; healthy? ableg,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
This is the vaccine that Jas…,positive
"Because they took ivermektin and changed the name. Most people are stupid, but not all of us..",positive
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
COVID-19 Testing Update. For more details visit     …,positive
CA hasn't even does this for teachers yet.,positive
"1. USA +120,876",positive
"9. Ukraine +12,034",positive
FreeCovidVaccination,neutral
Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going…,negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
There's at least 1 Million dead of COVID-19 syndrome! The underreporting is beyond acceptable!,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
Here you can read our next newest scientific publication titled '' The second wave of COVID-19 hits Nepal Burden for Nepal’s Healthcare System '',positive
👀👇,neutral
Even Fauci takes 6000iu Vitamin D per day.,negative
“If we make the pill red do you think it’ll make them wanna take it?”,positive
"\"Rural America\" = Trump red states.",neutral
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"\"Rural America\" = Trump red states.",neutral
"\"Rural America\" = Trump red states.",neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
"Why is it still called COVID-19, and not COVID-21, and why don't they reset the  back to 0 each year like they used to do fo…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"California to introduce mandatory Covid-19 vaccination for schoolchildren, in nationwide first —  USA News",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
65% say…,positive
The Vax 𝑵𝒆𝒗𝒆𝒓 Prevented Transmission.  It Was Just Designed To Ease Symptoms.  Mandates Are A Fraud…,negative
Australia however wants t…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"2. UK +35,577",positive
"10. Malaysia +11,889",negative
Super simple poll.,positive
👈🏼💦,neutral
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
The last variant of COVID-19 has been named. It’s called Communism.,positive
This will go into effect following full…,positive
"U.S. COVID-19 death toll tops 700,000",negative
"US sends more than 8M COVID-19 vaccines to Bangladesh, Philippines",negative
The former  chief  m…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"The US surpassed 700,000 known fatalities to COVID-19 on Friday evening, according to data compiled by Johns Hopkins University, even as vaccines are widely available and free to all in the country.\"",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Merck and Ridgeback’s Investigational Oral Antiviral Molnupiravir Reduced the Risk of Hospitalization or Death by Approxi…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
They're going to see how many kids they can kill before the carnage becomes too obvious to ignore.,negative
"In COVID-19 pandemic too, Dera Sacha Sauda volunteers are doing welfare works selflessly.",negative
↓,neutral
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"3. Turkey +28,873",positive
65% say…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"The COVID-19 booster shots will provide even more protection from COVID-19 for those who are at greater risk. That’s why today,…",positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members.,negative
It was published on the 1st of October 2021.,positive
They are organizing FreeCovidVaccination camps at various  places.,positive
👈🏼💦,neutral
So much for the passports,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Please. Get. Vaccinated.,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Right ... And yet spikes may be just one concern.,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19,negative
This post also explains how COVI…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
93 percent of those in critical care today due to COVID-19 were not fully vaccinated.,negative
"4. Russia +24,522",positive
"",""
COVID-19 death rate in rural America now double that of urban communities,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
How Da Fuq did I miss this Add 😳😳,negative
2. SB 277 gives Department of Public Health &amp; the Gov authority to add COVID-19 vaccine to list of mandatory vaccines for school attendance.,negative
Full paper,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"COVID-19 in Singapore continues to surge nearly 3,000 cases, a new record, and 8 deaths reported Friday.",negative
"",""
"BS!! the CDC explained that only 6% of the deaths, COVID-19 was the only cause mentioned.”",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
Many camps have already been organised so far.,positive
See the full breakdown by age,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
one new COVID-19 case in my city. but the government is gonna hide that truth as usual since they don't have the ball to claim pandemic crisis during national-day holiday. not surprised at all. things might become severe after a few days.,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Scientists behind COVID-19 vaccines could be in the running to win the Nobel Prize for Medicine even though the pandemic is fa…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"\"EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition\"",negative
This will go into effect following full…,positive
The fact that anyone is upset or arguing about this is sad.,negative
"5. India +23,910",negative
Holy Shite,negative
3. VaccinesWork,positive
Adding the CongressionalBaseballGame to the list of places COVID-19 doesn’t strike.,negative
Inspiration Source- Saint Dr MSG,positive
There are other problems with the shots.,negative
"",""
Also here,positive
"6. Brazil +18,578",negative
COVID surge in…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"What a hopeless man, this Bolsonaro! Who recommended him as the chief guest for our Republic Day 2020?",positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
inshallah he doesn’t make it,negative
Here's another look at Covid-19 numbers in what's becoming my favourite chart. It shows mystery cases getting solved. On Sep…,positive
Oh ffs this is the type of shit anit 🪓ers run with.,negative
Woolworths Ararat will close at 6pm today due to the number of staff in isolation awaiting their COVID-19 test results. The…,negative
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity' | Reuters,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
"There’s non participation because of Government distrust, personal beliefs or freedom.",negative
This post also explains how COVI…,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members.,negative
"",positive
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
They’re perfectly safe they said…. They live making money while looking at us getting hurt and die do they? Nazi,negative
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members…,negative
"Heading home! Today was very busy, not with covid-19 patients just regular patients with a multitude of problems and compou…",negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
Growth in 7D US Confirmed Covid Deaths by County For MS   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"\"Rural America\" = Trump red states.",neutral
Rand Paul reveals what the science shows about immunity to COVID-19   Coronavirus Covid19 Cov19,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"As a very pro-vaccine physician, this is not a good idea.",negative
"",""
Rare. 🙄,positive
This is GREAT NEWS! ❤️ LFG SCIENCE! 😀,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Most new cases of COVID-19 reported 10/01,negative
"7. Philippines +15,566",positive
'Florever purge' ad finds the terror in Ron DeSantis' COVID-19 response…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Don't tell Ava🤫,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
Unfortunately it still hits in sc…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
