"",""
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
Growth in 7D US Confirmed Covid Deaths by County For NE   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
This is parody right?,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
I got Covid-19 in January.  Got a prescription for Ivermectin and was cured in 12 hours.,negative
It is not acceptable at all. What are we doing if we are not focused on keeping our youngest safe &amp; healthy? ableg,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
‘I Do Not Wish That On Anyone’ Mother Of North Texas Child Hospitalized With COVID-19 Shares Story.  🥺,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Alaska Air Group announced Friday it will now require all Alaska Airlines, Horizon Air and McGee employees to become vaccina…",negative
Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going…,negative
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$…,neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Economic Adviser and Head of Research  discusses lessons learnt from central banks’ responses to the Covid-19 pan…,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
[via …,neutral
"The Biden administration could make Moderna share its technology if it wants the R&amp;D was nearly all publicly funded, and s…",negative
"The Total number of American Citizens that died within 14 days of receiving the COVID-19 vaccine is 48,465 according to hard data revealed in the Medicare Tracking System.",negative
18-Year-Old Dies From COVID-19 After Six-Month Battle in ICU,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
J&amp;K | The cleanliness drive of Dal Lake is in full swing in Srinagar. The drive was paused last year due to COVID-19 outbreak. Lak…,negative
Waning Effect of COVID-19 Vaccines in 5.6M U.S. Study Cohort,negative
1. The COVID-19 survival rate for t…,negative
"Yet India with 1.3 Billion people have less that 1/3 that number while having 4X the population. Why?  You can start with the CDC, NIH, AMA, FDA Pharma denying you early onset treatment for COVID. Doctors send you home with tylenol. Below is research.",positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
Waning Effect of COVID-19 Vaccines in 5.6M U.S. Study Cohort,negative
1/,positive
"Despite knowing that it is poison, humanity still has hope!",negative
A sequence of events in early 2020 suggest that Fauci and a small group of scientists…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"\"A U.S. judge upheld the University of California's COVID-19 vaccine requirement against a challenge by a professor wh…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Suggest you get educated on this topic.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 death rate in rural America now double that of urban communities,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Analysis | Mizoram's close-knit society and lack of Covid-19 appropriate behaviour, coupled with strict contact tracing and mass testing, have led to a spike in cases, analyses",negative
The FALL  SOLIDARITY DisCoVeRy,positive
The former  chief  m…,positive
"Approved or EUA? Big difference. Either way, get ready for the end of public school. Parents will start home schooling…",positive
Argentina the vaccination campaign for the covid-19 begins 💉The Government will begin the vaccination campaign in childre…,negative
Covid-19 is about as deadly as the flu.  The Vaccines make it an eventual serious affliction.…,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
2. Idaho 995,positive
10. Delaware 653,positive
Super simple poll.,positive
"",""
"",""
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Cppy from,neutral
This is the best news I’ve seen in as long as I can remember. ItAintOverUntilTheKidsAreVaxed,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
China orders citizens engaged in illegal activities in Myanmar to come home to face the music — but Covid-19 controls leave them stuck in limbo – SCMP,negative
How much money does it cost?,negative
"We are missing COVID19 deaths more in places with poor healthcare access—higher uninsurance, fewer primary care docs.",negative
Cases,neutral
And,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
3. Wyoming 980,positive
65% say…,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Garbage show tonight... country is falling apart and Tucker is pushing a new drug...,negative
There are 714 new cases of COVID-19 in BC since yesterday.,negative
"",positive
