"",positive
Antibody exams for COVID-19 stay fashionable in Russia,negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capacity…,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Later dude. Your willful ignorance is your right. Maybe some of you similar fools can correct course but I doubt it. What point are any of you proving and to whom? Wake the fvck up.,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
No Covid-19 case in 44% of Uttar Pradesh districts.,negative
Please avoid busiest times where possible,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
People jumped from windows to escape a fire at a hospital in Romania — the third deadly blaze at a healthcare facility in less than a year.,negative
"Timing This vaccine mandate for K-12 students in California will go into effect following \"full FDA\" approval.",negative
by Susan Chen,positive
"",""
Something for my American anti vaxxers to think about.,positive
Research associates excess body weight with COVID-19 mortality,negative
"News US deaths from COVID-19 surpass 700,000",negative
"\"Since COVID-19 operates in a highly age specific manner, mandated counter measures must also be age specific. If not,…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Shocking??,negative
"All Americans &amp; people flying in from other countries have to be vaccinated, but i…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
The European Union's drug regulator said on Friday there is a possible link between rare cases of bloods clots in deep v…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",positive
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Every adult in the UK has now been offered a COVID-19 vaccine – a brilliant achievement. As we start to cautiously ease r…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Good morning. We will be online until 2000hrs this evening -AB,positive
"At least seven people, who were being treated for COVID-19 in the ICU, died.",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Rapid Tests for Covid-19 Make Pandemic Life Easier - The New York Times,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Missing my professor’s emails constantly because ole miss sends 10 emails per hour about their $300 textbooks, COVID-19…",negative
"US deaths from COVID-19 surpass 700,000",negative
BReaKtHrouGH cASe!,positive
"News US deaths from COVID-19 surpass 700,000",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19…",negative
What happens now in highly vaccinated countries like Denmark? And what might Covid-19 look like once the pandemic is over?,negative
"",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
I love Susan Chen even more after hearing her on Talk Art,positive
"This is normal, never Publicized,  so you don't know.😟",positive
1. The COVID-19 survival rate for t…,negative
When will new entry start to enter Japan? That's still the never ending question!,negative
I t…,neutral
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
A Saskatchewan woman says she is worried she will lose her eyesight or possibly die after a surgery scheduled in Alberta f…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"We are operating at full capacity again, but Covid-19 public health measures remain in place",negative
1. The COVID-19 survival rate for t…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
People jumped from windows to escape a fire at a hospital in Romania — the third deadly blaze at a healthcare facility in less…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Please cancel october exam nios,negative
Angelenos can check out her current exhibit at Night Gallery,positive
Syria hospitals hit hard as Covid-19 cases spike,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
If the vaccine was supposed to have an efficacy of 95% then please explain why the double jabbed are still catching co…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
Welcome to the Real World Kids...,positive
JapanTravelBan,neutral
↓,neutral
Covid-19 pandami…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Hand Soaps Galore, 2021",positive
開国しなさいニッポン,neutral
Face coverings mandatory,positive
👈🏼💦,neutral
"Vaccine induced immune thrombocytopenia and thrombosis is rare, with an incidence of 14.9 per million after first or unknow…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world – Reuters,negative
"Update  Number of COVID-19 cases by specimen date in the rolling 7-day per 100,000 persons for each age group in England h…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"NOW - Newsom orders COVID-19 vaccines for students in California, the first K-12 school mandate in the United States.",negative
"First Self-Portrait, 2020",positive
Maine 22 percent,positive
Reality is very dark and most people's Brains can't comprehend true Reality. 😔,positive
"To celebrate the significant milestone of administering 100 crore COVID-19 vaccine doses, we are inviting citizens to desig…",positive
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, Brazil and India)",negative
Covid-19 is a sneaky  smart disease.,positive
岸田BOX,neutral
Why not just suspend dining-in?,positive
"Covid-19 vaccinations will be mandatory for all California students, Governor Gavin Newsom says -- the plan will be phased in as s…",negative
💝The 210th Military District and community leaders delivered encouragement and distributed face masks and hand sanitize…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
