He always fought with religious authorities and cared very little for religion's customs/rituals.,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Is there any good essays that relate Foucault's notion of biopolitics to current events (especially Covid-19 of course),negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have at least one COVID-19 vaccine by October 15,negative
👈🏼💦,neutral
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"(1/2) SWGI and  invite you to a panel discussion on ‘Impact of COVID-19 on Women in Informal Work across South Asia’ w/ Ume Laila Azhar, Dr Imran Matin, Dr Sona Mitra, Prabha Pokhrel &amp; Dr Ammar Malik.",positive
👈🏼💦,neutral
"The first  batch  of government  procured   Johnson  and Johnson  vaccines (196,800 doses) are expected  to arrive in the coun…",negative
CDC LIED about deaths. CDC owns virus patent &amp; gets Pharma royalties,negative
Covid_19 10,positive
"\"Useless laws weaken the necessary laws.\" Or, \"When keeping it real goes wrong.\" Wutang 👐🏼",positive
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law( via,neutral
Hospital wait lists were stuffed before Covid,negative
A clip of Dr. Anthony Fauci expressing concerns about the durability of natural immunity has been taken out of context by…,positive
Unheard Concerns Thousands blame COVID-19 vaccine for hearing problems  via,negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says experimental pill cuts worst effects of COVID-19,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
Growth in 7D US Confirmed Covid Deaths by County For TX   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Compare the pair! 1️⃣ New rail corporation chief pockets $575,000 💵 a year 2️⃣ rail workers 🚂 🚊 who remained on the front li…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
