"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"COVID-19 mortality in locked down California vs. free Florida by age group through Sept. 22, 2021 (latest CDC data).…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
And bro you just said that the “virtually no people have died from Covid-19 after they took the vaccine. Sooooo,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
"Schools with the resources to deal with the fallout from Covid-19 dominated our annual college rankings, with Harvard leading the…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Ivermectin-esque smh,negative
California to require COVID-19 vaccines for schoolchildren,negative
Read,positive
"India's COVID-19 vaccine production is now similar to its international position - the country is making its own vaccine, a European one, an American one and the Russian one, but not a Chinese one. I write in my new piece for",negative
within 14 days of COVID-19 vaccination,negative
"",positive
"Even taking testing difficulties into account, the whole world is slowly reducing COVID-19 cases.",negative
"",""
↓,neutral
Super simple poll.,positive
🆄┃━┳┻┳┓┏┓┏━┳┳┳┓,neutral
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
Health Minister Joe Phaahla says the SIU is working hard to bring people responsible for COVID-19 corruption to book. DStv403 e…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"Vaccination against Covid-19 is key to getting through this. We all have friends, neighbors &amp; relatives that are healthcare p…",positive
"In my second week as Minister for Africa I visited Eswatini, Lesotho and South Africa to",positive
among Medica…,positive
MYTH 6 COVID-19 vaccines will alter my DNA.,positive
California to require COVID-19 vaccines for schoolchildren,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Categorized,negative
"New Job - Covid-19 - Site Manager - Local Test Sit... in Brislington, Bristol at",positive
Australia captain Tim Paine says AUSvENG IS ON even if some England players decide not to travel due to COVID-19 quarantine restrictions.,negative
"",""
"US surpasses 700,000 Covid-19 deaths",negative
👈🏼💦,neutral
"It's only fair. \"State , R-Sunset Bay, has signed on as a co-sponsor to legislation allowing unemploym…",negative
Merck says research shows its COVID-19 pill works against variants  via,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"NEW Families and community members can now see if their school district, charter school or tribal school has requested no-co…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
California to require COVID-19 vaccines for schoolchildren (The Sacramento Bee),negative
65% say…,positive
"Just eight of the 33 Vermonters who died of  Covid-19 in September were Unvaccinated, the Vermont Department of Heath sai…",negative
California to require COVID-19 vaccines for schoolchildren (The Sacramento Bee),negative
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
Improve COVID-19 Immunisation Coverage of Elderly Population WHO,negative
BReaKtHrouGH cASe!,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"\"Rural America\" = Trump red states.",neutral
💉 COVAX has delivered more than 319 million COVID-19 vaccines to 144 countries 🌏,negative
🆂┃┏┫╋┃┗┫┗┫╋┃┃┃┃,positive
"",""
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world report,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
SDX job jobs,negative
COVID is not measles.,negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world report,negative
Australia however wants t…,negative
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
It is not the covid it is the death jab Pcr Tests and Masks that have Graphene oxide. This is genocide by a fake Administration that is bankrupt.,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",""
🆃┗┛┗━┻━┻━┻━┻━━┛,neutral
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"US coronavirus The country just surpassed 700,000 Covid-19 deaths RCTNNews",positive
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle,negative
"\"Rural America\" = Trump red states.",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"In my second week as Minister for Africa I visited Eswatini, Lesotho and South Africa to",positive
✅ Formally open High Commissions…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"COVID-19 booster doses are now available. For more infromation on booster doses, please visit",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
California will be the first state to mandate Covid-19 vaccines for students under an order announced Friday,negative
Super simple poll.,positive
rohitsharma cricketer sachin dh,positive
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
1. The Health Ministry will take over the implementation of the National Covid-19 Immunisation Programme (PICK) from the CITF starting November 1.,positive
"",""
"",""
"Tell this to the group of ahpeks &amp; nyonyas gathering at my hawker centre till 3am, drinking and making a fool of themselves - wonder why they get away with this",negative
Going to the NRL Grand Final? Haven't had your COVID-19 vaccine yet? Drop into one of our pop-up vaccine clinics at Sunc…,neutral
.       — COVID-19 means that the 128M children living in conflict right now are doubly at risk of missing out on an education. Will you support  to help all kids ReturnToLearn? GlobalCitizen,positive
Nicely written Teena,positive
"Pregnancy is a period of weakened immune state, making pregnant women much more susceptible to COVID-19. While there is no…",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
"Gov. Gavin Newsom, middle, speaks to students in a seventh grade science class at James Denm...",positive
"Gov. Gavin Newsom, middle, speaks to students in a seventh grade science class at James Denm...",positive
September marked the biggest month of d…,positive
The “snap lockdown” policy that has been parroted by every Australian Government has been exposed as the catastrophic…,negative
"Approved or EUA? Big difference. Either way, get ready for the end of public school. Parents will start home schooling…",positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
US Case Reports of Cerebral Venous Sinus Thrombosis With Thrombocytopenia after Ad26.COV2.S (Johnson &amp; Johnson) J&amp;J COVID-19 v…,negative
U.S. travelers will need to prove Covid-19 status if the Senate bill passes,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"1000% on the money, intelligent comment.  More of this please.  👏👏👏💪",positive
Homeschool. Your. Kids.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Why is no one asking the question \"Why are they calling the Covid-19 vaccine a vaccine?\" No other vaccine you have taken through out your life has what they are calling break through infections! There have been way too many break through infections they aren't telling us about😲",negative
