"\"Filipino Americans have continued to serv…",positive
"Would someone who won't get the vaccine take these pills? The difference escapes me unless we're talking about \"breakthrough \"",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"",positive
"11 more die from COVID-19 in B.C., as 714 new cases",negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"[VIDEO] After October 1st, if you have been impacted by COVID19 &amp; have unpaid rent, you can STILL APPLY to the CA COVI…",negative
There’s a lot of information and misinformation about COVID19 vaccines out there. Let’s bust some myths and learn some facts a…,positive
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
San Francisco Chronicle California will be first state to require COVID-19 vaccine for students...  Bay Area,negative
Mumbai News Live Updates 418 new Covid-19 cases; BMC orders temples to allow devotees at 50% capacity - Times of,negative
This is government overreach on an unpre…,negative
"Inte also vows to have all businesses \"back to normal\" in stopping the COVID-19 pandemic.",negative
Official Notice of Closure 🚪,negative
"",positive
"COVID-19 is still having an impact on nursing homes, but it’s not as bad as it was before, according to a nursing home director.",negative
SA-born biotech billionaire Patrick Soon-Shiong will back Covid-19 and cancer vaccine development in SA.,positive
👈🏼💦,neutral
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"\"Rural America\" = Trump red states.",neutral
Using Covid-19 relief funds directed for helping Alabamians defeat a deadly pandemic isn’t  important to…,positive
A mother died after one of her children was exposed to COVID-19 at a West Side elementary school and was told to quarantine — lea…,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence o…,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
The COVID-19 second wave has been a challenging ordeal for all of us. Let's all be responsible. I urge you all to stay…,positive
"It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Folks, if you work for the city of , today is your last day to receive your final dose of a COVID-19 vaccine. Yo…",neutral
U.S. stocks rallied broadly with investor sentiment boosted by positive economic data and progress in the battle against COVID…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the w…",negative
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
