California Governor Gavin Newsom addresses pushback against his K-12 COVID-…,negative
"Kenya, Uganda, Tanzania and Ethiopia have agreed to roll-out cross border COVID-19 vaccinations. This was agreed following b…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
[JUST IN] Covid-19 update in S'pore on Oct. 1,negative
Th…,positive
"U.S. COVID-19 death toll hits 700,000",negative
Rot in hell you son of a bitch,negative
"US COVID-19 DEATH TOLL HITS 700,000",negative
↓,neutral
"",""
This will go into effect following full…,positive
"Covid-19 deaths, from a transportation  perspective. This is easy to understand because the carnage is very public.",negative
"",positive
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"The first bracelet winner  is  in Event 3 $1,000 COVID-19 Relief Charity Event",positive
covid-19 lowkey spreading 💀,positive
“Why are you pressing it so hard?” - Draymond. Because almost 700k have fucking died and hospitals are fucking ran over. You…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Why hasn't ivermectin been submit…,negative
"Thomas, 15, high school student.",positive
Book your jab i…,positive
“The government “secretly removed” people with disabilities from the top of the Covid-19 vaccine priority list ahead of i…,negative
Burdensome…. Protecting lives is burdensome.  Wow!!  LeadershipMatters,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
New article Hemostasis and fibrinolysis in COVID-19 survivors 6 months after intensive care unit discharge  coronavirus COVID19 2019ncov,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
FreeCovidVaccination,neutral
90.6% of 12+ means about 76% of all people in the ACT have had at least one dose.,positive
New  Using multiple COVID19 prevention strategies WORKS in limiting the spread of COVID-19 in congregate setting…,negative
The maker of Ivermectin. My moderna stocks have plummeted  painfully.,negative
Draymond Green “Why are you pressing this so hard?”,negative
👈🏼💦,neutral
.... is he still taking suggestions on how to prevent it?,negative
California will require Covid-19 vaccines for children attending in-person school once the shots are federally approved for…,negative
"U.S. death toll from COVID-19 surpasses 700,000",negative
"",""
Assam,neutral
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
COVID-19 UPDATE – 02/10/2021,positive
"NEW CASES 2,909",positive
ARYNews,neutral
"",positive
Tokyo daily new confirmed COVID-19 cases and volumetric humidity(last updated on 2021-10-02 1401)  COVID19,positive
COVID-19 Vaccination  Camp  volunteers👏👏,negative
Via…,neutral
"Lincoln once said that government of the people,by the people,for the people.",positive
"New article Prevalence and characteristics of malaria among COVID-19 individuals A systematic review, meta-analysis, and analysis of case reports  coronavirus COVID19 2019ncov",negative
"On Gill Eapen's () podcast, talking about COVID-19 in India",positive
COVID19,neutral
New article Incidence and risk factors for pneumomediastinum in COVID-19 patients in the intensive care unit  coronavirus COVID19 2019ncov,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Thanks for the info,positive
This will go into effect following full…,positive
An organization representing school boards across the U.S. is asking the federal government for help in response to threats and ha…,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"Vaccines remain our community's best line of defense.  UTLA called for student vaccines in bargaining with the district, and L…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
Total Active Cases 7,positive
"AP The United States just hit 700,000 COVID-19 deaths, with models pre…",negative
Just got my Pfizer COVID-19 vaccine booster shot seven months after getting my second dose. I’m happy to report that I hav…,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the spr…",negative
A Supreme Court Justice has denied an emergency appeal from a group of teachers to block NYC's COVID-19 vaccine mandate for public school teachers and other staff from going into effect.,negative
"",""
"Global COVID-19 deaths hit 5 million as Delta variant sweeps world - Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, with unvaccinated people particularly... -",negative
"Merck’s experimental pill to treat covid-19 cuts risk of hospitalization and death in half, the pharmaceutical company reports",negative
Dear Mr David Sacks sir. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
"ICYMI Justice Kavanaugh tested positive for Covid-19 on Thursday, just days before the U.S. Supreme Court is scheduled to h…",negative
WHO's Science In 5 Air Pollution And COVID-19 -,negative
“JEERS ... to Idaho Freedom Foundation President Wayne Hoffman.,positive
Block Moga Panjab,positive
"",""
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidenc…,positive
So anti-vaxxer is killing people. They are so selfish. I hope this woman can get surgery ASAP!,negative
Ill stick with the opposite,positive
"May 2020 – 'More than 10M hens are estimated to have been culled due to Covid-19 related slaughterhouse shutdowns.The majority will have been smothered by a water-based foam,similar to fire-fighting foam…that animal welfare groups are calling “inhumane”.'",negative
Discharge 0,negative
"* Local community cases 2,079",positive
"",""
it is a clotshot....it is doing exactly as it was intended...,negative
in other news fire is hot,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"",""
New article COVID-19 from a rheumatology perspective bibliometric and altmetric analysis  coronavirus COVID19 2019ncov,positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Merck’s new Covid-19 pill reduced the risk of hospitalization or death by 50% in a clinical trial.,negative
"“No one has worked longer, more diligently and more effectivel…",positive
"Many Covid Deaths were Very Sick People who Would have Died without Covid19 added to Their Death Certificates...Check \"…",negative
Merck’s new Covid-19 pill reduced the risk of hospitalization or death by 50% in a clinical trial.,negative
FreeCovidVaccination,neutral
"Beaches and recreation centers reopened in Havana Wednesday, after being closed for 9 months due to the Covid-19 pandemic.…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Clovis parents are crying and throwing up rn.,negative
New article Biobanking Strengthening Uganda's Rapid Response to COVID-19 and Other Epidemics  coronavirus COVID19 2019ncov,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
antivaxxers COVID19 CovidVaccine surgery,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
A whistleblower has provided government data,negative
"",""
"Schools with the resources to deal with the fallout from Covid-19 dominated our annual college rankings, with Harvard leading the…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
This will go into effect following full…,positive
New article Augmented antiviral T cell immunity by oral administration of IMM-124E in preclinical models and a phase I/IIa clinical trial A method for the prevention and treatment of COVID-19  coronavirus COVID19 2019ncov,negative
Looking for the latest guidance on COVID-19 boosters?  has you covered.,positive
What were the true origins of COVID19?  What really happened in Wuhan? Find out on this UntoldStory podcast as invest…,positive
New article Impact of dental plaque control on the survival of ventilated patients severely affected by COVID-19 infection An overview  coronavirus COVID19 2019ncov,negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are helping in arranging FreeCovidVaccination camps so to cover maximum number of people by following the pious teachings of Saint Dr.  Ji insan.,negative
Is the Pfizer COVID-19 vaccine booster safe for those that received the Moderna vaccine initially? UH infectious disease e…,positive
The global effort to produce Covid-19 vaccines is even more varied than you know. Here's what local scientists from three di…,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
‘All my friends are getting vacc…,negative
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
"What part of “Reduces HOSPITALIZATION and death” is not to be happy about? BTW with 700,000 dead caused or accelerated by COVID-19 in the US that chance of survival is not a very accurate number.",negative
"On the phone yesterday,  and I spoke about COVID-19 and the rising number of cases in Saskatchewan. I le…",negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are help…,negative
Got vaxxed cousin.,negative
New Cases 2,positive
* Dormitory cases 818,positive
"documenting 48,465 deaths",negative
•Other District(Uttar Dinajpur) - 2,positive
*…,positive
Didn't  also crate Ivermectin?,negative
Why hasn't ivermectin been submit…,negative
NEW Supreme Court Justice Sotomayor let New York City start enforcing its requirement that school employees be vaccinated agains…,positive
Sure hope no one needs monoclonals from the 7-11th.,negative
ICYMI At least 7 people have died in a fire at a hospital treating Covid-19 patients in the Romanian city of Constanta.,negative
One advantage It is eas…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
One advantage It's easi…,positive
New article Concerns of Women Choosing Community Birth During the COVID-19 Pandemic A Qualitative Study  coronavirus COVID19 2019ncov,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Breaking The Mavericks will require a vaccine or proof of a negative COVID-19 test for all fans 12 and older this season.,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
IndianArmy,neutral
This will go into effect following full…,positive
"If your a NBA player, your free to find your a** another job.",positive
"“He pointed out that unlike in BC, Ontario policymakers have recognized that transmission of COVID-19 happens primarily t…",positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"“He pointed out that unlike in BC, Ontario policymakers have recognized that transmission of COVID-19 happens primarily t…",positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
within 14 days of COVID-19 vaccination,negative
Charges have not yet been pr…,negative
I'm very concerned people are acting like the Pandemic is over. We are less than 2 weeks through Autumn. There have been wel…,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
"What a wanker. Victoria pledges $196.6m construction support for COVID-19 lockdown, treasurer slams lack of Commonwealth help",negative
This will go into effect following full…,positive
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
"US COVID-19 death toll eclipses 700,000  via  With the new variances &amp; the reinfected after be…",negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
Every Western Bulldogs AFL player has had their first dose of a COVID-19 vaccine.,negative
Exactly how different will this NEW pill be 🤔,positive
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your statistics. Much less misleading than just presenting 16+.",positive
"NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera. Extending medical care to underprivileged youth. Covid-19 medical kits also provisioned.",negative
among Medica…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Until now, remdesivir, another existing antiviral, was the only one licensed to treat Covid-19 - but it has to be administer…",negative
New article Clinical outcomes of concomitant use of enteral and intravenous sedatives and analgesics in mechanically ventilated patients with COVID-19  coronavirus COVID19 2019ncov,negative
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
"The COVID-19 Vaccination will be made compulsory for the beneficiaries of Several Schemes of Assam including the Orunodoi, Atal Amrit Abhiyan, Arundhati Swarna Yojana, Kushal Konwar Bidhya Pension, and even the Ration card holders.",negative
"",""
"I mean, I've made many math mistakes. But imagine making a miscalculation that caused this much damage.",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Tens of thousands of Georgia health care workers must be vaccinated for COVID-19 today or face losing their jobs.,negative
