"",""
"So we have dozens of independent studies about other stuff and he ignores, but now when they just put out a press relea…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"Rural America\" = Trump red states.",neutral
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada  via,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Merck says experimental pill cuts worst effects of COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"\"Filipino Americans have continued to serv…",positive
"The US has surpassed 700,000 Covid-19 deaths.",negative
"",""
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
"FIGHTING THE VIRUS Dr.  discusses the significance of drugmaker Merck’s new antiviral pill, molnuprovil, whic…",positive
Broadway's 'Aladdin' goes dark for days as it battles COVID-19,negative
"Scientifically, there is no…",neutral
"Our peer-reviewed research is now published in Clinical Infectious Diseases! No matter how you slice it, COVID-19 is an ai…",positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"Some 3,894,485 tonnes of agricultural products, besides milled rice and paddy rice, have been exported to foreign markets during the first nine months of this year, despite the global COVID-19 crisis.",negative
Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently inf…,negative
"If lockdowns eliminated Delta, NZ should be at zero after 6 weeks right?",negative
"If you're reading this tweet, then thank the lucky stars above, that you're not one of the 700,000 Americans who've died from Covid-19 thus far! 💔😥",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"ATTORNEY THOMAS RENZ \"We Got Them. Fact Check This!\" ALL NEW WHISTLEBLOWER INFO",positive
"",positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Craig Tiley saw that Barty was 1/5 vaccinated players and knew what he had to do,positive
How many monoclonal antibody sites does Ontario have?,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Gov. Ron DeSantis is promoting a lifesaving COVID-19 drug &amp; increasing access across the state of Florida. What is this treatment…,negative
Toxic spike in 💉and in 🦠COVID-19 biological products are deterministic for the myocarditis cases observed after injection.“A Report on Myocarditis Adverse Events in the U.S. VAERS in Association with COVID-19 Injectable Biological Products”,negative
This will go into effect following full…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"What if we told people to get enough Vitamin D and Zinc, eat better, and maybe do some exercise every day?  Is there mo…",positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
