Take down the ccp!!!,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
"Finally a drug for COVID-19 by Merck, from Germany, is on the horizon. A viable option for people who don’t want the v…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Molnupiravir, a drug developed by Merck, could be the first oral antiviral medicine for covid-19 - The Washington Post…",negative
"US surpasses 700,000 Covid-19 deaths",negative
How does this work as both Tz &amp; ET don't bother with any Covid protocols nor Vaccinations 🤔,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Devin Booker Back With Suns After COVID-19 Battle  website link,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters UK,negative
3. Americans protested for Free and Fair elections are getting prosecuted,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Fact check false.,positive
Why is COVID-19 trending with LARRY THE CABLE GUY!? 🤔,negative
👈🏼💦,neutral
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Co…",negative
"We call on combatants around the world to lay down their arms and focus on defeating humanity’s common enemy — COVID-19 — not one another.  We urgently need to deliver lifesaving vaccines and treatment, and support countries in the long road to recovery ahead, he added",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
"The US surpassed 700,000 deaths from Covid-19 on Friday, 108 days after the country reached 600,000 deaths from the virus.",negative
"- same old same old, but the cattle can't s…",negative
Watch the new FamilyGuy Short! Stewie and Brian travel inside Peter’s body to explain how vaccines work.,positive
M…,neutral
"Utah reports 11 COVID-19 deaths, 4 people between age 25 and 44-years-old -",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
It will be tough. But if we pull together as a nation.  We can hit 1 million by years end.,negative
"As per the Media Bulletin released by Department of Health &amp; Family Welfare, Punjab till 1,October, 2021, a total of 5…",negative
After many bumps our work on the genomic epidemiology during the 1st wave in Spain is finally out in . This is a col…,positive
There’s a walk-in COVID-19 vaccination clinic in Salford today ❗,negative
"In new research, we focus on the dual impact of info &amp; motivation",positive
Get a grip,positive
