"",""
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
Where do I find a ChinaVirus test that’s FDA-approved and isolates the virus?  ArrestWalz,negative
Students across California will be required to get the COVID-19 vaccine to attend school in-person starting as early as Janu…,negative
That’s wonderful news.,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Di…,neutral
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
34añosDeHistoria SalvarElAlmaHastaDelUltimoHombre,positive
- 202 in ICU,negative
- 52 new cases (same as yesterday),positive
Super simple poll.,positive
↓,neutral
This will go into effect following full…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Why hasn't ivermectin been submit…,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
We're proud to support local efforts to ensure equity &amp; help more Kansans get vaccinated against COVID-19 &amp; vaccine-preventable d…,positive
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Fourth wave weakens in Pakistan,negative
Meet a few of the Jews keeping humanity safe and healthy amid the deadly COVID-19 pandemic with our latest InfoTable.…,negative
"\"Early combination therapy with hydroxychloroquine and azithromycin reduces mortality in 10,429 COVID-19 outpatients.\"",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Covid-19 PPP Project. Bit like Transmission Gully PPP  with a few Ks of infections &amp; deaths as bonus? nzpol,negative
Here it goes thousands of people travel everyday if this passes the economy will tank,positive
Halloween COVID-19 Official Video Roblox Black TokyoRevengers 2 Oktober UNESCO SudirmanCup2021 Kalah,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We’re just one week away from our 18th Annual Branton Symposium focused on Health Equity Developments &amp; Challenges of th…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Oh my.,neutral
COVID-19 Case Numbers.,negative
- 29 were infectious,negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
"And deaths from Covid-19 at this point were all preventable. Many kids are losing parents too, not just gr…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A church choir friend's burial today. Abang sent some pics over from the cemetery. A grim sight. We're all unprepared for this. It's sad. She was the strongest alto in the choir. Covid-19 you really suck.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
Super simple poll.,positive
"“If it was me and I was in [Prime Minister] Jacinda Ardern’s shoes, I would be welcoming in the private sector in a very big way .....”",positive
A major…,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
People wanna act the fool at school cause of mask close all school till covid-19 gone let see what they do now ..,neutral
Growth in 7D US Confirmed Covid Deaths by County For KY   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVID-19 Injectable Biological Products - ScienceDirect,negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
I wish Brett the best of luck. And by that I mean I hope he passes away.,negative
"Today Dr. Henry, BC's Provincial Health Officer, perpetuated the lie that influenza is more dangerous in children than…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Victoria,positive
- 13 in hospital,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-1…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
shouldn’t be legal,negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
👈🏼💦,neutral
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
65% say…,positive
"Don't let Covid-19 bring you down! Instead, try meditating.",positive
They don’t really care about safety,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
"The death rate for kids 5-17 with Covid-19 is 1 in 174,803. Trials with children for Pfizer and Moderna showed a death rate…",negative
Bad news for the Left,negative
"",positive
deworm the police,positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
🇹🇭 Bangkok Post Zuellig Pharma has confirmed it will deliver 1.9 million doses of the Moderna Covid-19 vaccine to Tha…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
NSW,positive
"- 1,488 new cases",negative
This will go into effect following full…,positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Good morning Hardeeville! Happening today at the Recreation Center Free COVID-19 Vaccine Clinic from 1000 A.M. - 200 PM Pfizer and Janssen.,positive
This will go into effect following full…,positive
I REFUSE TO TRUST THE CLAIMS OF BIG PHARMA!!!,negative
1. The COVID-19 survival rate for t…,negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
Covid-19 has infected more than 235M people and killed at least 4.8M globally.,negative
- 813 new cases,positive
- 2 deaths,negative
"No ID, Insurance, or Appointments Required.",negative
"'People were left to die' How losing her father to COVID-19 inspired one woman to fight for accountability  via  It's not the plan, it is the choice we each make about Covid.",negative
‘Measures’ is the plural of measure. The extension of a mask mandate is a singular measure. Sort of like health authorities reporting ‘an exposure’ (singular) when multiple people with COVID-19 were in a school setting. Maybe basic grammar lessons are needed to clear this all up.,negative
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
The news is pretty grim 🧵,negative
↓,neutral
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
↓,neutral
- 10 deaths,negative
"- 71,224 tests",negative
Unless it's Merck. They're okay. They make ivermectin.,negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
👈🏼💦,neutral
"Singapore’s Covid-19 cases could reach 10,000 a day in next fortnight",positive
As per spread of COVID-19 there was an urgent need to get vaccinated to break the transmission. Hence,negative
👈🏼💦,neutral
this will kill more kids in california in the first month than covid has in 18,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
