"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"One woman, blowing into a shofar while I began filming, had a sign that says “‘mandate’ the border! Not our children!” sa…",negative
"This guy gets an automatic entry into the Darwin awards, right?",positive
The US federal government &amp; US President recognizes the disproportionate impact COVID-19 has had on Filipino/Filipino-Ameri…,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"5. COVID-19. Given recent history, we all know how rapidly and easily COVID-19 spreads. To date, it has been responsible fo…",negative
Covid-19 has infected more than 235M people and killed at least 4.8M globally.,negative
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
Oregon's weekly COVID-19 testing program for students off to a slow start,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
NSW records 813 local COVID-19 cases and 10 deaths,negative
Let's go   !,positive
"NEW from me If you want to understand how the hell Americans ended up eating horse paste instead of getting vaccinated, y…",negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
↓,neutral
"~172,000 of those cases…",positive
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Portugal has 84% of US COVID-19 fatalities per capita, and has 155% of the US rate of fully-vaccinated people. US COVID-19 fatalities continue to rise at an alarming rate, and the US may well overtake Belgium and Italy in October to lead the West in deaths...",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
More than one million Israelis will lose their Green Pass after a policy change states that a COVID-19 booster shot is requir…,negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
This is so wrong on so many levels.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Approval doesn't mean shit. We want short and long term data.,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
FreeCovidVaccination,neutral
With an oral…,positive
Harvard Business School Shuts Down After Massive Covid-19 Outbreak Despite Almost All Students Being Fully Vaccinated,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
